source,dataset,condition,sample_size,n_runs,median_fraction_preserved,q1_fraction_preserved,q3_fraction_preserved,median_fraction_concordant,median_n_reference_independent,median_n_triples_total
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,20,100,1.0,1.0,1.0,1.0,199.0,200.0
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,50,100,0.9684201778442616,0.9566386058189337,0.9782902467685076,0.94,184.5,200.0
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,100,100,0.9530180180180181,0.9361020185488271,0.9664922275216392,0.915,149.5,200.0
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,200,100,0.9581582633053222,0.9307692307692308,0.9752574176940794,0.925,129.0,200.0
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,500,100,0.9603960396039604,0.9339622641509434,0.9737230798551553,0.935,103.0,200.0
cleaned_archive,csuite_large_backdoor,cpdag_minimal_original,20,100,1.0,1.0,1.0,1.0,199.0,200.0
cleaned_archive,csuite_large_backdoor,cpdag_minimal_original,50,100,0.9727518412924684,0.9547380585516179,0.9838055797733218,0.94,184.5,200.0
cleaned_archive,csuite_large_backdoor,cpdag_minimal_original,100,100,0.9437260852355192,0.9199270072992701,0.9664988814317674,0.91,149.5,200.0
cleaned_archive,csuite_large_backdoor,cpdag_minimal_original,200,100,0.9547008547008549,0.9328201429825662,0.9765625,0.93,129.0,200.0
cleaned_archive,csuite_large_backdoor,cpdag_minimal_original,500,100,0.95,0.9230769230769232,0.9622641509433962,0.945,103.0,200.0
cleaned_archive,csuite_large_backdoor,dag_topological,20,100,1.0,1.0,1.0,1.0,199.0,200.0
cleaned_archive,csuite_large_backdoor,dag_topological,50,100,0.9618525778094559,0.9473505434782609,0.9746642246642248,0.935,184.5,200.0
cleaned_archive,csuite_large_backdoor,dag_topological,100,100,0.9488115291035,0.9309802645846889,0.9676285608583055,0.905,149.5,200.0
cleaned_archive,csuite_large_backdoor,dag_topological,200,100,0.9461410984848485,0.9221253054575076,0.9689922480620154,0.9225000000000001,129.0,200.0
cleaned_archive,csuite_large_backdoor,dag_topological,500,100,0.9601980198019802,0.9334814068510717,0.9714285714285714,0.9375,103.0,200.0
cleaned_archive,csuite_large_backdoor,vanilla_original,20,100,1.0,1.0,1.0,1.0,199.0,200.0
cleaned_archive,csuite_large_backdoor,vanilla_original,50,100,0.9772727272727272,0.9623655913978496,0.983539001981625,0.9375,184.5,200.0
cleaned_archive,csuite_large_backdoor,vanilla_original,100,100,0.9533312591670742,0.9341736356165706,0.9730183203337566,0.915,149.5,200.0
cleaned_archive,csuite_large_backdoor,vanilla_original,200,100,0.9603174603174603,0.9375,0.976047619047619,0.93,129.0,200.0
cleaned_archive,csuite_large_backdoor,vanilla_original,500,100,0.9609746811345897,0.9395898641588297,0.98043974871502,0.94,103.0,200.0
cleaned_archive,csuite_large_backdoor,vanilla_topological,20,100,1.0,1.0,1.0,1.0,199.0,200.0
cleaned_archive,csuite_large_backdoor,vanilla_topological,50,100,0.9726025340779438,0.9569311246730602,0.9798758865248227,0.935,184.5,200.0
cleaned_archive,csuite_large_backdoor,vanilla_topological,100,100,0.9526940639269407,0.9295833333333333,0.9733298240996623,0.915,149.5,200.0
cleaned_archive,csuite_large_backdoor,vanilla_topological,200,100,0.9607788851974899,0.9407407407407408,0.9767441860465116,0.9225000000000001,129.0,200.0
cleaned_archive,csuite_large_backdoor,vanilla_topological,500,100,0.9636363636363636,0.9477796052631579,0.9801980198019802,0.94,103.0,200.0
cleaned_archive,csuite_mixed_confounding,cpdag_discovered_original,20,100,1.0,1.0,1.0,1.0,200.0,200.0
cleaned_archive,csuite_mixed_confounding,cpdag_discovered_original,50,100,1.0,1.0,1.0,0.995,199.0,200.0
