source,dataset,condition,raw_condition,sample_size,repetition,n_preserved,fraction_preserved,n_triples_total,n_reference_independent,n_concordant,fraction_concordant,n_failed_reference,n_failed_synthetic,independence_test,triple_seed,reference_path,synthetic_path,status,excluded_columns
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,0,199,1.0,200,199,200,1.0,0,0,kci,3761696853,train_ts20_s0.npz,synthetic_cpdag_discovered_original_ts20_s0.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,1,198,1.0,200,198,199,0.995,0,0,kci,3761696853,train_ts20_s1.npz,synthetic_cpdag_discovered_original_ts20_s1.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,2,198,1.0,200,198,199,0.995,0,0,kci,3761696853,train_ts20_s2.npz,synthetic_cpdag_discovered_original_ts20_s2.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,3,196,1.0,200,196,197,0.985,0,0,kci,3761696853,train_ts20_s3.npz,synthetic_cpdag_discovered_original_ts20_s3.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,4,198,0.9949748743718592,200,199,199,0.995,0,0,kci,3761696853,train_ts20_s4.npz,synthetic_cpdag_discovered_original_ts20_s4.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,5,199,1.0,200,199,200,1.0,0,0,kci,3761696853,train_ts20_s5.npz,synthetic_cpdag_discovered_original_ts20_s5.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,6,199,1.0,200,199,199,0.995,0,0,kci,3761696853,train_ts20_s6.npz,synthetic_cpdag_discovered_original_ts20_s6.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,7,199,1.0,200,199,200,1.0,0,0,kci,3761696853,train_ts20_s7.npz,synthetic_cpdag_discovered_original_ts20_s7.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,8,199,1.0,200,199,200,1.0,0,0,kci,3761696853,train_ts20_s8.npz,synthetic_cpdag_discovered_original_ts20_s8.npz,ok,
cleaned_archive,csuite_large_backdoor,cpdag_discovered_original,cpdag_discovered_original,20,9,199,1.0,200,199,199,0.995,0,0,kci,3761696853,train_ts20_s9.npz,synthetic_cpdag_discovered_original_ts20_s9.npz,ok,
