source,dataset,condition,sample_size,n_runs,median_fraction_preserved,q1_fraction_preserved,q3_fraction_preserved,median_fraction_concordant,median_n_reference_independent,median_n_triples_total
cleaned_interventional_archive,csuite_large_backdoor,cpdag_discovered_original,20,100,1.0,1.0,1.0,1.0,200.0,200.0
cleaned_interventional_archive,csuite_large_backdoor,cpdag_discovered_original,50,100,0.9736131224239724,0.9613259668508288,0.9891304347826086,0.945,187.0,200.0
cleaned_interventional_archive,csuite_large_backdoor,cpdag_discovered_original,100,100,0.9648044231721407,0.9473684210526316,0.979375,0.92,156.0,200.0
cleaned_interventional_archive,csuite_large_backdoor,cpdag_discovered_original,200,100,0.9708029197080292,0.9541984732824428,0.9844961240310076,0.92,133.0,200.0
cleaned_interventional_archive,csuite_large_backdoor,cpdag_discovered_original,500,100,0.9824561403508772,0.965738284703802,0.9913230884557722,0.955,115.0,200.0
cleaned_interventional_archive,csuite_large_backdoor,cpdag_discovered_original,1000,100,0.9636363636363636,0.9351851851851852,0.9816930775646372,0.97,110.0,200.0
cleaned_interventional_archive,csuite_large_backdoor,cpdag_minimal_original,20,100,1.0,1.0,1.0,1.0,200.0,200.0
cleaned_interventional_archive,csuite_large_backdoor,cpdag_minimal_original,50,100,0.9786096256684492,0.9622633239831698,0.9889344262295081,0.95,187.0,200.0
cleaned_interventional_archive,csuite_large_backdoor,cpdag_minimal_original,100,100,0.9585176085176086,0.9399605899321498,0.9786405358471844,0.915,156.0,200.0
cleaned_interventional_archive,csuite_large_backdoor,cpdag_minimal_original,200,100,0.9787962037962038,0.9699248120300752,0.9923223722842045,0.91,133.0,200.0
cleaned_interventional_archive,csuite_large_backdoor,cpdag_minimal_original,500,100,0.991304347826087,0.9835675899131873,1.0,0.95,115.0,200.0
cleaned_interventional_archive,csuite_large_backdoor,cpdag_minimal_original,1000,100,0.990909090909091,0.9817764804003336,1.0,0.985,110.0,200.0
cleaned_interventional_archive,csuite_large_backdoor,dag_topological,20,100,1.0,1.0,1.0,1.0,200.0,200.0
cleaned_interventional_archive,csuite_large_backdoor,dag_topological,50,100,0.9728260869565216,0.9520636591193536,0.9841889880952379,0.945,187.0,200.0
cleaned_interventional_archive,csuite_large_backdoor,dag_topological,100,100,0.9573154861498421,0.9391891891891893,0.973421052631579,0.91,156.0,200.0
cleaned_interventional_archive,csuite_large_backdoor,dag_topological,200,100,0.9629609306409133,0.9488968202465932,0.9781418597270709,0.93,133.0,200.0
cleaned_interventional_archive,csuite_large_backdoor,dag_topological,500,100,0.9823008849557522,0.9734513274336284,0.9912471395881006,0.97,115.0,200.0
cleaned_interventional_archive,csuite_large_backdoor,dag_topological,1000,100,0.9908256880733946,0.9818181818181818,1.0,0.98,110.0,200.0
cleaned_interventional_archive,csuite_large_backdoor,vanilla_original,20,100,1.0,1.0,1.0,1.0,200.0,200.0
cleaned_interventional_archive,csuite_large_backdoor,vanilla_original,50,100,0.9740932642487048,0.9582236842105263,0.9891451233842538,0.95,187.0,200.0
cleaned_interventional_archive,csuite_large_backdoor,vanilla_original,100,100,0.9607843137254902,0.9377250054218174,0.9802631578947368,0.915,156.0,200.0
cleaned_interventional_archive,csuite_large_backdoor,vanilla_original,200,100,0.9700370328807092,0.9545454545454546,0.9838048780487805,0.915,133.0,200.0
cleaned_interventional_archive,csuite_large_backdoor,vanilla_original,500,100,0.9911109355246523,0.9745219469795741,0.9936440677966102,0.965,115.0,200.0
cleaned_interventional_archive,csuite_large_backdoor,vanilla_original,1000,100,0.990909090909091,0.9821428571428572,1.0,0.985,110.0,200.0
cleaned_interventional_archive,csuite_large_backdoor,vanilla_topological,20,100,1.0,1.0,1.0,1.0,200.0,200.0
cleaned_interventional_archive,csuite_large_backdoor,vanilla_topological,50,100,0.9781414237935977,0.9553142170329669,0.9891891891891892,0.95,187.0,200.0
cleaned_interventional_archive,csuite_large_backdoor,vanilla_topological,100,100,0.9555551076352495,0.9388639415813329,0.9754140786749483,0.9125000000000001,156.0,200.0
cleaned_interventional_archive,csuite_large_backdoor,vanilla_topological,200,100,0.9644015404884969,0.947953216374269,0.9839032258064517,0.92,133.0,200.0
