dataset,sample_size,source_root
csuite_large_backdoor,500,causal_experiments/results/ci_preservation/runs/cleaned_archive_completion_20260511
csuite_mixed_confounding,100,causal_experiments/results/ci_preservation/runs/cleaned_archive_completion_20260511
csuite_mixed_confounding,20,causal_experiments/results/ci_preservation/runs/cleaned_archive_completion_20260511
csuite_mixed_confounding,200,causal_experiments/results/ci_preservation/runs/cleaned_archive_completion_20260511
csuite_mixed_confounding,50,causal_experiments/results/ci_preservation/runs/cleaned_archive_completion_20260511
csuite_mixed_confounding,500,causal_experiments/results/ci_preservation/runs/cleaned_archive_completion_20260511
csuite_mixed_simpson,50,causal_experiments/results/ci_preservation/runs/cleaned_archive_completion_20260511
csuite_weak_arrows,50,causal_experiments/results/ci_preservation/runs/cleaned_archive_completion_20260511
csuite_weak_arrows,500,causal_experiments/results/ci_preservation/runs/cleaned_archive_completion_20260511
csuite_large_backdoor,100,causal_experiments/results/ci_preservation/runs/cleaned_archive_empirical_20260429_dcgp_094100
csuite_large_backdoor,20,causal_experiments/results/ci_preservation/runs/cleaned_archive_empirical_20260429_dcgp_094100
csuite_large_backdoor,200,causal_experiments/results/ci_preservation/runs/cleaned_archive_empirical_20260429_dcgp_094100
csuite_large_backdoor,50,causal_experiments/results/ci_preservation/runs/cleaned_archive_empirical_20260429_dcgp_094100
csuite_mixed_simpson,100,causal_experiments/results/ci_preservation/runs/cleaned_archive_empirical_20260429_dcgp_094100
csuite_mixed_simpson,20,causal_experiments/results/ci_preservation/runs/cleaned_archive_empirical_20260429_dcgp_094100
csuite_mixed_simpson,200,causal_experiments/results/ci_preservation/runs/cleaned_archive_empirical_20260429_dcgp_094100
csuite_mixed_simpson,500,causal_experiments/results/ci_preservation/runs/cleaned_archive_empirical_20260429_dcgp_094100
csuite_nonlin_simpson,100,causal_experiments/results/ci_preservation/runs/cleaned_archive_empirical_20260429_dcgp_094100
csuite_nonlin_simpson,20,causal_experiments/results/ci_preservation/runs/cleaned_archive_empirical_20260429_dcgp_094100
csuite_nonlin_simpson,200,causal_experiments/results/ci_preservation/runs/cleaned_archive_empirical_20260429_dcgp_094100
csuite_nonlin_simpson,50,causal_experiments/results/ci_preservation/runs/cleaned_archive_empirical_20260429_dcgp_094100
csuite_nonlin_simpson,500,causal_experiments/results/ci_preservation/runs/cleaned_archive_empirical_20260429_dcgp_094100
csuite_symprod_simpson,100,causal_experiments/results/ci_preservation/runs/cleaned_archive_empirical_20260429_dcgp_094100
csuite_symprod_simpson,20,causal_experiments/results/ci_preservation/runs/cleaned_archive_empirical_20260429_dcgp_094100
csuite_symprod_simpson,200,causal_experiments/results/ci_preservation/runs/cleaned_archive_empirical_20260429_dcgp_094100
csuite_symprod_simpson,50,causal_experiments/results/ci_preservation/runs/cleaned_archive_empirical_20260429_dcgp_094100
csuite_symprod_simpson,500,causal_experiments/results/ci_preservation/runs/cleaned_archive_empirical_20260429_dcgp_094100
csuite_weak_arrows,100,causal_experiments/results/ci_preservation/runs/cleaned_archive_empirical_20260429_dcgp_094100
csuite_weak_arrows,20,causal_experiments/results/ci_preservation/runs/cleaned_archive_empirical_20260429_dcgp_094100
csuite_weak_arrows,200,causal_experiments/results/ci_preservation/runs/cleaned_archive_empirical_20260429_dcgp_094100
custom_scm,100,causal_experiments/results/ci_preservation/runs/cleaned_archive_empirical_20260429_dcgp_094100
custom_scm,20,causal_experiments/results/ci_preservation/runs/cleaned_archive_empirical_20260429_dcgp_094100
custom_scm,200,causal_experiments/results/ci_preservation/runs/cleaned_archive_empirical_20260429_dcgp_094100
custom_scm,50,causal_experiments/results/ci_preservation/runs/cleaned_archive_empirical_20260429_dcgp_094100
custom_scm,500,causal_experiments/results/ci_preservation/runs/cleaned_archive_empirical_20260429_dcgp_094100
simglucose,100,causal_experiments/results/ci_preservation/runs/cleaned_archive_empirical_20260429_dcgp_094100
