algorithm,column_order,actual_column_order,graph_structure,graph_nodes,graph_edges,undirected_edges,train_size,seed,repetition,categorical_cols,correlation_matrix_difference,k_marginal_tvd,nnaa,noise_level,test_dataset_path,train_dataset_path,nnaa_raw
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,0,1,,0.5090810097256805,0.2975833333333333,0.05625000000000002,0.2,datasets/global_test_set.npz,,0.55625
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,1,2,,0.3137423698932532,0.2825,0.07600000000000007,0.2,datasets/global_test_set.npz,,0.5760000000000001
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,2,3,,0.5824869234209271,0.2715833333333333,0.03600000000000003,0.2,datasets/global_test_set.npz,,0.536
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,3,4,,0.3004566304684787,0.41225,0.13850000000000007,0.2,datasets/global_test_set.npz,,0.6385000000000001
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,5,5,,0.2409549807620926,0.2759999999999999,0.05899999999999994,0.2,datasets/global_test_set.npz,,0.5589999999999999
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,6,6,,0.4378400837385334,0.2795,0.041749999999999954,0.2,datasets/global_test_set.npz,,0.54175
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,7,7,,0.2982657392580602,0.3122500000000001,0.09099999999999997,0.2,datasets/global_test_set.npz,,0.591
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,8,8,,1.2235146804577872,0.35875,0.11874999999999991,0.2,datasets/global_test_set.npz,,0.6187499999999999
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,9,9,,0.3057536375460143,0.2885,0.07299999999999995,0.2,datasets/global_test_set.npz,,0.573
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,10,10,,0.4130991268606408,0.2961666666666666,0.08750000000000002,0.2,datasets/global_test_set.npz,,0.5875
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,11,11,,0.9515242026258748,0.3155833333333333,0.05225000000000002,0.2,datasets/global_test_set.npz,,0.55225
