algorithm,column_order,actual_column_order,graph_structure,graph_nodes,graph_edges,undirected_edges,train_size,seed,repetition,categorical_cols,correlation_matrix_difference,k_marginal_tvd,nnaa,noise_level,test_dataset_path,train_dataset_path
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,0,1,,0.5090810097256805,0.29758333333333337,0.55625,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,1,2,,0.31374236989325327,0.28250000000000003,0.5760000000000001,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,2,3,,0.5824869234209271,0.27158333333333334,0.536,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,3,4,,0.3004566304684787,0.41225000000000006,0.6385000000000001,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,5,5,,0.24095498076209262,0.27599999999999997,0.5589999999999999,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,6,6,,0.4378400837385334,0.2795,0.54175,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,7,7,,0.29826573925806027,0.3122500000000001,0.591,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,8,8,,1.2235146804577872,0.35875000000000007,0.6187499999999999,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,9,9,,0.3057536375460143,0.28850000000000003,0.573,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,10,10,,0.4130991268606408,0.29616666666666663,0.5875,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,11,11,,0.9515242026258748,0.3155833333333333,0.55225,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,12,12,,0.5783742383696647,0.3635,0.6105,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,13,13,,0.5854431447172465,0.2685,0.55025,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,14,14,,0.38066479667462827,0.2773333333333334,0.5535,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,15,15,,0.21834356211257827,0.29391666666666666,0.54775,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,16,16,,0.2775105618184884,0.26066666666666666,0.5297499999999999,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,17,17,,0.8049810347052846,0.3375000000000001,0.57575,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,18,18,,0.1505742050299835,0.27075000000000005,0.5385,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,19,19,,0.2947268093845527,0.27258333333333334,0.5665,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,20,20,,0.25028146394943884,0.2869166666666667,0.56875,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,21,21,,0.7618283487326437,0.32058333333333333,0.565,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,22,22,,0.1411834801321143,0.29600000000000004,0.5505,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,23,23,,0.63412144047855,0.32175000000000004,0.612,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,24,24,,0.6739245949637391,0.3020833333333334,0.5745,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,25,25,,0.300319876297872,0.2776666666666667,0.55975,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,26,26,,0.6502817122248954,0.29433333333333334,0.54775,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,28,27,,0.62556214583819,0.28800000000000003,0.5435000000000001,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,29,28,,1.1181880308430487,0.32983333333333337,0.56425,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,30,29,,0.9891078794021883,0.3249166666666667,0.58175,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,31,30,,0.1311785279071844,0.3113333333333334,0.5680000000000001,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,32,31,,1.0063337384678055,0.3458333333333334,0.58375,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,33,32,,0.31742319529713153,0.2680833333333334,0.5449999999999999,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,34,33,,0.47112760281367894,0.29025,0.5575,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,35,34,,0.31695656706648717,0.29808333333333337,0.552,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,36,35,,0.31939129103965624,0.2929166666666667,0.558,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,37,36,,0.35125330293396745,0.26099999999999995,0.5545,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,38,37,,1.3666600753115739,0.33975,0.58925,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,39,38,,0.9311968373154329,0.3698333333333334,0.595,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,40,39,,0.4619657381236746,0.3064166666666667,0.5980000000000001,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,41,40,,0.2079751276685373,0.28191666666666665,0.57875,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,42,41,,0.2871316273371575,0.2899166666666667,0.5489999999999999,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,43,42,,0.6630701405967797,0.31866666666666665,0.56,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,44,43,,0.6864117818186349,0.27466666666666667,0.56225,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,45,44,,0.6771344620341707,0.25833333333333336,0.54425,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,46,45,,0.6705393679310662,0.3150833333333333,0.56275,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,47,46,,0.23149018848543088,0.25566666666666665,0.5487500000000001,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,48,47,,0.3267461061367654,0.27175,0.56,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,49,48,,1.1225534338856233,0.3385,0.6005,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,50,49,,0.5693106295775531,0.31549999999999995,0.57475,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,51,50,,0.3446862361657641,0.32583333333333336,0.60825,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,52,51,,0.1815202635897266,0.3096666666666667,0.575,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,53,52,,0.49476655209622256,0.2805,0.5529999999999999,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,54,53,,0.2329125003227026,0.2913333333333334,0.5585,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,55,54,,0.2899169690433527,0.27558333333333335,0.5605,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,56,55,,0.1598393228699596,0.25766666666666665,0.54325,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,57,56,,0.8070676658301489,0.3640833333333335,0.6052500000000001,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,58,57,,0.9192541696212645,0.316,0.556,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,59,58,,0.30351403378111347,0.3015833333333333,0.5529999999999999,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,61,59,,1.6238704135024093,0.3978333333333334,0.6305000000000001,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,62,60,,0.2220504722571999,0.3056666666666667,0.5387500000000001,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,63,61,,0.3795160722730565,0.2745,0.543,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,64,62,,0.12834778531215268,0.25975,0.534,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,65,63,,0.2642070578468465,0.2810000000000001,0.5682499999999999,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,66,64,,0.6971565998625273,0.33425,0.587,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,67,65,,0.34416172194347827,0.359,0.62925,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,68,66,,1.058376678204367,0.31125,0.56425,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,69,67,,0.3262067144906362,0.30083333333333334,0.57575,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,70,68,,0.15622972943677602,0.34900000000000003,0.601,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,71,69,,0.4349268977839096,0.27033333333333337,0.56925,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,72,70,,0.7012909287552636,0.27725,0.54825,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,73,71,,0.5283341919111434,0.35025,0.60575,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,74,72,,0.905762122747784,0.3145833333333334,0.5825,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,75,73,,0.2207725122996832,0.27508333333333335,0.5682499999999999,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,76,74,,0.1920805888234842,0.3096666666666667,0.567,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,77,75,,0.28607747005227196,0.27033333333333337,0.5685,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,78,76,,0.180870183222696,0.2514166666666667,0.52675,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,79,77,,0.9103401092276252,0.32483333333333336,0.5795,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,80,78,,0.2991750209436732,0.2820833333333334,0.5522499999999999,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,81,79,,0.49495986134812936,0.27025000000000005,0.5569999999999999,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,82,80,,0.457852153055533,0.28125000000000006,0.532,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,83,81,,0.5986221771493799,0.30191666666666667,0.57325,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,84,82,,0.548199943467369,0.34166666666666673,0.59075,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,85,83,,0.48542011459169576,0.31650000000000006,0.5765,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,86,84,,0.9441785474657792,0.3116666666666667,0.575,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,87,85,,0.2568834468573249,0.2793333333333334,0.579,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,88,86,,0.7674090335710065,0.34366666666666673,0.58525,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,89,87,,0.9636571493801451,0.2989166666666667,0.5605,0.2,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,90,88,,0.2839985688828747,0.3181666666666667,0.5720000000000001,0.2,datasets/global_test_set.npz,
