algorithm,column_order,actual_column_order,graph_structure,graph_nodes,graph_edges,undirected_edges,train_size,seed,repetition,categorical_cols,correlation_matrix_difference,k_marginal_tvd,nnaa,noise_level,test_dataset_path,train_dataset_path
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,0,1,,0.6775140468891842,0.30150000000000005,0.5529999999999999,0.5,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,1,2,,1.2570211228775117,0.32158333333333333,0.599,0.5,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,2,3,,0.8411219097783048,0.27658333333333335,0.56525,0.5,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,3,4,,1.0505557063759055,0.4121666666666666,0.6605,0.5,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,4,5,,0.6651548586151035,0.29775,0.5585,0.5,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,5,6,,0.5885515035782571,0.2618333333333333,0.56125,0.5,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,6,7,,0.4953649278814812,0.2733333333333334,0.518,0.5,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,7,8,,0.26539129409817824,0.3265,0.61175,0.5,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,8,9,,1.1893660775280386,0.33383333333333337,0.579,0.5,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,9,10,,0.4210203847191239,0.2981666666666667,0.57325,0.5,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,10,11,,1.0481949303137554,0.30333333333333334,0.601,0.5,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,11,12,,0.752265981521406,0.29458333333333336,0.5682499999999999,0.5,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,12,13,,0.5569763697067878,0.35625,0.61225,0.5,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,13,14,,0.6458592959584832,0.28833333333333333,0.552,0.5,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,14,15,,0.6105703510920458,0.28583333333333333,0.55625,0.5,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,15,16,,0.17427696160789663,0.30358333333333337,0.5607500000000001,0.5,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,16,17,,0.3104783348713167,0.254,0.5429999999999999,0.5,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,17,18,,0.9799633644097674,0.33583333333333343,0.5902499999999999,0.5,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,18,19,,0.22681279644320296,0.27558333333333335,0.5525,0.5,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,19,20,,0.3690329305329407,0.29875,0.56925,0.5,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,20,21,,0.738734933805476,0.32983333333333337,0.5992500000000001,0.5,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,21,22,,1.0646952183333764,0.324,0.57375,0.5,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,22,23,,0.1765545541555333,0.29441666666666666,0.54625,0.5,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,23,24,,0.8727895986005342,0.3121666666666667,0.5985,0.5,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,24,25,,0.5055356661349987,0.29550000000000004,0.5842499999999999,0.5,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,25,26,,0.4374326871043822,0.283,0.5569999999999999,0.5,datasets/global_test_set.npz,
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,26,27,,0.714348090505403,0.2940833333333334,0.5687500000000001,0.5,datasets/global_test_set.npz,
