dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,metric,comparison,is_significant
custom_scm_noise0p2,20,0.0098333333333333,0.0054583333333333,0.0139166666666666,2.5704322077488932e-09,1.5422593246493355e-08,k_marginal_tvd,vanilla_vs_cpdag_minimal,True
custom_scm_noise0p2,50,0.0047083333333333,0.0028749999999999,0.0067083333333333,3.270516618733274e-09,1.962309971239965e-08,k_marginal_tvd,vanilla_vs_cpdag_minimal,True
custom_scm_noise0p2,100,0.0035416666666666,0.0018333333333333,0.0052083333333333,5.650583479706075e-07,3.390350087823645e-06,k_marginal_tvd,vanilla_vs_cpdag_minimal,True
custom_scm_noise0p2,200,0.0027916666666666,0.0015833333333333,0.0038333333333333,1.1457850143047207e-07,6.254870619907785e-07,k_marginal_tvd,vanilla_vs_cpdag_minimal,True
custom_scm_noise0p2,500,0.0029583333333333,0.001875,0.0040833333333333,1.912077305903582e-09,1.1351836221115946e-08,k_marginal_tvd,vanilla_vs_cpdag_minimal,True
custom_scm_noise0p2,20,0.0,4.166666666663432e-05,0.0023749999999999,0.0012788014527966,0.0025576029055933,k_marginal_tvd,vanilla_vs_cpdag_discovered,False
custom_scm_noise0p2,50,0.0032916666666666,0.0017083333333333,0.0050833333333333,1.8190470516844878e-07,9.095235258422438e-07,k_marginal_tvd,vanilla_vs_cpdag_discovered,True
custom_scm_noise0p2,100,0.003375,0.00175,0.0050416666666666,8.050987901809637e-07,4.0254939509048185e-06,k_marginal_tvd,vanilla_vs_cpdag_discovered,True
custom_scm_noise0p2,200,0.0028333333333332,0.0015833333333333,0.0039166666666666,1.0424784366512977e-07,6.254870619907785e-07,k_marginal_tvd,vanilla_vs_cpdag_discovered,True
custom_scm_noise0p2,500,0.0029583333333333,0.0018749999999999,0.0040833333333333,1.8919727035193244e-09,1.1351836221115946e-08,k_marginal_tvd,vanilla_vs_cpdag_discovered,True
