dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,metric,comparison,is_significant
custom_scm_noise0p2,20,0.006125,0.00225,0.0101249999999999,0.00010362503144,0.0005181251572,nnaa,vanilla_vs_cpdag_minimal,True
custom_scm_noise0p2,50,0.0036249999999999,0.000625,0.0065,0.0023557701577083,0.0094230806308332,nnaa,vanilla_vs_cpdag_minimal,True
custom_scm_noise0p2,100,0.001,-0.00125,0.0033750000000001,0.2321381810804401,0.6964145432413205,nnaa,vanilla_vs_cpdag_minimal,False
custom_scm_noise0p2,200,0.001625,-0.0005,0.0041249999999999,0.0472553577676791,0.1890214310707167,nnaa,vanilla_vs_cpdag_minimal,False
custom_scm_noise0p2,500,0.001125,-0.0008749999999999,0.0031249999999999,0.1083202643070434,0.6499215858422605,nnaa,vanilla_vs_cpdag_minimal,False
custom_scm_noise0p2,20,0.0,0.0,0.0007499999999999,0.0600073139796657,0.1200146279593314,nnaa,vanilla_vs_cpdag_discovered,False
custom_scm_noise0p2,50,0.002375,5.551115123125783e-17,0.00525,0.0200114329893526,0.0600342989680578,nnaa,vanilla_vs_cpdag_discovered,False
custom_scm_noise0p2,100,0.000875,-0.001375,0.00325,0.2579302557044999,0.6964145432413205,nnaa,vanilla_vs_cpdag_discovered,False
custom_scm_noise0p2,200,0.001625,-0.0006249999999999,0.004,0.0574658990012387,0.1890214310707167,nnaa,vanilla_vs_cpdag_discovered,False
custom_scm_noise0p2,500,0.001125,-0.0008749999999999,0.003,0.1172910191356514,0.6499215858422605,nnaa,vanilla_vs_cpdag_discovered,False
