dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,metric,comparison,is_significant
custom_scm_noise0p2,20,0.0121666666666666,0.0069166666666666,0.0178333333333333,5.2922462008897655e-08,2.646123100444883e-07,k_marginal_tvd,vanilla_vs_dag,True
custom_scm_noise0p2,50,0.0051666666666666,0.0027083333333333,0.008,1.193764604145676e-06,3.581293812437028e-06,k_marginal_tvd,vanilla_vs_dag,True
custom_scm_noise0p2,100,0.0032499999999999,0.0010416666666666,0.0056249999999999,0.0003333318488607,0.0013333273954431,k_marginal_tvd,vanilla_vs_dag,True
custom_scm_noise0p2,200,0.0028124999999999,0.000875,0.0048749999999999,0.0001962897165953,0.0007851588663814,k_marginal_tvd,vanilla_vs_dag,True
custom_scm_noise0p2,500,0.0029166666666666,0.0010416666666666,0.004875,0.0002503887784693,0.0010015551138772,k_marginal_tvd,vanilla_vs_dag,True
custom_scm_noise0p2,20,0.0098333333333333,0.0054583333333333,0.0139166666666666,2.5704322077488932e-09,1.5422593246493355e-08,k_marginal_tvd,vanilla_vs_cpdag_minimal,True
custom_scm_noise0p2,50,0.0047083333333333,0.0028749999999999,0.0067083333333333,3.270516618733274e-09,1.962309971239965e-08,k_marginal_tvd,vanilla_vs_cpdag_minimal,True
custom_scm_noise0p2,100,0.0035416666666666,0.0018333333333333,0.0052083333333333,5.650583479706075e-07,3.390350087823645e-06,k_marginal_tvd,vanilla_vs_cpdag_minimal,True
custom_scm_noise0p2,200,0.0027916666666666,0.0015833333333333,0.0038333333333333,1.1457850143047207e-07,6.254870619907785e-07,k_marginal_tvd,vanilla_vs_cpdag_minimal,True
custom_scm_noise0p2,500,0.0029583333333333,0.001875,0.0040833333333333,1.912077305903582e-09,1.1351836221115946e-08,k_marginal_tvd,vanilla_vs_cpdag_minimal,True
