dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,metric,comparison,is_significant
custom_scm_noise0p2,20,0.3174247054360729,0.2100363880589575,0.4222214830716077,3.780565345729192e-16,2.2683392074375154e-15,correlation_matrix_difference,vanilla_vs_dag,True
custom_scm_noise0p2,50,0.1529533245001483,0.1040784128132095,0.2030615622674071,5.49371749717897e-14,2.197486998871588e-13,correlation_matrix_difference,vanilla_vs_dag,True
custom_scm_noise0p2,100,0.1105784132016962,0.0777355527862242,0.1451755423859467,7.929789176649616e-14,3.9648945883248084e-13,correlation_matrix_difference,vanilla_vs_dag,True
custom_scm_noise0p2,200,0.0802671080882819,0.0521934209335,0.1109807101276149,1.7106597437436288e-11,8.553298718718146e-11,correlation_matrix_difference,vanilla_vs_dag,True
custom_scm_noise0p2,500,0.044873235559084,0.0263347720114093,0.0642802971315211,4.319830929241881e-08,2.0375436976405395e-07,correlation_matrix_difference,vanilla_vs_dag,True
custom_scm_noise0p2,20,0.2309685424822349,0.1573653892548197,0.2876381507233533,3.2570704571844113e-15,1.3028281828737644e-14,correlation_matrix_difference,vanilla_vs_cpdag_minimal,True
custom_scm_noise0p2,50,0.1165975732620679,0.0861224500328476,0.1448805934415962,1.234309221920007e-15,6.1715461096000355e-15,correlation_matrix_difference,vanilla_vs_cpdag_minimal,True
custom_scm_noise0p2,100,0.070954218538334,0.0468034039408798,0.0927238330280473,1.3685519873403148e-10,5.474207949361258e-10,correlation_matrix_difference,vanilla_vs_cpdag_minimal,True
custom_scm_noise0p2,200,0.0527400305038899,0.0349201183030358,0.0714706496539451,7.93264392221801e-11,2.379793176665403e-10,correlation_matrix_difference,vanilla_vs_cpdag_minimal,True
custom_scm_noise0p2,500,0.0317629448819663,0.0193181260016758,0.0428327088381578,4.1551355092141227e-08,2.0375436976405395e-07,correlation_matrix_difference,vanilla_vs_cpdag_minimal,True
