dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,metric,comparison,is_significant
custom_scm_noise0p2,20,0.01025,0.0051249999999999,0.0153749999999999,8.94794087187147e-07,5.368764523122882e-06,nnaa,vanilla_vs_dag,True
custom_scm_noise0p2,50,0.00575,0.0027499999999999,0.0087499999999999,2.8730204001952184e-06,1.723812240117131e-05,nnaa,vanilla_vs_dag,True
custom_scm_noise0p2,100,0.0058749999999999,0.00225,0.009375,4.1883413383963384e-05,0.0002513004803037,nnaa,vanilla_vs_dag,True
custom_scm_noise0p2,200,0.003,-0.0002499999999999,0.006375,0.0152751751240814,0.0763758756204071,nnaa,vanilla_vs_dag,False
custom_scm_noise0p2,500,0.0015,-0.00175,0.0046249999999999,0.1996570397557617,0.7986281590230471,nnaa,vanilla_vs_dag,False
custom_scm_noise0p2,20,0.006125,0.00225,0.0101249999999999,0.00010362503144,0.0005181251572,nnaa,vanilla_vs_cpdag_minimal,True
custom_scm_noise0p2,50,0.0036249999999999,0.000625,0.0065,0.0023557701577083,0.0094230806308332,nnaa,vanilla_vs_cpdag_minimal,True
custom_scm_noise0p2,100,0.001,-0.00125,0.0033750000000001,0.2321381810804401,0.6964145432413205,nnaa,vanilla_vs_cpdag_minimal,False
custom_scm_noise0p2,200,0.001625,-0.0005,0.0041249999999999,0.0472553577676791,0.1890214310707167,nnaa,vanilla_vs_cpdag_minimal,False
custom_scm_noise0p2,500,0.001125,-0.0008749999999999,0.0031249999999999,0.1083202643070434,0.6499215858422605,nnaa,vanilla_vs_cpdag_minimal,False
