dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,metric,is_significant
custom_scm_noise0p2,20,0.0121666666666666,0.0069166666666666,0.0178333333333333,5.2922462008897655e-08,2.646123100444883e-07,k_marginal_tvd,True
custom_scm_noise0p2,50,0.0051666666666666,0.0027083333333333,0.008,1.193764604145676e-06,3.581293812437028e-06,k_marginal_tvd,True
custom_scm_noise0p2,100,0.0032499999999999,0.0010416666666666,0.0056249999999999,0.0003333318488607,0.0013333273954431,k_marginal_tvd,True
custom_scm_noise0p2,200,0.0028124999999999,0.000875,0.0048749999999999,0.0001962897165953,0.0007851588663814,k_marginal_tvd,True
custom_scm_noise0p2,500,0.0029166666666666,0.0010416666666666,0.004875,0.0002503887784693,0.0010015551138772,k_marginal_tvd,True
custom_scm_noise0p2,20,0.01025,0.0051249999999999,0.0153749999999999,8.94794087187147e-07,5.368764523122882e-06,nnaa,True
custom_scm_noise0p2,50,0.00575,0.0027499999999999,0.0087499999999999,2.8730204001952184e-06,1.723812240117131e-05,nnaa,True
custom_scm_noise0p2,100,0.0058749999999999,0.00225,0.009375,4.1883413383963384e-05,0.0002513004803037,nnaa,True
custom_scm_noise0p2,200,0.003,-0.0002499999999999,0.006375,0.0152751751240814,0.0763758756204071,nnaa,False
custom_scm_noise0p2,500,0.0015,-0.00175,0.0046249999999999,0.1996570397557617,0.7986281590230471,nnaa,False
