dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,metric,is_significant
custom_scm_noise0p2,20,0.3174247054360729,0.2100363880589575,0.4222214830716077,3.780565345729192e-16,2.2683392074375154e-15,correlation_matrix_difference,True
custom_scm_noise0p2,50,0.1529533245001483,0.1040784128132095,0.2030615622674071,5.49371749717897e-14,2.197486998871588e-13,correlation_matrix_difference,True
custom_scm_noise0p2,100,0.1105784132016962,0.0777355527862242,0.1451755423859467,7.929789176649616e-14,3.9648945883248084e-13,correlation_matrix_difference,True
custom_scm_noise0p2,200,0.0802671080882819,0.0521934209335,0.1109807101276149,1.7106597437436288e-11,8.553298718718146e-11,correlation_matrix_difference,True
custom_scm_noise0p2,500,0.044873235559084,0.0263347720114093,0.0642802971315211,4.319830929241881e-08,2.0375436976405395e-07,correlation_matrix_difference,True
custom_scm_noise0p2,20,0.0121666666666666,0.0069166666666666,0.0178333333333333,5.2922462008897655e-08,2.646123100444883e-07,k_marginal_tvd,True
custom_scm_noise0p2,50,0.0051666666666666,0.0027083333333333,0.008,1.193764604145676e-06,3.581293812437028e-06,k_marginal_tvd,True
custom_scm_noise0p2,100,0.0032499999999999,0.0010416666666666,0.0056249999999999,0.0003333318488607,0.0013333273954431,k_marginal_tvd,True
custom_scm_noise0p2,200,0.0028124999999999,0.000875,0.0048749999999999,0.0001962897165953,0.0007851588663814,k_marginal_tvd,True
custom_scm_noise0p2,500,0.0029166666666666,0.0010416666666666,0.004875,0.0002503887784693,0.0010015551138772,k_marginal_tvd,True
