dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,metric,is_significant
custom_scm_noise0p2,20,0.008375,0.0041666666666665,0.0124166666666666,1.4564395201181864e-06,5.825758080472746e-06,k_marginal_tvd,True
custom_scm_noise0p2,50,0.004875,0.0026249999999999,0.007125,8.344450354699823e-07,3.337780141879929e-06,k_marginal_tvd,True
custom_scm_noise0p2,100,0.0025,0.0008333333333333,0.0042499999999999,0.0004471756373435,0.0013415269120305,k_marginal_tvd,True
custom_scm_noise0p2,200,0.0019583333333333,0.0004166666666667,0.0035833333333332,0.0024802240437899,0.0074406721313697,k_marginal_tvd,True
custom_scm_noise0p2,500,0.0018749999999999,0.0004583333333333,0.0032499999999999,0.0021126504046079,0.0063379512138239,k_marginal_tvd,True
custom_scm_noise0p2,20,0.006125,0.0021249999999999,0.0099999999999999,0.0001586683943646,0.0006346735774584,nnaa,True
custom_scm_noise0p2,50,0.00475,0.001375,0.007875,0.0003398025051408,0.0016990125257043,nnaa,True
custom_scm_noise0p2,100,0.0025,-0.0009999999999999,0.0062499999999999,0.0673628263792271,0.2694513055169086,nnaa,False
custom_scm_noise0p2,200,0.003375,0.00025,0.0065,0.0046580474210023,0.0279482845260141,nnaa,True
custom_scm_noise0p2,500,0.0009999999999999,-0.0021249999999999,0.004,0.4034171526494441,1.0,nnaa,False
