dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,metric,comparison,is_significant
custom_scm_noise0p2,20,0.006125,0.00225,0.010125,0.0001029153568296,0.0005145767841482,nnaa,vanilla_vs_cpdag_minimal,True
custom_scm_noise0p2,50,0.003625,0.000625,0.0066249999999999,0.0023160926839999,0.0092643707359999,nnaa,vanilla_vs_cpdag_minimal,True
custom_scm_noise0p2,100,0.000375,-0.0018750000000001,0.0026249999999999,0.6736083012664059,1.0,nnaa,vanilla_vs_cpdag_minimal,False
custom_scm_noise0p2,200,0.0009999999999999,-0.0011249999999999,0.0031249999999999,0.2026914137350673,1.0,nnaa,vanilla_vs_cpdag_minimal,False
custom_scm_noise0p2,500,0.0009374999999999,-0.0009999999999999,0.002625,0.1596326522447324,0.9577959134683948,nnaa,vanilla_vs_cpdag_minimal,False
custom_scm_noise0p2,20,0.0,0.0,0.00075,0.059201633737496,0.118403267474992,nnaa,vanilla_vs_cpdag_discovered,False
custom_scm_noise0p2,50,0.0023750000000001,1.734723475976807e-18,0.00525,0.0197393392537203,0.0592180177611609,nnaa,vanilla_vs_cpdag_discovered,False
custom_scm_noise0p2,100,0.00025,-0.0021249999999999,0.0025,0.7925153937427708,1.0,nnaa,vanilla_vs_cpdag_discovered,False
custom_scm_noise0p2,200,0.000875,-0.0012499999999998,0.003,0.2522157151908019,1.0,nnaa,vanilla_vs_cpdag_discovered,False
custom_scm_noise0p2,500,0.000875,-0.0009999999999999,0.0026249999999999,0.1647971422580472,0.9577959134683948,nnaa,vanilla_vs_cpdag_discovered,False
