dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,metric,comparison,is_significant
custom_scm_noise0p2,20,0.01025,0.005125,0.015375,8.642565716844275e-07,5.185539430106565e-06,nnaa,vanilla_vs_dag,True
custom_scm_noise0p2,50,0.00575,0.0027499999999999,0.0087499999999999,2.5553037930074382e-06,1.533182275804463e-05,nnaa,vanilla_vs_dag,True
custom_scm_noise0p2,100,0.00475,0.0015,0.0079999999999999,0.0001587092774739,0.0009522556648439,nnaa,vanilla_vs_dag,True
custom_scm_noise0p2,200,0.001125,-0.0016249999999999,0.004,0.2826059648962956,1.0,nnaa,vanilla_vs_dag,False
custom_scm_noise0p2,500,0.0010000000000001,-0.0012500000000001,0.00325,0.2430613537337148,0.9722454149348594,nnaa,vanilla_vs_dag,False
custom_scm_noise0p2,20,0.006125,0.00225,0.010125,0.0001029153568296,0.0005145767841482,nnaa,vanilla_vs_cpdag_minimal,True
custom_scm_noise0p2,50,0.003625,0.000625,0.0066249999999999,0.0023160926839999,0.0092643707359999,nnaa,vanilla_vs_cpdag_minimal,True
custom_scm_noise0p2,100,0.000375,-0.0018750000000001,0.0026249999999999,0.6736083012664059,1.0,nnaa,vanilla_vs_cpdag_minimal,False
custom_scm_noise0p2,200,0.0009999999999999,-0.0011249999999999,0.0031249999999999,0.2026914137350673,1.0,nnaa,vanilla_vs_cpdag_minimal,False
custom_scm_noise0p2,500,0.0009374999999999,-0.0009999999999999,0.002625,0.1596326522447324,0.9577959134683948,nnaa,vanilla_vs_cpdag_minimal,False
