dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,metric,comparison,is_significant
custom_scm_noise0p2,20,0.006125,0.0021249999999999,0.0099999999999999,0.0001620049956638,0.0006480199826555,nnaa,original_vs_topological,True
custom_scm_noise0p2,50,0.0047499999999999,0.0013749999999999,0.0078749999999999,0.0004030428550111,0.0020152142750559,nnaa,original_vs_topological,True
custom_scm_noise0p2,100,0.002,-0.0012499999999999,0.0053749999999999,0.1185195195687718,0.4740780782750874,nnaa,original_vs_topological,False
custom_scm_noise0p2,200,0.0023749999999999,-0.0006249999999998,0.005125,0.0300380875216364,0.1802285251298187,nnaa,original_vs_topological,False
custom_scm_noise0p2,500,0.000875,-0.0016250000000001,0.003375,0.3313791518994072,0.9941374556982218,nnaa,original_vs_topological,False
custom_scm_noise0p2,20,-0.000625,-0.004,0.0026249999999999,0.6339221967139279,0.6339221967139279,nnaa,original_vs_worst,False
custom_scm_noise0p2,50,0.00125,-0.0017499999999999,0.0043749999999999,0.2966985888346645,0.593397177669329,nnaa,original_vs_worst,False
custom_scm_noise0p2,100,0.000875,-0.0021249999999999,0.00425,0.4320642460918645,1.0,nnaa,original_vs_worst,False
custom_scm_noise0p2,200,-0.0005,-0.0034999999999999,0.0026249999999999,0.662336531093003,1.0,nnaa,original_vs_worst,False
custom_scm_noise0p2,500,-0.0008749999999999,-0.0033749999999999,0.0016250000000001,0.368580279015729,0.9941374556982218,nnaa,original_vs_worst,False
