dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,metric,comparison,is_significant
custom_scm_noise0p2,20,0.2309685424822349,0.1573653892548197,0.2876381507233533,3.2570704571844113e-15,1.3028281828737644e-14,correlation_matrix_difference,vanilla_vs_cpdag_minimal,True
custom_scm_noise0p2,50,0.1165975732620679,0.0861224500328476,0.1448805934415962,1.234309221920007e-15,6.1715461096000355e-15,correlation_matrix_difference,vanilla_vs_cpdag_minimal,True
custom_scm_noise0p2,100,0.070954218538334,0.0468034039408798,0.0927238330280473,1.3685519873403148e-10,5.474207949361258e-10,correlation_matrix_difference,vanilla_vs_cpdag_minimal,True
custom_scm_noise0p2,200,0.0527400305038899,0.0349201183030358,0.0714706496539451,7.93264392221801e-11,2.379793176665403e-10,correlation_matrix_difference,vanilla_vs_cpdag_minimal,True
custom_scm_noise0p2,500,0.0317629448819663,0.0193181260016758,0.0428327088381578,4.1551355092141227e-08,2.0375436976405395e-07,correlation_matrix_difference,vanilla_vs_cpdag_minimal,True
custom_scm_noise0p2,20,0.0041272886544561,0.0009805581995812,0.0435492312277891,5.441442122017713e-05,0.0001088288424403,correlation_matrix_difference,vanilla_vs_cpdag_discovered,True
custom_scm_noise0p2,50,0.0918502490071155,0.0601656693771964,0.1242950741407923,2.9102612384723426e-13,8.730783715417029e-13,correlation_matrix_difference,vanilla_vs_cpdag_discovered,True
custom_scm_noise0p2,100,0.0681364403731179,0.0443447069315678,0.0899984104825242,3.1286748504222167e-10,9.38602455126665e-10,correlation_matrix_difference,vanilla_vs_cpdag_discovered,True
custom_scm_noise0p2,200,0.0532620366170024,0.0347135374006816,0.0728630204127167,3.750144261300761e-11,1.5000577045203043e-10,correlation_matrix_difference,vanilla_vs_cpdag_discovered,True
custom_scm_noise0p2,500,0.0318783819486841,0.0188790491345807,0.0438095132411815,4.0750873952810794e-08,2.0375436976405395e-07,correlation_matrix_difference,vanilla_vs_cpdag_discovered,True
