dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,metric,comparison,is_significant
custom_scm_noise0p2,20,0.008375,0.0041666666666665,0.0124166666666666,1.4564395201181864e-06,5.825758080472746e-06,k_marginal_tvd,original_vs_topological,True
custom_scm_noise0p2,50,0.004875,0.0026249999999999,0.007125,8.344450354699823e-07,3.337780141879929e-06,k_marginal_tvd,original_vs_topological,True
custom_scm_noise0p2,100,0.0025,0.0008333333333333,0.0042499999999999,0.0004471756373435,0.0013415269120305,k_marginal_tvd,original_vs_topological,True
custom_scm_noise0p2,200,0.0019583333333333,0.0004166666666667,0.0035833333333332,0.0024802240437899,0.0074406721313697,k_marginal_tvd,original_vs_topological,True
custom_scm_noise0p2,500,0.0018749999999999,0.0004583333333333,0.0032499999999999,0.0021126504046079,0.0063379512138239,k_marginal_tvd,original_vs_topological,True
custom_scm_noise0p2,20,-0.0015833333333333,-0.0052499999999999,0.00225,0.44733040697497,0.44733040697497,k_marginal_tvd,original_vs_worst,False
custom_scm_noise0p2,50,-0.0001666666666666,-0.0024583333333333,0.0021666666666667,0.8689120511690367,0.8689120511690367,k_marginal_tvd,original_vs_worst,False
custom_scm_noise0p2,100,-0.001,-0.0028749999999999,0.0008749999999999,0.2189933407838061,0.4379866815676123,k_marginal_tvd,original_vs_worst,False
custom_scm_noise0p2,200,-0.0006666666666666,-0.0022916666666666,0.0009583333333332,0.3426287662705697,0.3426287662705697,k_marginal_tvd,original_vs_worst,False
custom_scm_noise0p2,500,-0.0001666666666666,-0.0016666666666667,0.00125,0.8285061921851453,0.8285061921851453,k_marginal_tvd,original_vs_worst,False
