dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,metric,comparison,is_significant
custom_scm_noise0p2,20,0.2374172273427829,0.1648361647121554,0.2955714390082721,1.631012778441796e-15,8.155063892208981e-15,correlation_matrix_difference,original_vs_topological,True
custom_scm_noise0p2,50,0.1152722690284845,0.0845967516011102,0.1476979749548586,2.3957899977091284e-16,1.437473998625477e-15,correlation_matrix_difference,original_vs_topological,True
custom_scm_noise0p2,100,0.0820820334236199,0.0581395235440861,0.105694664904851,3.6981696794020436e-14,2.2189018076412258e-13,correlation_matrix_difference,original_vs_topological,True
custom_scm_noise0p2,200,0.0692413574640593,0.0502851370607531,0.0892018402591112,3.3262914681756384e-14,1.995774880905383e-13,correlation_matrix_difference,original_vs_topological,True
custom_scm_noise0p2,500,0.0395778756121717,0.026538145822119,0.0529721527026826,4.260963777218883e-11,2.55657826633133e-10,correlation_matrix_difference,original_vs_topological,True
custom_scm_noise0p2,20,-0.0187515732437345,-0.0561126700584328,0.0206269753219364,0.313728575022711,0.313728575022711,correlation_matrix_difference,original_vs_worst,False
custom_scm_noise0p2,50,-0.006243521829151,-0.0243662240174636,0.0108914924559239,0.4330764532843558,0.4330764532843558,correlation_matrix_difference,original_vs_worst,False
custom_scm_noise0p2,100,0.0001782398066961,-0.0137412359150736,0.0147249546724326,0.9753134632163344,0.9753134632163344,correlation_matrix_difference,original_vs_worst,False
custom_scm_noise0p2,200,0.0006075298012485,-0.0155059791629249,0.0148735246713142,0.9314997084840356,0.9314997084840356,correlation_matrix_difference,original_vs_worst,False
custom_scm_noise0p2,500,-0.0116836906369585,-0.027050004581623,0.0043296671424947,0.1009883366808758,0.1840623690656708,correlation_matrix_difference,original_vs_worst,False
