dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,metric,comparison,is_significant
custom_scm_noise0p2,20,0.006125,0.0021249999999999,0.0099999999999999,0.0001586683943646,0.0006346735774584,nnaa,original_vs_topological,True
custom_scm_noise0p2,50,0.00475,0.001375,0.007875,0.0003398025051408,0.0016990125257043,nnaa,original_vs_topological,True
custom_scm_noise0p2,100,0.0025,-0.0009999999999999,0.0062499999999999,0.0673628263792271,0.2694513055169086,nnaa,original_vs_topological,False
custom_scm_noise0p2,200,0.003375,0.00025,0.0065,0.0046580474210023,0.0279482845260141,nnaa,original_vs_topological,True
custom_scm_noise0p2,500,0.0009999999999999,-0.0021249999999999,0.004,0.4034171526494441,1.0,nnaa,original_vs_topological,False
custom_scm_noise0p2,20,-0.000625,-0.0039999999999999,0.0026249999999999,0.6265857242668974,0.6265857242668974,nnaa,original_vs_worst,False
custom_scm_noise0p2,50,0.00125,-0.0017499999999999,0.00425,0.2998838428742245,0.5997676857484491,nnaa,original_vs_worst,False
custom_scm_noise0p2,100,0.001,-0.0022499999999999,0.0044999999999998,0.4072998510287736,0.6964145432413205,nnaa,original_vs_worst,False
custom_scm_noise0p2,200,0.0005,-0.0031249999999999,0.0041249999999999,0.7582745827801043,1.0,nnaa,original_vs_worst,False
custom_scm_noise0p2,500,-0.000375,-0.0036250000000001,0.003,0.7348472249584129,1.0,nnaa,original_vs_worst,False
