dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,metric,is_significant
custom_scm_noise0p2,20,-0.0187515732437345,-0.0561126700584328,0.0206269753219364,0.313728575022711,0.313728575022711,correlation_matrix_difference,False
custom_scm_noise0p2,50,-0.006243521829151,-0.0243662240174636,0.0108914924559239,0.4330764532843558,0.4330764532843558,correlation_matrix_difference,False
custom_scm_noise0p2,100,0.0001782398066961,-0.0137412359150736,0.0147249546724326,0.9753134632163344,0.9753134632163344,correlation_matrix_difference,False
custom_scm_noise0p2,200,0.0006075298012485,-0.0155059791629249,0.0148735246713142,0.9314997084840356,0.9314997084840356,correlation_matrix_difference,False
custom_scm_noise0p2,500,-0.0116836906369585,-0.027050004581623,0.0043296671424947,0.1009883366808758,0.1840623690656708,correlation_matrix_difference,False
custom_scm_noise0p2,20,-0.000625,-0.0039999999999999,0.0026249999999999,0.6265857242668974,0.6265857242668974,nnaa,False
custom_scm_noise0p2,50,0.00125,-0.0017499999999999,0.00425,0.2998838428742245,0.5997676857484491,nnaa,False
custom_scm_noise0p2,100,0.001,-0.0022499999999999,0.0044999999999998,0.4072998510287736,0.6964145432413205,nnaa,False
custom_scm_noise0p2,200,0.0005,-0.0031249999999999,0.0041249999999999,0.7582745827801043,1.0,nnaa,False
custom_scm_noise0p2,500,-0.000375,-0.0036250000000001,0.003,0.7348472249584129,1.0,nnaa,False
