dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,metric,is_significant
custom_scm_noise0p2,20,0.2374172273427829,0.1648361647121554,0.2955714390082721,1.631012778441796e-15,8.155063892208981e-15,correlation_matrix_difference,True
custom_scm_noise0p2,50,0.1152722690284845,0.0845967516011102,0.1476979749548586,2.3957899977091284e-16,1.437473998625477e-15,correlation_matrix_difference,True
custom_scm_noise0p2,100,0.0820820334236199,0.0581395235440861,0.105694664904851,3.6981696794020436e-14,2.2189018076412258e-13,correlation_matrix_difference,True
custom_scm_noise0p2,200,0.0692413574640593,0.0502851370607531,0.0892018402591112,3.3262914681756384e-14,1.995774880905383e-13,correlation_matrix_difference,True
custom_scm_noise0p2,500,0.0395778756121717,0.026538145822119,0.0529721527026826,4.260963777218883e-11,2.55657826633133e-10,correlation_matrix_difference,True
custom_scm_noise0p2,20,0.008375,0.0041666666666665,0.0124166666666666,1.4564395201181864e-06,5.825758080472746e-06,k_marginal_tvd,True
custom_scm_noise0p2,50,0.004875,0.0026249999999999,0.007125,8.344450354699823e-07,3.337780141879929e-06,k_marginal_tvd,True
custom_scm_noise0p2,100,0.0025,0.0008333333333333,0.0042499999999999,0.0004471756373435,0.0013415269120305,k_marginal_tvd,True
custom_scm_noise0p2,200,0.0019583333333333,0.0004166666666667,0.0035833333333332,0.0024802240437899,0.0074406721313697,k_marginal_tvd,True
custom_scm_noise0p2,500,0.0018749999999999,0.0004583333333333,0.0032499999999999,0.0021126504046079,0.0063379512138239,k_marginal_tvd,True
