dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,metric,is_significant
custom_scm_noise0p2,20,0.0647777417555865,0.0362311722899551,0.107899252539564,3.7371679994655254e-10,1.1211503998396578e-09,correlation_matrix_difference,True
custom_scm_noise0p2,50,0.0289001222782467,0.0112706442089884,0.0506373522320609,0.0001665719436749,0.0003331438873498,correlation_matrix_difference,True
custom_scm_noise0p2,100,0.0268370951664302,0.0109753922784664,0.0451119630145516,0.0001430772044916,0.0002861544089832,correlation_matrix_difference,True
custom_scm_noise0p2,200,0.0121827062008101,-0.0013590017122998,0.0277605690347736,0.0421485961806254,0.0842971923612508,correlation_matrix_difference,False
custom_scm_noise0p2,500,0.0092437895147247,-0.0030497470006205,0.0206531955997233,0.0920311845328354,0.1840623690656708,correlation_matrix_difference,False
custom_scm_noise0p2,20,0.0036666666666665,0.0012916666666666,0.0063333333333333,0.0002768448298111,0.0008305344894335,k_marginal_tvd,True
custom_scm_noise0p2,50,0.0009583333333332,-0.000875,0.0028749999999999,0.2189936812276176,0.4379873624552353,k_marginal_tvd,False
custom_scm_noise0p2,100,0.0009166666666666,-0.0009583333333334,0.0028333333333333,0.3129002790186347,0.4379866815676123,k_marginal_tvd,False
custom_scm_noise0p2,200,0.0013958333333333,-8.333333333324089e-05,0.00275,0.0305616834857836,0.0611233669715672,k_marginal_tvd,False
custom_scm_noise0p2,500,0.001125,-0.0004166666666666,0.0026666666666666,0.1102403669616283,0.2204807339232566,k_marginal_tvd,False
