method,train_size,CMD,kMTVD,NNAA_distance_0p5
TabularARGN,20,2.202252698911196,0.8615833333333334,0.491375
TabularARGN,50,2.210342690463134,0.6312500000000001,0.48124999999999996
TabularARGN,100,2.208642177367272,0.5219166666666667,0.47612499999999996
TabularARGN,200,2.2123259489447893,0.47175,0.47375
TabularARGN,500,2.2144865391968462,0.449,0.472375
CTGAN,20,1.8413318834726764,0.517375,0.46912499999999996
CTGAN,50,1.827636562819551,0.4956666666666667,0.469625
CTGAN,100,1.8676571792425505,0.5017916666666666,0.47050000000000003
CTGAN,200,2.062526174695016,0.5983333333333334,0.47524999999999995
CTGAN,500,2.127764880553643,0.5933333333333334,0.47450000000000003
DATGAN,20,0.5439808262634975,0.5030833333333333,0.456875
DATGAN,50,0.27798058687977223,0.459,0.447125
DATGAN,100,0.24004292363581944,0.44562500000000005,0.43125
DATGAN,200,0.18035972739568001,0.4349166666666667,0.40874999999999995
DATGAN,500,0.2612535549019217,0.41262499999999996,0.418875
DECAF,20,2.2158077084827346,0.9971666666666668,0.5
DECAF,50,2.2592021068714523,0.9957083333333333,0.5
DECAF,100,3.494101337297577,0.99225,0.5
DECAF,200,3.484950335240639,0.9922083333333331,0.5
DECAF,500,2.7955506631164675,0.98975,0.5
CausalDiffTab,20,1.0484594744031535,0.524375,0.46625
CausalDiffTab,50,0.3133218090018478,0.343125,0.23724999999999996
CausalDiffTab,100,0.23068980346078172,0.2852916666666666,0.1355
CausalDiffTab,200,0.1945035326787968,0.2653333333333333,0.09637499999999999
CausalDiffTab,500,0.20723325608402104,0.2308333333333333,0.058374999999999955
TabPFN vanilla,20,0.4713171945798596,0.27737500000000004,0.055499999999999994
TabPFN vanilla,50,0.2852157133010188,0.24404166666666666,0.02300000000000002
TabPFN vanilla,100,0.19582578862665045,0.22549999999999995,0.01287499999999997
TabPFN vanilla,200,0.1541546026331061,0.22087499999999993,0.011499999999999955
TabPFN vanilla,500,0.12007182222975349,0.21433333333333326,0.007249999999999979
TabPFN DAG-aware,20,0.13005715308822,0.2602083333333334,0.04624999999999996
TabPFN DAG-aware,50,0.13535871787726014,0.2348333333333333,0.016125
TabPFN DAG-aware,100,0.08507461325068814,0.2218333333333333,0.009374999999999967
TabPFN DAG-aware,200,0.085920047690749,0.21779166666666666,0.009749999999999925
TabPFN DAG-aware,500,0.07391284379938376,0.21270833333333333,0.005500000000000033
