baseline,comparator,metric,train_size,median_paired_diff,p_raw,p_holm,significant,baseline_worse
TabularARGN,TabPFN vanilla,CMD,20,1.7140410593809323,3.89655984509591e-18,1.948279922547955e-17,True,True
TabularARGN,TabPFN vanilla,CMD,50,1.9268304373888872,3.89655984509591e-18,1.948279922547955e-17,True,True
TabularARGN,TabPFN vanilla,CMD,100,2.0185214008381154,3.89655984509591e-18,1.948279922547955e-17,True,True
TabularARGN,TabPFN vanilla,CMD,200,2.0608619227953007,3.89655984509591e-18,1.948279922547955e-17,True,True
TabularARGN,TabPFN vanilla,CMD,500,2.098630400980869,3.89655984509591e-18,1.948279922547955e-17,True,True
TabularARGN,TabPFN vanilla,kMTVD,20,0.5795833333333333,3.896340037647931e-18,1.9478403429127692e-17,True,True
TabularARGN,TabPFN vanilla,kMTVD,50,0.38979166666666665,3.896120241954008e-18,1.9478403429127692e-17,True,True
TabularARGN,TabPFN vanilla,kMTVD,100,0.29450000000000004,3.896120241954008e-18,1.9478403429127692e-17,True,True
TabularARGN,TabPFN vanilla,kMTVD,200,0.24987499999999996,3.895900458013434e-18,1.9478403429127692e-17,True,True
TabularARGN,TabPFN vanilla,kMTVD,500,0.23362499999999997,3.895680685825538e-18,1.9478403429127692e-17,True,True
TabularARGN,TabPFN vanilla,NNAA_distance_0p5,20,0.43437500000000007,3.895241176705638e-18,1.9438883546965272e-17,True,True
TabularARGN,TabPFN vanilla,NNAA_distance_0p5,50,0.458125,3.889751277126288e-18,1.9438883546965272e-17,True,True
TabularARGN,TabPFN vanilla,NNAA_distance_0p5,100,0.463375,3.895021439772566e-18,1.9438883546965272e-17,True,True
TabularARGN,TabPFN vanilla,NNAA_distance_0p5,200,0.46225000000000005,3.887776709393054e-18,1.9438883546965272e-17,True,True
TabularARGN,TabPFN vanilla,NNAA_distance_0p5,500,0.464375,3.891726795488223e-18,1.9438883546965272e-17,True,True
TabularARGN,TabPFN DAG-aware,CMD,20,2.051402113157568,3.89655984509591e-18,1.948279922547955e-17,True,True
TabularARGN,TabPFN DAG-aware,CMD,50,2.078954071197639,3.89655984509591e-18,1.948279922547955e-17,True,True
