algorithm,column_order,train_size,seed,correlation_matrix_difference,k_marginal_tvd,nnaa,nnaa_raw
vanilla,original,20,0,0.9316141749307182,0.2131060606060606,0.20375,0.70375
vanilla,original,20,1,1.010746967434155,0.2178863636363636,0.16625,0.66625
vanilla,original,20,2,0.9007467617065266,0.204530303030303,0.17300000000000004,0.673
vanilla,original,20,3,1.1574245669909873,0.224310606060606,0.1605000000000001,0.6605000000000001
vanilla,original,20,4,1.3156342832895411,0.2437575757575757,0.21975,0.71975
vanilla,original,20,5,1.1882081303985712,0.2061439393939393,0.16974999999999996,0.66975
vanilla,original,20,6,1.142615648215664,0.2584621212121213,0.22225000000000006,0.7222500000000001
vanilla,original,20,7,0.8720968024409582,0.251840909090909,0.21425000000000005,0.71425
vanilla,original,20,8,1.0985728002533626,0.2169242424242424,0.1835,0.6835
vanilla,original,20,9,1.1843707707089242,0.2452727272727272,0.18374999999999997,0.68375
vanilla,original,20,10,1.3193397839996297,0.2491439393939394,0.21275,0.71275
vanilla,original,20,11,1.450432341132731,0.2624015151515152,0.20500000000000007,0.7050000000000001
vanilla,original,20,12,1.112116188353504,0.2620530303030303,0.18674999999999997,0.68675
vanilla,original,20,13,1.2716599234085604,0.2181666666666666,0.19974999999999998,0.69975
vanilla,original,20,14,1.5626450478423706,0.2610454545454546,0.22575,0.72575
vanilla,original,20,15,1.2212634950269523,0.2524545454545455,0.1955,0.6955
vanilla,original,20,16,1.1274234205249385,0.2276363636363636,0.1752499999999999,0.6752499999999999
vanilla,original,20,17,1.0403601125407025,0.2071666666666665,0.15025,0.65025
vanilla,original,20,19,1.0309319714293037,0.2159015151515152,0.16300000000000003,0.663
vanilla,original,20,20,1.4582827052454963,0.2444318181818182,0.22025000000000006,0.7202500000000001
vanilla,original,20,21,0.9049759066513592,0.2288636363636363,0.14650000000000007,0.6465000000000001
vanilla,original,20,22,1.1501989277618885,0.2325303030303031,0.1745,0.6745
vanilla,original,20,23,0.9420916163120684,0.2563030303030303,0.20274999999999999,0.70275
vanilla,original,20,24,1.2988211724820158,0.2223939393939394,0.21425000000000005,0.71425
vanilla,original,20,25,1.0161227874869525,0.2285984848484849,0.17999999999999994,0.6799999999999999
vanilla,original,20,26,1.1039899222039558,0.1938409090909091,0.16325,0.66325
vanilla,original,20,28,1.170307122713076,0.2549242424242425,0.20825000000000005,0.70825
vanilla,original,20,29,1.1837785462719768,0.2301363636363637,0.1815,0.6815
