algorithm,column_order,train_size,seed,correlation_matrix_difference,k_marginal_tvd,nnaa,nnaa_raw
vanilla,original,20,0,0.13999500976413,0.3168333333333333,0.12824999999999998,0.62825
vanilla,original,20,1,0.4724539522240016,0.311,0.14650000000000007,0.6465000000000001
vanilla,original,20,2,0.1948573695774754,0.32875,0.15825,0.65825
vanilla,original,20,3,0.127639825519517,0.3143333333333333,0.14075000000000004,0.64075
vanilla,original,20,4,0.0732159427925578,0.3215,0.138,0.638
vanilla,original,20,5,0.4031906027501548,0.2831666666666667,0.11824999999999997,0.61825
vanilla,original,20,6,0.1585136500902498,0.2661666666666667,0.10525000000000007,0.6052500000000001
vanilla,original,20,7,0.0890130246491738,0.28125,0.09050000000000002,0.5905
vanilla,original,20,8,0.1507874580362957,0.2686666666666666,0.09850000000000003,0.5985
vanilla,original,20,9,0.3041353162988434,0.31775,0.10875000000000001,0.60875
vanilla,original,20,10,0.191044875300063,0.3124166666666667,0.10424999999999995,0.60425
vanilla,original,20,11,0.4635024930804921,0.3550833333333334,0.13775000000000004,0.63775
vanilla,original,20,12,1.030982008305177,0.3021666666666667,0.11199999999999999,0.612
vanilla,original,20,13,0.8271046408021107,0.3095833333333333,0.13275000000000003,0.63275
vanilla,original,20,14,0.2603170615738668,0.27975,0.10850000000000004,0.6085
vanilla,original,20,15,0.6359349008557147,0.28125,0.11775000000000002,0.61775
vanilla,original,20,16,0.1154226805878202,0.2703333333333333,0.10575000000000001,0.60575
vanilla,original,20,17,0.9751800553543942,0.3034166666666666,0.11099999999999999,0.611
vanilla,original,20,18,0.0788276191203984,0.2711666666666667,0.09999999999999998,0.6
vanilla,original,20,19,0.9511316868458692,0.361,0.16125,0.66125
vanilla,original,20,20,1.231488794747179,0.31775,0.12075000000000002,0.62075
vanilla,original,20,21,0.1429196893748264,0.288,0.11349999999999993,0.6134999999999999
vanilla,original,20,22,0.3312750065380083,0.27925,0.13449999999999995,0.6345
vanilla,original,20,23,0.8055243807317692,0.354,0.132,0.632
