algorithm,column_order,train_size,seed,correlation_matrix_difference,k_marginal_tvd,nnaa,nnaa_raw
vanilla,original,20,0,1.3730072539097158,0.3214583333333334,0.16549999999999998,0.6655
vanilla,original,20,1,1.285164044464422,0.3120416666666668,0.13749999999999996,0.6375
vanilla,original,20,2,1.502564507143267,0.38025,0.21025000000000005,0.71025
vanilla,original,20,3,2.6358124147706894,0.3273888888888889,0.19125000000000003,0.69125
vanilla,original,20,4,1.2829519271298149,0.3615555555555556,0.16049999999999998,0.6605
vanilla,original,20,5,1.491299232965925,0.3208055555555555,0.13824999999999998,0.63825
vanilla,original,20,6,1.1146621225492714,0.3493333333333334,0.14949999999999997,0.6495
vanilla,original,20,7,1.6455942943687554,0.3232361111111111,0.14125,0.64125
vanilla,original,20,8,1.2963934025030608,0.309125,0.13224999999999998,0.63225
vanilla,original,20,9,1.883717900619052,0.3039722222222222,0.12149999999999994,0.6214999999999999
vanilla,original,20,10,2.2479822844525255,0.3073333333333333,0.15149999999999997,0.6515
vanilla,original,20,11,2.1218328708026473,0.3399583333333333,0.18375000000000008,0.6837500000000001
vanilla,original,20,12,1.4901296283540568,0.3469027777777778,0.1712499999999999,0.6712499999999999
vanilla,original,20,13,2.372717467518535,0.3615416666666667,0.21225000000000005,0.71225
vanilla,original,20,14,2.103899193275553,0.3492083333333333,0.18199999999999994,0.6819999999999999
vanilla,original,20,15,1.0696604080485643,0.3076805555555555,0.14749999999999996,0.6475
vanilla,original,20,16,1.617937866638822,0.3109722222222222,0.15725,0.65725
vanilla,original,20,17,1.8101364263336952,0.3157638888888889,0.16700000000000004,0.667
vanilla,original,20,18,1.7254471963023463,0.3046388888888889,0.15700000000000003,0.657
vanilla,original,20,19,2.379455201016243,0.322875,0.1795,0.6795
vanilla,original,20,20,1.117023601529736,0.3373055555555556,0.17300000000000004,0.673
vanilla,original,20,21,1.225987850403724,0.2984166666666667,0.17049999999999998,0.6705
vanilla,original,20,22,0.9871654148388253,0.31525,0.14650000000000007,0.6465000000000001
vanilla,original,20,23,1.2642036448525231,0.3047916666666666,0.15474999999999994,0.6547499999999999
vanilla,original,20,24,1.0623384984333706,0.3272916666666667,0.14050000000000007,0.6405000000000001
vanilla,original,20,25,2.0615650333825974,0.3034444444444444,0.14500000000000002,0.645
vanilla,original,20,26,1.613633276589995,0.3079027777777778,0.16325,0.66325
vanilla,original,20,27,2.6297405567991787,0.3398055555555555,0.16449999999999998,0.6645
vanilla,original,20,28,2.132017837865681,0.3328472222222223,0.17300000000000004,0.673
vanilla,original,20,29,1.7160481512387982,0.3637777777777777,0.19825000000000004,0.69825
vanilla,original,20,31,1.3320221911761,0.2914305555555556,0.14175000000000004,0.64175
vanilla,original,20,33,1.678872341823125,0.363625,0.23124999999999996,0.73125
vanilla,original,20,34,2.038032642951663,0.3563194444444446,0.21124999999999994,0.7112499999999999
vanilla,original,20,35,1.0550385678419243,0.3113611111111111,0.14074999999999993,0.6407499999999999
vanilla,original,20,36,1.96203432182779,0.3173333333333333,0.14825,0.64825
vanilla,original,20,37,1.6300370706181118,0.296611111111111,0.11499999999999999,0.615
vanilla,original,20,38,1.93602895939108,0.3537083333333334,0.19300000000000006,0.6930000000000001
vanilla,original,20,39,0.9053740458315588,0.2993611111111111,0.11674999999999991,0.6167499999999999
vanilla,original,20,40,1.3226454291885812,0.3095972222222222,0.15474999999999994,0.6547499999999999
vanilla,original,20,41,1.8226571603537232,0.3142222222222223,0.16625,0.66625
vanilla,original,20,42,0.904327811153245,0.3070555555555555,0.13149999999999995,0.6315
vanilla,original,20,43,1.3286932921908032,0.3445694444444445,0.15375000000000005,0.65375
vanilla,original,20,44,1.8869615925212335,0.3272916666666666,0.17049999999999998,0.6705
vanilla,original,20,45,1.3642825135402077,0.2955555555555557,0.13250000000000006,0.6325000000000001
vanilla,original,20,46,1.9613650681365389,0.3518472222222222,0.16074999999999995,0.66075
vanilla,original,20,47,1.5383616158003393,0.3221805555555554,0.17225000000000001,0.67225
vanilla,original,20,48,1.5661762667353851,0.3118611111111111,0.14874999999999994,0.6487499999999999
vanilla,original,20,49,1.983678456109215,0.3540416666666666,0.15074999999999994,0.6507499999999999
vanilla,original,20,50,1.654233171272008,0.316013888888889,0.14975000000000005,0.64975
vanilla,original,20,51,1.1831262176142177,0.2899444444444444,0.126,0.626
vanilla,original,20,52,1.492908314779693,0.3221805555555556,0.15625,0.65625
vanilla,original,20,53,1.6536635659601386,0.3654027777777778,0.19324999999999992,0.6932499999999999
vanilla,original,20,54,2.4801091220067573,0.3233750000000001,0.17049999999999998,0.6705
vanilla,original,20,55,1.62602185227249,0.3198194444444445,0.18525000000000003,0.68525
vanilla,original,20,56,2.1946816814115535,0.326625,0.21875,0.71875
vanilla,original,20,57,1.1421769956719805,0.3196944444444444,0.1479999999999999,0.6479999999999999
vanilla,original,20,58,2.7631004119746185,0.3418472222222222,0.1825,0.6825
vanilla,original,20,61,1.42438608389318,0.3008472222222222,0.14225,0.64225
vanilla,original,20,62,1.9986246513192536,0.3555694444444444,0.18599999999999994,0.6859999999999999
vanilla,original,20,63,1.3628588746021228,0.3320416666666667,0.17700000000000005,0.677
vanilla,original,20,64,1.8794146139970325,0.3291388888888888,0.20500000000000007,0.7050000000000001
