algorithm,column_order,train_size,seed,correlation_matrix_difference,k_marginal_tvd,nnaa,nnaa_raw
vanilla,original,20,0,0.6577617625775815,0.2906666666666667,0.06674999999999998,0.56675
vanilla,original,20,1,0.2800207226975241,0.22625,0.013249999999999984,0.51325
vanilla,original,20,2,0.4814846020458115,0.2575,0.01849999999999996,0.5185
vanilla,original,20,3,0.2856777363486561,0.3755833333333334,0.11749999999999994,0.6174999999999999
vanilla,original,20,4,0.644111607175811,0.28675,0.0462499999999999,0.5462499999999999
vanilla,original,20,5,0.1382913483441185,0.2718333333333333,0.0595,0.5595
vanilla,original,20,6,0.5236434034649865,0.27,0.030000000000000027,0.53
vanilla,original,20,7,0.3919631731032008,0.2953333333333334,0.06574999999999998,0.56575
vanilla,original,20,8,0.9128366860558272,0.3354166666666667,0.09599999999999997,0.596
vanilla,original,20,9,0.2623026443989673,0.2810833333333333,0.07950000000000002,0.5795
vanilla,original,20,10,0.2613470321223367,0.2675,0.06625000000000003,0.56625
vanilla,original,20,11,1.075954987325389,0.3043333333333333,0.07150000000000001,0.5715
vanilla,original,20,12,0.5970971436813696,0.38075,0.13624999999999998,0.63625
vanilla,original,20,13,0.5933450224322377,0.2475833333333333,0.03474999999999995,0.53475
vanilla,original,20,14,0.3701747098767931,0.2595,0.03499999999999992,0.5349999999999999
vanilla,original,20,15,0.2700823066647262,0.2730833333333333,0.03849999999999998,0.5385
vanilla,original,20,16,0.246910491595309,0.2373333333333334,0.025499999999999967,0.5255
vanilla,original,20,17,0.7501434075863818,0.31575,0.07974999999999999,0.57975
vanilla,original,20,18,0.1829132644337012,0.2784166666666666,0.0635,0.5635
vanilla,original,20,19,0.3374945394078891,0.25325,0.05974999999999997,0.55975
vanilla,original,20,20,0.5286936228216026,0.2588333333333333,0.04349999999999998,0.5435
vanilla,original,20,21,0.7136791998362426,0.2880833333333333,0.05675000000000008,0.5567500000000001
vanilla,original,20,22,0.0625561355949167,0.2731666666666667,0.04849999999999999,0.5485
vanilla,original,20,23,0.3999913246865444,0.2825,0.06525000000000003,0.56525
vanilla,original,20,24,0.8007315681920286,0.2955833333333333,0.0685,0.5685
vanilla,original,20,25,0.2544344971656583,0.2560833333333334,0.05525000000000002,0.55525
vanilla,original,20,26,0.4438794186842182,0.26675,0.039000000000000035,0.539
vanilla,original,20,27,0.6889528130892375,0.2705833333333334,0.05499999999999994,0.5549999999999999
vanilla,original,20,28,0.6495921493870381,0.2665,0.03400000000000003,0.534
vanilla,original,20,29,1.1052796472603263,0.2990833333333333,0.0605,0.5605
vanilla,original,20,31,0.1059224075921186,0.3025,0.050999999999999934,0.5509999999999999
vanilla,original,20,32,1.1641585170278803,0.3469166666666667,0.10224999999999995,0.60225
vanilla,original,20,33,0.1642095888908975,0.2310833333333333,0.01750000000000007,0.5175000000000001
vanilla,original,20,34,0.2196722153526771,0.2909166666666666,0.07200000000000006,0.5720000000000001
vanilla,original,20,35,0.2971285316834073,0.26575,0.045499999999999985,0.5455
vanilla,original,20,36,0.2440804394912962,0.269,0.024249999999999994,0.52425
vanilla,original,20,37,0.2076663278649032,0.2181666666666667,0.020499999999999963,0.5205
vanilla,original,20,38,1.2867808502201616,0.321,0.07725000000000004,0.57725
vanilla,original,20,39,1.156039819324163,0.37575,0.12549999999999994,0.6255
vanilla,original,20,40,0.4642387029109437,0.3008333333333333,0.060249999999999915,0.5602499999999999
vanilla,original,20,41,0.3973773354767017,0.2538333333333333,0.04625000000000001,0.54625
vanilla,original,20,42,0.2608329704174276,0.2783333333333334,0.0475000000000001,0.5475000000000001
vanilla,original,20,43,0.5749807587252537,0.2881666666666666,0.04875000000000007,0.5487500000000001
vanilla,original,20,44,0.7054271692120367,0.24375,0.03675000000000006,0.5367500000000001
vanilla,original,20,45,0.6726043190035484,0.24925,0.04049999999999998,0.5405
vanilla,original,20,46,0.8040064021481007,0.2861666666666667,0.047250000000000014,0.54725
vanilla,original,20,47,0.144625324787857,0.2436666666666666,0.04249999999999998,0.5425
vanilla,original,20,48,0.6065399491406845,0.2544166666666667,0.03649999999999998,0.5365
vanilla,original,20,49,1.2364171985361043,0.3478333333333334,0.1087499999999999,0.6087499999999999
vanilla,original,20,50,0.4783956862487755,0.2840833333333334,0.05249999999999999,0.5525
vanilla,original,20,51,0.5379574967249308,0.369,0.11125000000000007,0.6112500000000001
vanilla,original,20,52,0.1366290094292895,0.2764166666666667,0.038250000000000006,0.53825
vanilla,original,20,53,0.595403853023103,0.256,0.050999999999999934,0.5509999999999999
vanilla,original,20,54,0.3891877089802755,0.2729166666666666,0.052749999999999964,0.55275
vanilla,original,20,55,0.1276538903064575,0.2455,0.027000000000000024,0.527
vanilla,original,20,56,0.3768786765192155,0.2524166666666667,0.050999999999999934,0.5509999999999999
vanilla,original,20,57,0.9265983872325626,0.3800833333333333,0.12775000000000003,0.62775
vanilla,original,20,58,0.9966648689607666,0.30475,0.0625,0.5625
vanilla,original,20,59,0.1678245114508186,0.2596666666666667,0.03774999999999995,0.53775
vanilla,original,20,61,1.5606589816158951,0.3621666666666667,0.10299999999999998,0.603
vanilla,original,20,62,0.1143312763669874,0.30275,0.05025000000000002,0.55025
vanilla,original,20,63,0.386853308086668,0.2489166666666666,0.02949999999999997,0.5295
vanilla,original,20,64,0.1887227843079069,0.2571666666666667,0.02675000000000005,0.52675
vanilla,original,20,65,0.1926893325236319,0.2649166666666667,0.024249999999999994,0.52425
vanilla,original,20,66,0.6537627936512599,0.3166666666666667,0.055749999999999966,0.55575
vanilla,original,20,67,0.2953912185569869,0.3149166666666667,0.07974999999999999,0.57975
vanilla,original,20,68,1.2027982438365397,0.306,0.07050000000000001,0.5705
vanilla,original,20,69,0.2076355372753948,0.2605,0.04875000000000007,0.5487500000000001
vanilla,original,20,70,0.3590457896452669,0.3425,0.11125000000000007,0.6112500000000001
vanilla,original,20,71,0.5820037299865813,0.2674166666666666,0.03674999999999995,0.53675
vanilla,original,20,72,0.7130616653390847,0.2528333333333333,0.03249999999999997,0.5325
vanilla,original,20,73,0.668312474232246,0.3643333333333333,0.11624999999999996,0.61625
vanilla,original,20,74,0.7987574041286893,0.2681666666666667,0.03325,0.53325
vanilla,original,20,75,0.2728550689198264,0.25425,0.0665,0.5665
vanilla,original,20,76,0.3838811415494116,0.2789166666666666,0.06000000000000005,0.56
vanilla,original,20,77,0.36962885249275,0.2514166666666667,0.0685,0.5685
vanilla,original,20,78,0.2488659038310128,0.2298333333333333,0.0442499999999999,0.5442499999999999
vanilla,original,20,79,0.9069704881606094,0.3050833333333334,0.07025000000000003,0.57025
vanilla,original,20,80,0.2555718972626337,0.2688333333333333,0.06000000000000005,0.56
vanilla,original,20,81,0.2313685524481466,0.2503333333333333,0.03699999999999992,0.5369999999999999
vanilla,original,20,82,0.4604399556923036,0.2681666666666666,0.04200000000000004,0.542
vanilla,original,20,83,0.5277652532016417,0.3066666666666667,0.07925000000000004,0.57925
vanilla,original,20,84,0.5805377919067456,0.3040833333333333,0.07099999999999995,0.571
vanilla,original,20,85,0.4279483272301883,0.2833333333333334,0.06275000000000008,0.5627500000000001
vanilla,original,20,86,1.1171124904381586,0.3025833333333333,0.05525000000000002,0.55525
vanilla,original,20,87,0.3048652706825038,0.2501666666666667,0.028000000000000025,0.528
