dataset,train_size,seed,method,correlation_matrix_difference,k_marginal_tvd,nnaa
custom_scm,20,0,random_order,0.5659534264604552,0.27375,0.554
custom_scm,20,1,random_order,0.1747801046702843,0.2252499999999999,0.5255
custom_scm,20,2,random_order,0.1637327391828706,0.2635833333333333,0.5289999999999999
custom_scm,20,3,random_order,0.361344977644751,0.4118333333333334,0.63525
custom_scm,20,4,random_order,0.4034370402436879,0.2919166666666666,0.5609999999999999
custom_scm,20,5,random_order,0.3058369916064218,0.254,0.55125
custom_scm,20,6,random_order,0.6263797432966702,0.2456666666666666,0.525
custom_scm,20,7,random_order,0.2378272964429056,0.30275,0.56525
custom_scm,20,8,random_order,0.3839895514061556,0.27475,0.5549999999999999
custom_scm,20,9,random_order,0.1660007054135074,0.2775,0.5735
custom_scm,20,10,random_order,0.1281955970030672,0.2769166666666666,0.579
custom_scm,20,11,random_order,1.2547766312273634,0.28925,0.55275
custom_scm,20,12,random_order,0.634866266736224,0.35,0.60725
custom_scm,20,13,random_order,0.7160368332923158,0.2530833333333333,0.5297499999999999
custom_scm,20,14,random_order,0.236993595278052,0.24325,0.5237499999999999
custom_scm,20,15,random_order,0.3115361224417703,0.2636666666666667,0.52025
custom_scm,20,16,random_order,0.1115258661565583,0.2440833333333333,0.53
custom_scm,20,17,random_order,1.2030616282211548,0.31925,0.5640000000000001
custom_scm,20,18,random_order,0.1075506485041588,0.2775833333333333,0.554
custom_scm,20,19,random_order,0.2678669889764303,0.2696666666666666,0.56275
custom_scm,20,20,random_order,0.4586866853471867,0.2638333333333333,0.5435
custom_scm,20,21,random_order,0.7486992769109577,0.2973333333333333,0.53575
custom_scm,20,22,random_order,0.092798431658479,0.2671666666666667,0.5407500000000001
custom_scm,20,23,random_order,0.4182498656089409,0.2839166666666667,0.5682499999999999
custom_scm,20,24,random_order,0.3376327151134802,0.3110833333333333,0.5609999999999999
custom_scm,20,25,random_order,0.358910910335495,0.2366666666666667,0.56375
custom_scm,20,26,random_order,0.7111021213132699,0.2571666666666666,0.53225
custom_scm,20,27,random_order,0.4778908774648048,0.2314166666666667,0.527
