scope,baseline,metric,n_cells,n_with_100_pairs,comparator_wins,comparator_losses,not_significant,median_hl,min_hl,max_hl
paper_8_comparator,random_order,correlation_matrix_difference,40,40,26,5,9,0.047912502125990325,-2.4311683846378145,0.2611924160289708
paper_8_comparator,random_order,k_marginal_tvd,40,40,31,6,3,0.003406250000000003,-0.07832841394025568,0.01295833333333335
paper_8_comparator,random_order,nnaa,40,40,33,0,7,0.01331250000000006,0.0006250000000000422,0.08575000000000005
paper_8_comparator,vanilla_original,correlation_matrix_difference,40,40,28,1,11,0.05641665108816555,-0.03891604170647216,0.6527481608576853
paper_8_comparator,vanilla_original,k_marginal_tvd,40,40,33,1,6,0.003881944444444462,-0.002625000000000051,0.046048364153626925
paper_8_comparator,vanilla_original,nnaa,40,40,32,0,8,0.010875000000000024,0.0014999999999999597,0.03912500000000002
regular_7_dag_aware,random_order,correlation_matrix_difference,35,35,26,0,9,0.060036661909365796,-0.033212668472074075,0.2611924160289708
regular_7_dag_aware,random_order,k_marginal_tvd,35,35,31,1,3,0.004041666666666631,-0.0012986111111110768,0.01295833333333335
regular_7_dag_aware,random_order,nnaa,35,35,28,0,7,0.011374999999999996,0.0006250000000000422,0.03687499999999999
regular_7_dag_aware,vanilla_original,correlation_matrix_difference,35,35,24,1,10,0.04756075513412861,-0.03891604170647216,0.33406177641306983
regular_7_dag_aware,vanilla_original,k_marginal_tvd,35,35,30,1,4,0.003672348484848452,-0.002625000000000051,0.017333333333333353
regular_7_dag_aware,vanilla_original,nnaa,35,35,28,0,7,0.01012499999999994,0.0014999999999999597,0.0383125
