dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,metric,is_significant
csuite_large_backdoor,20,0.1629382610170135,0.1055865243812527,0.2268677091588611,1.4644116702504568e-10,1.1715293362003654e-09,correlation_matrix_difference,True
csuite_large_backdoor,50,0.1826860501241386,0.1299693400749662,0.232193788771403,1.0563462824278319e-13,8.450770259422654e-13,correlation_matrix_difference,True
csuite_large_backdoor,100,0.1129836080183834,0.0708700145519022,0.1520438503793678,1.0667618241015043e-10,8.534094592812033e-10,correlation_matrix_difference,True
csuite_large_backdoor,200,0.063986645069625,0.0293118585422136,0.0959446274753583,7.376188806993486e-07,5.900951045594789e-06,correlation_matrix_difference,True
csuite_large_backdoor,500,0.0002089266064088,-0.029622669660375,0.0315418934692151,0.9890268007061764,1.0,correlation_matrix_difference,False
csuite_mixed_confounding,20,0.1380245893875152,0.0986868592753741,0.1761460324288941,5.050979449360805e-13,3.030587669616483e-12,correlation_matrix_difference,True
csuite_mixed_confounding,50,0.1834067140188702,0.1542425294004195,0.2121846731173008,2.3413085997284588e-17,1.638916019809921e-16,correlation_matrix_difference,True
csuite_mixed_confounding,100,0.1903464717388887,0.1639072050556342,0.2166845161267666,4.2663227307182344e-18,3.413058184574587e-17,correlation_matrix_difference,True
csuite_mixed_confounding,200,0.1231988095941257,0.1011044023600967,0.145484931604317,1.690631665125154e-17,1.3525053321001232e-16,correlation_matrix_difference,True
csuite_mixed_confounding,500,0.0639258765579635,0.0434996676226951,0.0846904720688336,4.260963777218883e-11,2.55657826633133e-10,correlation_matrix_difference,True
csuite_mixed_simpson,20,-0.0027772872452671,-0.0392313338648887,0.0370589394457814,0.8689128190274791,1.0,correlation_matrix_difference,False
csuite_mixed_simpson,50,0.0203584182414084,-0.0051818874084927,0.0459495941044786,0.0300384521739029,0.1802307130434175,correlation_matrix_difference,False
csuite_mixed_simpson,100,0.0214770732282589,0.0017373480580639,0.0429750438937707,0.0042733188279686,0.0256399129678119,correlation_matrix_difference,True
csuite_mixed_simpson,200,0.0507375743470271,0.0175270776373235,0.1117366550932788,2.275203620036337e-05,0.0001820162896029,correlation_matrix_difference,True
csuite_mixed_simpson,500,0.0361302698510921,0.0096068968334866,0.157472380288703,0.0001990118926984,0.0013930832488891,correlation_matrix_difference,True
csuite_nonlin_simpson,20,0.0357072733956306,0.0070264513922134,0.0708221215457919,0.0006984463217334,0.0055875705738679,correlation_matrix_difference,True
csuite_nonlin_simpson,50,0.0564571573076804,0.031164953370426,0.0842418199214275,6.116495808710733e-08,4.893196646968587e-07,correlation_matrix_difference,True
