dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,is_significant,metric
csuite_large_backdoor,20,0.0027847222222222,0.000548611111111,0.0048333333333334,0.0009292772651479,0.0065049408560353,True,k_marginal_tvd
csuite_large_backdoor,50,0.0033090277777777,0.0017708333333331,0.0049444444444445,7.915550918956862e-07,4.7493305513741175e-06,True,k_marginal_tvd
csuite_large_backdoor,100,0.001611111111111,0.0004583333333332,0.0028333333333332,0.0006811217453533,0.0027244869814133,True,k_marginal_tvd
csuite_large_backdoor,200,0.0012083333333332,1.3888888889007632e-05,0.0023124999999999,0.0089717480809991,0.0448587404049959,True,k_marginal_tvd
csuite_large_backdoor,500,-0.001298611111111,-0.0021666666666666,-0.0004583333333333,0.0008012237495512,0.0016024474991025,True,k_marginal_tvd
csuite_mixed_confounding,20,0.0040416666666666,0.0020681818181818,0.005935606060606,3.3220207038943945e-07,2.6576165631155156e-06,True,k_marginal_tvd
csuite_mixed_confounding,50,0.0040795454545454,0.0026704545454545,0.0054583333333333,2.2429783625423004e-10,1.7943826900338403e-09,True,k_marginal_tvd
csuite_mixed_confounding,100,0.0037272727272726,0.0024848484848484,0.005060606060606,1.002319219830516e-11,8.018553758644126e-11,True,k_marginal_tvd
csuite_mixed_confounding,200,0.0043863636363636,0.003121212121212,0.0056136363636363,4.801293488912921e-13,3.3609054422390452e-12,True,k_marginal_tvd
csuite_mixed_confounding,500,0.0012651515151514,0.0002083333333332,0.0023598484848484,0.001616328763465,0.0096979725807902,True,k_marginal_tvd
csuite_mixed_simpson,20,-0.0011666666666666,-0.009,0.0067916666666666,0.7180804276832122,0.7180804276832122,False,k_marginal_tvd
csuite_mixed_simpson,50,0.0060416666666667,0.0004166666666667,0.0119166666666666,0.004888736856877,0.0329614420314688,True,k_marginal_tvd
csuite_mixed_simpson,100,0.0076249999999999,0.0024166666666666,0.0129166666666666,0.0001587181661422,0.0007935908307114,True,k_marginal_tvd
csuite_mixed_simpson,200,0.0112499999999999,0.0057499999999999,0.0172083333333333,7.325634042978329e-09,5.860507234382663e-08,True,k_marginal_tvd
csuite_mixed_simpson,500,0.0128333333333333,0.0075,0.0202083333333333,1.0787052719675287e-10,8.629642175740231e-10,True,k_marginal_tvd
csuite_nonlin_simpson,20,0.0066666666666667,0.0031666666666665,0.0104166666666666,1.3594410574303506e-06,1.0875528459442805e-05,True,k_marginal_tvd
csuite_nonlin_simpson,50,0.0098749999999999,0.0069999999999998,0.0128333333333333,9.588314404652184e-13,5.752988642791311e-12,True,k_marginal_tvd
csuite_nonlin_simpson,100,0.0129583333333333,0.0107499999999999,0.0152083333333333,7.233310526318719e-17,5.786648421054975e-16,True,k_marginal_tvd
csuite_nonlin_simpson,200,0.0100833333333333,0.0075833333333333,0.0125833333333332,6.4558889932764614e-15,5.164711194621169e-14,True,k_marginal_tvd
csuite_nonlin_simpson,500,0.0060416666666667,0.0038333333333333,0.0082083333333333,1.383789690165427e-10,1.1070317521323415e-09,True,k_marginal_tvd
csuite_symprod_simpson,20,0.01225,0.0076666666666665,0.0172083333333333,6.054065876502175e-10,3.632439525901305e-09,True,k_marginal_tvd
csuite_symprod_simpson,50,0.011,0.0074583333333332,0.0143749999999999,4.009359460830317e-12,2.806551622581222e-11,True,k_marginal_tvd
csuite_symprod_simpson,100,0.0072083333333333,0.0044583333333333,0.0099583333333333,4.6048858431329175e-10,3.2234200901930423e-09,True,k_marginal_tvd
csuite_symprod_simpson,200,0.0042499999999999,0.001875,0.0066249999999999,3.9779093152158745e-06,2.386745589129525e-05,True,k_marginal_tvd
csuite_symprod_simpson,500,0.0023749999999999,0.0006666666666666,0.0041249999999999,0.000489371182763,0.002936227096578,True,k_marginal_tvd
csuite_weak_arrows,20,0.0034375,0.0011736111111111,0.0058055555555555,4.929482066634592e-05,0.0003943585653307,True,k_marginal_tvd
csuite_weak_arrows,50,0.0020277777777777,0.0005069444444444,0.0036458333333333,0.0004218711298836,0.0029530979091856,True,k_marginal_tvd
csuite_weak_arrows,100,0.0016875,0.000375,0.0028888888888889,0.0007343038954145,0.0058744311633164,True,k_marginal_tvd
csuite_weak_arrows,200,0.0010763888888889,9.714451465470121e-17,0.0020208333333333,0.0081915276835836,0.0491491661015018,True,k_marginal_tvd
csuite_weak_arrows,500,0.0001736111111111,-0.0008125,0.0012083333333333,0.6265961719599837,1.0,False,k_marginal_tvd
custom_scm,20,0.0104374999999999,0.0049999999999999,0.0158749999999999,4.729993134707844e-06,2.3649965673539217e-05,True,k_marginal_tvd
custom_scm,50,0.0054166666666667,0.0023333333333332,0.0087916666666666,1.4300154164228968e-05,7.150077082114484e-05,True,k_marginal_tvd
custom_scm,100,0.0033749999999999,0.0004583333333333,0.0062916666666666,0.0029542756410839,0.0147713782054197,True,k_marginal_tvd
custom_scm,200,0.0020833333333333,-0.0003333333333333,0.0045,0.0243147268209776,0.0972589072839105,False,k_marginal_tvd
custom_scm,500,0.0026458333333333,0.000125,0.005,0.0068101169724546,0.0340505848622733,True,k_marginal_tvd
