dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,is_significant,metric
csuite_large_backdoor,20,0.1629382610170135,0.1055865243812527,0.2268677091588611,1.4644116702504568e-10,1.1715293362003654e-09,True,correlation_matrix_difference
csuite_large_backdoor,50,0.1826860501241386,0.1299693400749662,0.232193788771403,1.0563462824278319e-13,8.450770259422654e-13,True,correlation_matrix_difference
csuite_large_backdoor,100,0.1129836080183834,0.0708700145519022,0.1520438503793678,1.0667618241015043e-10,8.534094592812033e-10,True,correlation_matrix_difference
csuite_large_backdoor,200,0.063986645069625,0.0293118585422136,0.0959446274753583,7.376188806993486e-07,5.900951045594789e-06,True,correlation_matrix_difference
csuite_large_backdoor,500,0.0002089266064088,-0.029622669660375,0.0315418934692151,0.9890268007061764,1.0,False,correlation_matrix_difference
csuite_mixed_confounding,20,0.1380245893875152,0.0986868592753741,0.1761460324288941,5.050979449360805e-13,3.030587669616483e-12,True,correlation_matrix_difference
csuite_mixed_confounding,50,0.1834067140188702,0.1542425294004195,0.2121846731173008,2.3413085997284588e-17,1.638916019809921e-16,True,correlation_matrix_difference
csuite_mixed_confounding,100,0.1903464717388887,0.1639072050556342,0.2166845161267666,4.2663227307182344e-18,3.413058184574587e-17,True,correlation_matrix_difference
csuite_mixed_confounding,200,0.1231988095941257,0.1011044023600967,0.145484931604317,1.690631665125154e-17,1.3525053321001232e-16,True,correlation_matrix_difference
csuite_mixed_confounding,500,0.0639258765579635,0.0434996676226951,0.0846904720688336,4.260963777218883e-11,2.55657826633133e-10,True,correlation_matrix_difference
csuite_mixed_simpson,20,-0.0027772872452671,-0.0392313338648887,0.0370589394457814,0.8689128190274791,1.0,False,correlation_matrix_difference
csuite_mixed_simpson,50,0.0203584182414084,-0.0051818874084927,0.0459495941044786,0.0300384521739029,0.1802307130434175,False,correlation_matrix_difference
csuite_mixed_simpson,100,0.0214770732282589,0.0017373480580639,0.0429750438937707,0.0042733188279686,0.0256399129678119,True,correlation_matrix_difference
csuite_mixed_simpson,200,0.0507375743470271,0.0175270776373235,0.1117366550932788,2.275203620036337e-05,0.0001820162896029,True,correlation_matrix_difference
csuite_mixed_simpson,500,0.0361302698510921,0.0096068968334866,0.157472380288703,0.0001990118926984,0.0013930832488891,True,correlation_matrix_difference
csuite_nonlin_simpson,20,0.0357072733956306,0.0070264513922134,0.0708221215457919,0.0006984463217334,0.0055875705738679,True,correlation_matrix_difference
csuite_nonlin_simpson,50,0.0564571573076804,0.031164953370426,0.0842418199214275,6.116495808710733e-08,4.893196646968587e-07,True,correlation_matrix_difference
csuite_nonlin_simpson,100,0.0450874299049535,0.023893443204601,0.0671895464750434,8.628249618279228e-08,6.902599694623383e-07,True,correlation_matrix_difference
csuite_nonlin_simpson,200,0.0244325992756519,0.0052839322427989,0.0445483687232364,0.0007072581236009,0.0056580649888073,True,correlation_matrix_difference
csuite_nonlin_simpson,500,0.0126182848701327,-0.0070338536825616,0.0340903336097953,0.0812933256499884,0.5690532795499191,False,correlation_matrix_difference
csuite_symprod_simpson,20,-0.033212668472074,-0.0668156696891097,0.0007971664022298,0.0139556757358696,0.0558227029434787,False,correlation_matrix_difference
csuite_symprod_simpson,50,-0.0168521421542167,-0.0499555875733804,0.0136369799259942,0.121803894280117,0.487215577120468,False,correlation_matrix_difference
csuite_symprod_simpson,100,-0.0215549238242143,-0.0460244111582114,0.0030018435805569,0.0178359729215026,0.1070158375290161,False,correlation_matrix_difference
csuite_symprod_simpson,200,0.0068245006839781,-0.010872061885816,0.0264838669253359,0.2623330281559302,0.7869990844677905,False,correlation_matrix_difference
csuite_symprod_simpson,500,-0.0120685762803143,-0.0316413112500464,0.0087177869222292,0.112950941316262,0.593171904287293,False,correlation_matrix_difference
csuite_weak_arrows,20,0.2504213308147117,0.1727943182358223,0.3283790859373837,2.956017639629545e-12,2.0692123477406815e-11,True,correlation_matrix_difference
csuite_weak_arrows,50,0.2611924160289708,0.2063680441572395,0.3159590502682453,5.026457534403374e-17,4.021166027522699e-16,True,correlation_matrix_difference
csuite_weak_arrows,100,0.1723472360324801,0.1260436329162673,0.2242090253903007,1.9809780081603547e-15,1.5847824065282838e-14,True,correlation_matrix_difference
csuite_weak_arrows,200,0.1014483865549378,0.0697724168677497,0.135610507196647,5.699537283654099e-12,4.5596298269232786e-11,True,correlation_matrix_difference
csuite_weak_arrows,500,0.0670359072580163,0.0425576228631155,0.0934513317194204,2.564014863846255e-10,1.7948104046923783e-09,True,correlation_matrix_difference
custom_scm,20,0.2118066485101774,0.1358664653594686,0.3106688267852619,4.3387590457618723e-13,2.169379522880936e-12,True,correlation_matrix_difference
custom_scm,50,0.1262561294024705,0.078542383987618,0.1789086686351116,1.4466417063919297e-12,7.233208531959648e-12,True,correlation_matrix_difference
custom_scm,100,0.0692619421369566,0.0377919986256159,0.1132907279298398,3.946694285453164e-09,1.9733471427265825e-08,True,correlation_matrix_difference
custom_scm,200,0.0600366619093657,0.0349317813837569,0.0951164713236214,6.60666275281221e-10,3.303331376406105e-09,True,correlation_matrix_difference
custom_scm,500,0.0378394259653525,0.0184639920045077,0.0589282634409631,1.246885016264847e-06,6.2344250813242355e-06,True,correlation_matrix_difference
