dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,is_significant,metric
csuite_large_backdoor,20,0.0195,0.0141249999999999,0.0248749999999999,1.4229775384640726e-13,9.960842769248509e-13,True,nnaa
csuite_large_backdoor,50,0.0157499999999999,0.0116249999999999,0.02,1.9776783834020324e-14,1.384374868381423e-13,True,nnaa
csuite_large_backdoor,100,0.0135,0.0097499999999999,0.0173749999999999,3.2780481370296833e-13,2.2946336959207778e-12,True,nnaa
csuite_large_backdoor,200,0.0066249999999999,0.00325,0.0101249999999999,1.1730040671112386e-06,8.21102846977867e-06,True,nnaa
csuite_large_backdoor,500,0.001125,-0.0022499999999999,0.0044999999999999,0.3778021535104179,1.0,False,nnaa
csuite_mixed_confounding,20,0.0355,0.02975,0.0414999999999999,8.516718572082767e-18,5.110031143249661e-17,True,nnaa
csuite_mixed_confounding,50,0.0368749999999999,0.032375,0.04175,3.8954609253898395e-18,3.1163687403118716e-17,True,nnaa
csuite_mixed_confounding,100,0.0313749999999999,0.0269999999999999,0.0353749999999999,4.667275260546751e-18,3.11197658577122e-17,True,nnaa
csuite_mixed_confounding,200,0.020375,0.0165,0.0244999999999999,3.8023705473338155e-17,3.0418964378670524e-16,True,nnaa
csuite_mixed_confounding,500,0.013875,0.010875,0.0173749999999999,2.2114742627491562e-15,1.5480319839244094e-14,True,nnaa
csuite_mixed_simpson,20,0.013125,0.007375,0.0182499999999999,7.128300455963172e-08,4.276980273577903e-07,True,nnaa
csuite_mixed_simpson,50,0.0068749999999999,0.00325,0.0107499999999999,7.220588931065876e-06,3.610294465532938e-05,True,nnaa
csuite_mixed_simpson,100,0.008875,0.0050000000000001,0.0128749999999999,3.917469663580014e-08,2.3504817981480087e-07,True,nnaa
csuite_mixed_simpson,200,0.0238124999999999,0.013875,0.0336249999999999,4.363503698045575e-12,3.49080295843646e-11,True,nnaa
csuite_mixed_simpson,500,0.02575,0.0161250000000001,0.03575,5.625254527462343e-12,4.5002036219698737e-11,True,nnaa
csuite_nonlin_simpson,20,0.0084999999999999,0.0041249999999999,0.0127499999999999,3.177772943119375e-06,2.5422183544955003e-05,True,nnaa
csuite_nonlin_simpson,50,0.0143749999999999,0.0101249999999999,0.0185,6.491523677681831e-13,4.544066574377282e-12,True,nnaa
csuite_nonlin_simpson,100,0.0175,0.0135,0.0216249999999999,5.6982010711076315e-16,4.5585608568861044e-15,True,nnaa
csuite_nonlin_simpson,200,0.015375,0.0122499999999999,0.0186249999999999,2.5699256787533e-16,2.0559405430026404e-15,True,nnaa
csuite_nonlin_simpson,500,0.0097499999999999,0.0063749999999999,0.0133749999999999,3.8587490026495256e-10,3.08699920211962e-09,True,nnaa
csuite_symprod_simpson,20,0.01175,0.0065,0.0172499999999998,2.667191199421576e-07,1.6003147196529454e-06,True,nnaa
csuite_symprod_simpson,50,0.0113749999999999,0.0068749999999999,0.0162499999999999,3.23539771350933e-09,2.2647783994565314e-08,True,nnaa
csuite_symprod_simpson,100,0.0095,0.0056249999999999,0.013375,2.337298861307743e-09,1.63610920291542e-08,True,nnaa
csuite_symprod_simpson,200,0.0055,0.00175,0.0089999999999999,8.613886174158311e-05,0.000602972032191,True,nnaa
csuite_symprod_simpson,500,0.0032499999999999,-0.0004999999999999,0.0068749999999999,0.0176697447911831,0.1236882135382821,False,nnaa
csuite_weak_arrows,20,0.0201249999999999,0.0151249999999998,0.0253749999999999,3.342943365444272e-15,2.34006035581099e-14,True,nnaa
csuite_weak_arrows,50,0.0158749999999999,0.0112499999999999,0.0204999999999999,1.3422499162730685e-12,9.395749413911478e-12,True,nnaa
csuite_weak_arrows,100,0.0089999999999999,0.005,0.0132499999999999,1.022825661833242e-07,7.092399607158138e-07,True,nnaa
csuite_weak_arrows,200,0.007875,0.00475,0.0113749999999999,7.768379625809648e-10,6.214703700647719e-09,True,nnaa
csuite_weak_arrows,500,0.00325,-0.0004999999999999,0.00675,0.0197411046372112,0.1381877324604786,False,nnaa
custom_scm,20,0.000625,-0.00275,0.0042499999999999,0.6511611131282635,0.6511611131282635,False,nnaa
custom_scm,50,0.0049999999999999,0.00125,0.0086249999999999,0.0008212119335173,0.0049272716011038,True,nnaa
custom_scm,100,0.0023749999999999,-0.0016249999999999,0.0059999999999999,0.0936964618747718,0.4163750202560322,False,nnaa
custom_scm,200,0.001125,-0.0026249999999999,0.0048749999999999,0.3966773508390908,1.0,False,nnaa
custom_scm,500,0.002625,-0.0012499999999999,0.00625,0.0583812256637408,0.2919061283187043,False,nnaa
