algorithm,column_order,actual_column_order,graph_structure,graph_nodes,graph_edges,undirected_edges,train_size,seed,repetition,categorical_cols,correlation_matrix_difference,k_marginal_tvd,nnaa,nnaa_raw,nnaa_distance_0p5
vanilla,original,"x2_0,x3_0,x6_0,x8_0,x5_0,x4_0,x1_0,x7_0,x0_0",no_graph,0,0,0,20,0,1,,1.8578069744006596,0.3487777777777778,0.2265,0.7265,0.2265
vanilla,original,"x2_0,x3_0,x6_0,x8_0,x5_0,x4_0,x1_0,x7_0,x0_0",no_graph,0,0,0,20,1,2,,0.902566095588736,0.3200416666666666,0.1519999999999999,0.6519999999999999,0.1519999999999999
vanilla,original,"x2_0,x3_0,x6_0,x8_0,x5_0,x4_0,x1_0,x7_0,x0_0",no_graph,0,0,0,20,2,3,,1.0795967595663307,0.3713194444444445,0.187,0.687,0.187
vanilla,original,"x2_0,x3_0,x6_0,x8_0,x5_0,x4_0,x1_0,x7_0,x0_0",no_graph,0,0,0,20,3,4,,1.4266517179468765,0.3438055555555556,0.14725,0.64725,0.14725
vanilla,original,"x2_0,x3_0,x6_0,x8_0,x5_0,x4_0,x1_0,x7_0,x0_0",no_graph,0,0,0,20,4,5,,1.7963585791234329,0.3095138888888888,0.156,0.656,0.156
vanilla,original,"x2_0,x3_0,x6_0,x8_0,x5_0,x4_0,x1_0,x7_0,x0_0",no_graph,0,0,0,20,5,6,,1.4174113185085522,0.3145694444444444,0.16025,0.66025,0.16025
vanilla,original,"x2_0,x3_0,x6_0,x8_0,x5_0,x4_0,x1_0,x7_0,x0_0",no_graph,0,0,0,20,6,7,,1.4354873882475188,0.3163194444444444,0.1405,0.6405000000000001,0.1405
vanilla,original,"x2_0,x3_0,x6_0,x8_0,x5_0,x4_0,x1_0,x7_0,x0_0",no_graph,0,0,0,20,7,8,,2.2505387335386997,0.3324583333333333,0.1352499999999999,0.63525,0.1352499999999999
vanilla,original,"x2_0,x3_0,x6_0,x8_0,x5_0,x4_0,x1_0,x7_0,x0_0",no_graph,0,0,0,20,8,9,,1.379413797204875,0.3164861111111112,0.1627499999999999,0.66275,0.1627499999999999
vanilla,original,"x2_0,x3_0,x6_0,x8_0,x5_0,x4_0,x1_0,x7_0,x0_0",no_graph,0,0,0,20,9,10,,1.2154230714674277,0.3120138888888888,0.1282499999999999,0.62825,0.1282499999999999
vanilla,original,"x2_0,x3_0,x6_0,x8_0,x5_0,x4_0,x1_0,x7_0,x0_0",no_graph,0,0,0,20,10,11,,1.219713451158615,0.3349583333333334,0.1867499999999999,0.68675,0.1867499999999999
vanilla,original,"x2_0,x3_0,x6_0,x8_0,x5_0,x4_0,x1_0,x7_0,x0_0",no_graph,0,0,0,20,11,12,,1.24350725640872,0.3294027777777778,0.1454999999999999,0.6455,0.1454999999999999
vanilla,original,"x2_0,x3_0,x6_0,x8_0,x5_0,x4_0,x1_0,x7_0,x0_0",no_graph,0,0,0,20,12,13,,1.8942738895194793,0.3240694444444444,0.1607499999999999,0.66075,0.1607499999999999
vanilla,original,"x2_0,x3_0,x6_0,x8_0,x5_0,x4_0,x1_0,x7_0,x0_0",no_graph,0,0,0,20,13,14,,1.7881610293138952,0.3731111111111111,0.205,0.7050000000000001,0.205
vanilla,original,"x2_0,x3_0,x6_0,x8_0,x5_0,x4_0,x1_0,x7_0,x0_0",no_graph,0,0,0,20,14,15,,1.000491461031143,0.3212500000000001,0.1214999999999999,0.6214999999999999,0.1214999999999999
vanilla,original,"x2_0,x3_0,x6_0,x8_0,x5_0,x4_0,x1_0,x7_0,x0_0",no_graph,0,0,0,20,15,16,,1.265494586609854,0.3275138888888888,0.1559999999999999,0.6559999999999999,0.1559999999999999
vanilla,original,"x2_0,x3_0,x6_0,x8_0,x5_0,x4_0,x1_0,x7_0,x0_0",no_graph,0,0,0,20,16,17,,0.8746261728395919,0.3395138888888889,0.14925,0.64925,0.14925
vanilla,original,"x2_0,x3_0,x6_0,x8_0,x5_0,x4_0,x1_0,x7_0,x0_0",no_graph,0,0,0,20,17,18,,1.280320342556732,0.3168750000000001,0.15625,0.65625,0.15625
vanilla,original,"x2_0,x3_0,x6_0,x8_0,x5_0,x4_0,x1_0,x7_0,x0_0",no_graph,0,0,0,20,18,19,,0.8298027801306562,0.3195694444444444,0.1464999999999999,0.6465,0.1464999999999999
vanilla,original,"x2_0,x3_0,x6_0,x8_0,x5_0,x4_0,x1_0,x7_0,x0_0",no_graph,0,0,0,20,19,20,,2.026326725100214,0.3307916666666666,0.1547499999999999,0.6547499999999999,0.1547499999999999
vanilla,original,"x2_0,x3_0,x6_0,x8_0,x5_0,x4_0,x1_0,x7_0,x0_0",no_graph,0,0,0,20,20,21,,2.516366470498431,0.3532222222222222,0.1855,0.6855,0.1855
vanilla,original,"x2_0,x3_0,x6_0,x8_0,x5_0,x4_0,x1_0,x7_0,x0_0",no_graph,0,0,0,20,21,22,,1.0596100215161393,0.3011388888888888,0.13775,0.63775,0.13775
