algorithm,column_order,actual_column_order,graph_structure,graph_nodes,graph_edges,undirected_edges,train_size,seed,repetition,categorical_cols,correlation_matrix_difference,k_marginal_tvd,nnaa,nnaa_raw,nnaa_distance_0p5
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,0,1,,0.13999500976413,0.3168333333333333,0.62825,0.62825,0.12824999999999998
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,1,2,,0.4724539522240016,0.311,0.6465000000000001,0.6465000000000001,0.14650000000000007
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,2,3,,0.1948573695774754,0.32875,0.65825,0.65825,0.15825
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,3,4,,0.127639825519517,0.3143333333333333,0.64075,0.64075,0.14075000000000004
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,4,5,,0.0732159427925578,0.3215,0.638,0.638,0.138
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,5,6,,0.4031906027501548,0.2831666666666667,0.61825,0.61825,0.11824999999999997
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,6,7,,0.1585136500902498,0.2661666666666667,0.6052500000000001,0.6052500000000001,0.10525000000000007
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,7,8,,0.0890130246491738,0.28125,0.5905,0.5905,0.09050000000000002
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,8,9,,0.1507874580362957,0.2686666666666666,0.5985,0.5985,0.09850000000000003
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,9,10,,0.3041353162988434,0.31775,0.60875,0.60875,0.10875000000000001
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,10,11,,0.191044875300063,0.3124166666666667,0.60425,0.60425,0.10424999999999995
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,11,12,,0.4635024930804921,0.3550833333333334,0.63775,0.63775,0.13775000000000004
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,12,13,,1.030982008305177,0.3021666666666667,0.612,0.612,0.11199999999999999
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,13,14,,0.8271046408021107,0.3095833333333333,0.63275,0.63275,0.13275000000000003
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,14,15,,0.2603170615738668,0.27975,0.6085,0.6085,0.10850000000000004
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,15,16,,0.6359349008557147,0.28125,0.61775,0.61775,0.11775000000000002
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,16,17,,0.1154226805878202,0.2703333333333333,0.60575,0.60575,0.10575000000000001
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,17,18,,0.9751800553543942,0.3034166666666666,0.611,0.611,0.11099999999999999
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,18,19,,0.0788276191203984,0.2711666666666667,0.6,0.6,0.09999999999999998
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,19,20,,0.9511316868458692,0.361,0.66125,0.66125,0.16125
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,20,21,,1.231488794747179,0.31775,0.62075,0.62075,0.12075000000000002
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,21,22,,0.1429196893748264,0.288,0.6134999999999999,0.6134999999999999,0.11349999999999993
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,22,23,,0.3312750065380083,0.27925,0.6345,0.6345,0.13449999999999995
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,23,24,,0.8055243807317692,0.354,0.632,0.632,0.132
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,24,25,,0.9511264256088892,0.3565,0.6507499999999999,0.6507499999999999,0.15074999999999994
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,25,26,,0.715524956495513,0.3003333333333334,0.6332500000000001,0.6332500000000001,0.1332500000000001
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,26,27,,0.1525498518492971,0.2844166666666667,0.61825,0.61825,0.11824999999999997
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,27,28,,0.237661816538097,0.3495,0.62375,0.62375,0.12375000000000003
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,28,29,,0.3889414638529805,0.3006666666666667,0.64225,0.64225,0.14225
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,29,30,,0.4627785405326095,0.33475,0.6292500000000001,0.6292500000000001,0.1292500000000001
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,30,31,,0.4084964981209952,0.3211666666666666,0.61775,0.61775,0.11775000000000002
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,31,32,,0.4970432584503097,0.2820833333333333,0.5880000000000001,0.5880000000000001,0.08800000000000008
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,32,33,,1.2263357161663833,0.3386666666666666,0.649,0.649,0.14900000000000002
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,33,34,,0.4003430558697168,0.3110833333333333,0.6207499999999999,0.6207499999999999,0.12074999999999991
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,34,35,,0.1828149069947812,0.32575,0.6395,0.6395,0.13949999999999996
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,35,36,,0.602046613411261,0.3136666666666667,0.63625,0.63625,0.13624999999999998
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,36,37,,0.1895739662469555,0.3223333333333334,0.6387499999999999,0.6387499999999999,0.13874999999999993
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,37,38,,0.5359035269930487,0.2781666666666667,0.611,0.611,0.11099999999999999
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,38,39,,1.554220937328939,0.40625,0.6665000000000001,0.6665000000000001,0.1665000000000001
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,39,40,,0.1111476685504525,0.3249166666666667,0.63175,0.63175,0.13175000000000003
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,40,41,,0.9909273087049288,0.3405833333333333,0.667,0.667,0.16700000000000004
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,41,42,,0.1161157384457603,0.4033333333333334,0.6585,0.6585,0.15849999999999997
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,42,43,,0.3584467310515421,0.28275,0.6085,0.6085,0.10850000000000004
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,43,44,,0.3870094197025878,0.316,0.64,0.64,0.14
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,44,45,,0.1728509881656429,0.2905833333333333,0.624,0.624,0.124
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,45,46,,0.3135844306856478,0.2525833333333333,0.6000000000000001,0.6000000000000001,0.10000000000000009
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,46,47,,1.6609092174880296,0.3479166666666667,0.62425,0.62425,0.12424999999999997
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,47,48,,1.1035604239345964,0.3668333333333333,0.67,0.67,0.17000000000000004
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,48,49,,0.0630057004783903,0.2876666666666667,0.6127499999999999,0.6127499999999999,0.1127499999999999
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,49,50,,0.2208519025946363,0.30925,0.621,0.621,0.121
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,50,51,,0.3601819278472935,0.33275,0.6425000000000001,0.6425000000000001,0.14250000000000007
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,51,52,,0.4068086061476847,0.3065,0.61525,0.61525,0.11524999999999996
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,52,53,,0.489183543680683,0.3069166666666667,0.6194999999999999,0.6194999999999999,0.11949999999999994
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,53,54,,0.1518779209084069,0.2928333333333333,0.61975,0.61975,0.11975000000000002
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,54,55,,0.324289309974092,0.2889166666666667,0.63775,0.63775,0.13775000000000004
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,55,56,,0.1439839427325898,0.36825,0.6579999999999999,0.6579999999999999,0.15799999999999992
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,56,57,,0.3380415913651443,0.2831666666666667,0.6145,0.6145,0.11450000000000005
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,57,58,,0.1498485963173472,0.28125,0.64,0.64,0.14
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,58,59,,0.5940552276635079,0.3278333333333333,0.65175,0.65175,0.15175000000000005
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,59,60,,0.1226255627512456,0.3510833333333333,0.63775,0.63775,0.13775000000000004
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,61,62,,0.0763051180506366,0.3122499999999999,0.6234999999999999,0.6234999999999999,0.12349999999999994
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,63,64,,0.3974998754170249,0.4035833333333333,0.675,0.675,0.17500000000000004
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,64,65,,0.1085147517761425,0.2575833333333333,0.61225,0.61225,0.11224999999999996
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,65,66,,0.680255126005385,0.32525,0.6579999999999999,0.6579999999999999,0.15799999999999992
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,66,67,,0.8219188788099401,0.3185833333333334,0.6445000000000001,0.6445000000000001,0.14450000000000007
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,67,68,,0.8892468201051964,0.29925,0.62175,0.62175,0.12175000000000002
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,68,69,,0.1989200962343217,0.2943333333333334,0.6054999999999999,0.6054999999999999,0.10549999999999993
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,69,70,,0.3837229836051344,0.30725,0.64925,0.64925,0.14925
