algorithm,column_order,actual_column_order,graph_structure,graph_nodes,graph_edges,undirected_edges,train_size,seed,repetition,categorical_cols,correlation_matrix_difference,k_marginal_tvd,nnaa,nnaa_raw,nnaa_distance_0p5
vanilla,original,"x3_0,x1_0,x5_0,x0_0,x4_0,x8_0,x7_0,x6_0,x2_0",no_graph,0,0,0,20,0,1,,1.3730072539097158,0.3214583333333334,0.6655,0.6655,0.16549999999999998
vanilla,original,"x3_0,x1_0,x5_0,x0_0,x4_0,x8_0,x7_0,x6_0,x2_0",no_graph,0,0,0,20,1,2,,1.285164044464422,0.3120416666666668,0.6375,0.6375,0.13749999999999996
vanilla,original,"x3_0,x1_0,x5_0,x0_0,x4_0,x8_0,x7_0,x6_0,x2_0",no_graph,0,0,0,20,2,3,,1.502564507143267,0.38025,0.71025,0.71025,0.21025000000000005
vanilla,original,"x3_0,x1_0,x5_0,x0_0,x4_0,x8_0,x7_0,x6_0,x2_0",no_graph,0,0,0,20,3,4,,2.6358124147706894,0.3273888888888889,0.69125,0.69125,0.19125000000000003
vanilla,original,"x3_0,x1_0,x5_0,x0_0,x4_0,x8_0,x7_0,x6_0,x2_0",no_graph,0,0,0,20,4,5,,1.2829519271298149,0.3615555555555556,0.6605,0.6605,0.16049999999999998
vanilla,original,"x3_0,x1_0,x5_0,x0_0,x4_0,x8_0,x7_0,x6_0,x2_0",no_graph,0,0,0,20,5,6,,1.491299232965925,0.3208055555555555,0.63825,0.63825,0.13824999999999998
vanilla,original,"x3_0,x1_0,x5_0,x0_0,x4_0,x8_0,x7_0,x6_0,x2_0",no_graph,0,0,0,20,6,7,,1.1146621225492714,0.3493333333333334,0.6495,0.6495,0.14949999999999997
vanilla,original,"x3_0,x1_0,x5_0,x0_0,x4_0,x8_0,x7_0,x6_0,x2_0",no_graph,0,0,0,20,7,8,,1.6455942943687554,0.3232361111111111,0.64125,0.64125,0.14125
vanilla,original,"x3_0,x1_0,x5_0,x0_0,x4_0,x8_0,x7_0,x6_0,x2_0",no_graph,0,0,0,20,8,9,,1.2963934025030608,0.309125,0.63225,0.63225,0.13224999999999998
vanilla,original,"x3_0,x1_0,x5_0,x0_0,x4_0,x8_0,x7_0,x6_0,x2_0",no_graph,0,0,0,20,9,10,,1.883717900619052,0.3039722222222222,0.6214999999999999,0.6214999999999999,0.12149999999999994
vanilla,original,"x3_0,x1_0,x5_0,x0_0,x4_0,x8_0,x7_0,x6_0,x2_0",no_graph,0,0,0,20,10,11,,2.2479822844525255,0.3073333333333333,0.6515,0.6515,0.15149999999999997
vanilla,original,"x3_0,x1_0,x5_0,x0_0,x4_0,x8_0,x7_0,x6_0,x2_0",no_graph,0,0,0,20,11,12,,2.1218328708026473,0.3399583333333333,0.6837500000000001,0.6837500000000001,0.18375000000000008
vanilla,original,"x3_0,x1_0,x5_0,x0_0,x4_0,x8_0,x7_0,x6_0,x2_0",no_graph,0,0,0,20,12,13,,1.4901296283540568,0.3469027777777778,0.6712499999999999,0.6712499999999999,0.1712499999999999
vanilla,original,"x3_0,x1_0,x5_0,x0_0,x4_0,x8_0,x7_0,x6_0,x2_0",no_graph,0,0,0,20,13,14,,2.372717467518535,0.3615416666666667,0.71225,0.71225,0.21225000000000005
vanilla,original,"x3_0,x1_0,x5_0,x0_0,x4_0,x8_0,x7_0,x6_0,x2_0",no_graph,0,0,0,20,14,15,,2.103899193275553,0.3492083333333333,0.6819999999999999,0.6819999999999999,0.18199999999999994
vanilla,original,"x3_0,x1_0,x5_0,x0_0,x4_0,x8_0,x7_0,x6_0,x2_0",no_graph,0,0,0,20,15,16,,1.0696604080485643,0.3076805555555555,0.6475,0.6475,0.14749999999999996
vanilla,original,"x3_0,x1_0,x5_0,x0_0,x4_0,x8_0,x7_0,x6_0,x2_0",no_graph,0,0,0,20,16,17,,1.617937866638822,0.3109722222222222,0.65725,0.65725,0.15725
vanilla,original,"x3_0,x1_0,x5_0,x0_0,x4_0,x8_0,x7_0,x6_0,x2_0",no_graph,0,0,0,20,17,18,,1.8101364263336952,0.3157638888888889,0.667,0.667,0.16700000000000004
vanilla,original,"x3_0,x1_0,x5_0,x0_0,x4_0,x8_0,x7_0,x6_0,x2_0",no_graph,0,0,0,20,18,19,,1.7254471963023463,0.3046388888888889,0.657,0.657,0.15700000000000003
vanilla,original,"x3_0,x1_0,x5_0,x0_0,x4_0,x8_0,x7_0,x6_0,x2_0",no_graph,0,0,0,20,19,20,,2.379455201016243,0.322875,0.6795,0.6795,0.1795
