dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,metric,is_significant
csuite_large_backdoor,20,-0.6120387083583412,-0.7310648140944395,-0.4976240626900791,1.457367687773613e-17,1.1317433312391187e-16,correlation_matrix_difference,True
csuite_large_backdoor,50,-1.120015691008128,-1.2428160344609316,-0.9767120519455232,3.89655984509591e-18,3.117247876076728e-17,correlation_matrix_difference,True
csuite_large_backdoor,100,-1.1626212757624443,-1.3067038812176124,-1.0091470088018002,3.89655984509591e-18,3.117247876076728e-17,correlation_matrix_difference,True
csuite_large_backdoor,200,-1.303060570113323,-1.4151269025515802,-1.1785365108870989,4.5318610611095456e-18,3.625488848887636e-17,correlation_matrix_difference,True
csuite_large_backdoor,500,-0.2253054229309257,-0.4551448930973784,-0.1046827158873981,1.0782686894393925e-08,8.62614951551514e-08,correlation_matrix_difference,True
csuite_nonlin_simpson,20,-1.251069430854738,-1.4084767233242554,-1.0875402287301532,1.114771959554844e-17,8.918175676438752e-17,correlation_matrix_difference,True
csuite_nonlin_simpson,50,-1.5300185523789605,-1.578965101076065,-1.47595305250284,4.5318610611095456e-18,3.625488848887636e-17,correlation_matrix_difference,True
csuite_nonlin_simpson,100,-1.60111233262471,-1.6348999727254774,-1.563942018694635,3.89655984509591e-18,3.117247876076728e-17,correlation_matrix_difference,True
csuite_nonlin_simpson,200,-1.6537476194321854,-1.6828587413425469,-1.6194728385966377,3.89655984509591e-18,3.117247876076728e-17,correlation_matrix_difference,True
csuite_nonlin_simpson,500,-1.6861590860593334,-1.7064847628601918,-1.6646870961621207,4.139373908714419e-18,3.3114991269715346e-17,correlation_matrix_difference,True
csuite_symprod_simpson,20,-0.001638058071993,-0.0750141816973407,0.0601645020066602,0.9260348271927796,1.0,correlation_matrix_difference,False
csuite_symprod_simpson,50,-0.0234855908862376,-0.6320002271053841,0.0241847421376682,0.2261675012037366,0.6785025036112099,correlation_matrix_difference,False
csuite_symprod_simpson,100,0.0411108814616051,-0.0118336374046671,0.0859713646829423,0.0277694627009101,0.1943862389063712,correlation_matrix_difference,False
csuite_symprod_simpson,200,0.029087058237226,-0.0006652066544417,0.0620952848808811,0.0083594723698483,0.0585163065889382,correlation_matrix_difference,False
csuite_symprod_simpson,500,0.0309858864079699,0.0128039896498089,0.0502440706900506,3.454898661607989e-06,2.4184290631255923e-05,correlation_matrix_difference,True
csuite_weak_arrows,20,-0.743648341180058,-0.8797945800013274,-0.6022114024117858,4.6041751652443625e-17,3.68334013219549e-16,correlation_matrix_difference,True
csuite_weak_arrows,50,-1.2854548415857527,-1.454290532671886,-1.1043919549677794,4.139373908714419e-18,3.21292454837016e-17,correlation_matrix_difference,True
csuite_weak_arrows,100,-1.280928973592692,-1.4224467056137984,-1.14088884060389,3.89655984509591e-18,3.117247876076728e-17,correlation_matrix_difference,True
csuite_weak_arrows,200,-1.558722763323436,-1.6785495669944015,-1.422031952096952,3.89655984509591e-18,3.117247876076728e-17,correlation_matrix_difference,True
csuite_weak_arrows,500,-1.5371434092942584,-1.6633422723038382,-1.411007810704188,4.0161556854627e-18,3.21292454837016e-17,correlation_matrix_difference,True
csuite_large_backdoor,20,-0.0078333333333333,-0.0101597222222223,-0.0054305555555555,2.121928379182893e-12,1.6975427033463145e-11,k_marginal_tvd,True
csuite_large_backdoor,50,-0.01475,-0.0175069444444445,-0.0120694444444443,2.794684092654649e-17,2.235747274123719e-16,k_marginal_tvd,True
csuite_large_backdoor,100,-0.0182326388888889,-0.0209166666666666,-0.0156319444444444,4.266082629108709e-18,3.4128661032869666e-17,k_marginal_tvd,True
csuite_large_backdoor,200,-0.0194131944444445,-0.0218611111111111,-0.016861111111111,5.5959351696062235e-18,4.476748135684979e-17,k_marginal_tvd,True
csuite_large_backdoor,500,-0.0054097222222222,-0.0078888888888888,-0.0037291666666666,2.6184737157572588e-14,2.094778972605807e-13,k_marginal_tvd,True
csuite_nonlin_simpson,20,-0.049625,-0.059375,-0.0400416666666667,3.143819212354019e-17,2.5150553698832153e-16,k_marginal_tvd,True
csuite_nonlin_simpson,50,-0.0784583333333333,-0.083625,-0.0729583333333333,4.670683307897806e-18,3.736546646318245e-17,k_marginal_tvd,True
csuite_nonlin_simpson,100,-0.0894375,-0.0936666666666666,-0.0852083333333333,4.139373908714419e-18,3.3114991269715346e-17,k_marginal_tvd,True
csuite_nonlin_simpson,200,-0.0956666666666667,-0.0987916666666667,-0.0926666666666667,4.01592930870838e-18,3.212743446966704e-17,k_marginal_tvd,True
csuite_nonlin_simpson,500,-0.1054166666666667,-0.108125,-0.1025416666666667,4.266082629108709e-18,3.4128661032869666e-17,k_marginal_tvd,True
csuite_symprod_simpson,20,-0.0131666666666666,-0.0227916666666666,-0.0063333333333333,2.195012747660445e-06,4.39002549532089e-06,k_marginal_tvd,True
csuite_symprod_simpson,50,-0.03425,-0.0577083333333333,-0.0209583333333333,2.606272864935285e-13,1.5637637189611709e-12,k_marginal_tvd,True
csuite_symprod_simpson,100,-0.0287708333333333,-0.0424583333333332,-0.0212916666666667,6.181438381869926e-13,3.7088630291219554e-12,k_marginal_tvd,True
csuite_symprod_simpson,200,-0.0192916666666666,-0.0238749999999999,-0.0107916666666666,1.605435033688007e-07,9.63261020212804e-07,k_marginal_tvd,True
csuite_symprod_simpson,500,-0.0325,-0.0494583333333333,-0.0267916666666667,1.0519848390348816e-14,8.415878712279053e-14,k_marginal_tvd,True
csuite_weak_arrows,20,-0.0096180555555555,-0.0125694444444443,-0.0068541666666667,2.606272864935285e-13,2.0850182919482277e-12,k_marginal_tvd,True
csuite_weak_arrows,50,-0.0175902777777777,-0.0203333333333333,-0.0145763888888889,1.3732250242604876e-17,9.612575169823412e-17,k_marginal_tvd,True
csuite_weak_arrows,100,-0.0162118055555556,-0.0189513888888888,-0.0135069444444445,6.7020362856724425e-18,5.3616290285379534e-17,k_marginal_tvd,True
csuite_weak_arrows,200,-0.0212708333333333,-0.0236805555555555,-0.0187361111111111,4.670683307897806e-18,3.625488848887636e-17,k_marginal_tvd,True
csuite_weak_arrows,500,-0.0205902777777777,-0.023375,-0.0179861111111109,4.265842540306607e-18,3.4126740322452855e-17,k_marginal_tvd,True
