dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,is_significant,metric
csuite_large_backdoor,20,-0.0078333333333333,-0.0101597222222223,-0.0054305555555555,2.121928379182893e-12,1.6975427033463145e-11,True,k_marginal_tvd
csuite_large_backdoor,50,-0.01475,-0.0175069444444445,-0.0120694444444443,2.794684092654649e-17,2.235747274123719e-16,True,k_marginal_tvd
csuite_large_backdoor,100,-0.0182326388888889,-0.0209166666666666,-0.0156319444444444,4.266082629108709e-18,3.4128661032869666e-17,True,k_marginal_tvd
csuite_large_backdoor,200,-0.0194131944444445,-0.0218611111111111,-0.016861111111111,5.5959351696062235e-18,4.476748135684979e-17,True,k_marginal_tvd
csuite_large_backdoor,500,-0.0054097222222222,-0.0078888888888888,-0.0037291666666666,2.6184737157572588e-14,2.094778972605807e-13,True,k_marginal_tvd
csuite_nonlin_simpson,20,-0.049625,-0.059375,-0.0400416666666667,3.143819212354019e-17,2.5150553698832153e-16,True,k_marginal_tvd
csuite_nonlin_simpson,50,-0.0784583333333333,-0.083625,-0.0729583333333333,4.670683307897806e-18,3.736546646318245e-17,True,k_marginal_tvd
csuite_nonlin_simpson,100,-0.0894375,-0.0936666666666666,-0.0852083333333333,4.139373908714419e-18,3.3114991269715346e-17,True,k_marginal_tvd
csuite_nonlin_simpson,200,-0.0956666666666667,-0.0987916666666667,-0.0926666666666667,4.01592930870838e-18,3.212743446966704e-17,True,k_marginal_tvd
csuite_nonlin_simpson,500,-0.1054166666666667,-0.108125,-0.1025416666666667,4.266082629108709e-18,3.4128661032869666e-17,True,k_marginal_tvd
csuite_symprod_simpson,20,-0.0131666666666666,-0.0227916666666666,-0.0063333333333333,2.195012747660445e-06,4.39002549532089e-06,True,k_marginal_tvd
csuite_symprod_simpson,50,-0.03425,-0.0577083333333333,-0.0209583333333333,2.606272864935285e-13,1.5637637189611709e-12,True,k_marginal_tvd
csuite_symprod_simpson,100,-0.0287708333333333,-0.0424583333333332,-0.0212916666666667,6.181438381869926e-13,3.7088630291219554e-12,True,k_marginal_tvd
csuite_symprod_simpson,200,-0.0192916666666666,-0.0238749999999999,-0.0107916666666666,1.605435033688007e-07,9.63261020212804e-07,True,k_marginal_tvd
csuite_symprod_simpson,500,-0.0325,-0.0494583333333333,-0.0267916666666667,1.0519848390348816e-14,8.415878712279053e-14,True,k_marginal_tvd
csuite_weak_arrows,20,-0.0096180555555555,-0.0125694444444443,-0.0068541666666667,2.606272864935285e-13,2.0850182919482277e-12,True,k_marginal_tvd
csuite_weak_arrows,50,-0.0175902777777777,-0.0203333333333333,-0.0145763888888889,1.3732250242604876e-17,9.612575169823412e-17,True,k_marginal_tvd
csuite_weak_arrows,100,-0.0162118055555556,-0.0189513888888888,-0.0135069444444445,6.7020362856724425e-18,5.3616290285379534e-17,True,k_marginal_tvd
csuite_weak_arrows,200,-0.0212708333333333,-0.0236805555555555,-0.0187361111111111,4.670683307897806e-18,3.625488848887636e-17,True,k_marginal_tvd
csuite_weak_arrows,500,-0.0205902777777777,-0.023375,-0.0179861111111109,4.265842540306607e-18,3.4126740322452855e-17,True,k_marginal_tvd
