dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,is_significant,metric
csuite_large_backdoor,20,-0.6120387083583412,-0.7310648140944395,-0.4976240626900791,1.457367687773613e-17,1.1317433312391187e-16,True,correlation_matrix_difference
csuite_large_backdoor,50,-1.120015691008128,-1.2428160344609316,-0.9767120519455232,3.89655984509591e-18,3.117247876076728e-17,True,correlation_matrix_difference
csuite_large_backdoor,100,-1.1626212757624443,-1.3067038812176124,-1.0091470088018002,3.89655984509591e-18,3.117247876076728e-17,True,correlation_matrix_difference
csuite_large_backdoor,200,-1.303060570113323,-1.4151269025515802,-1.1785365108870989,4.5318610611095456e-18,3.625488848887636e-17,True,correlation_matrix_difference
csuite_large_backdoor,500,-0.2253054229309257,-0.4551448930973784,-0.1046827158873981,1.0782686894393925e-08,8.62614951551514e-08,True,correlation_matrix_difference
csuite_nonlin_simpson,20,-1.251069430854738,-1.4084767233242554,-1.0875402287301532,1.114771959554844e-17,8.918175676438752e-17,True,correlation_matrix_difference
csuite_nonlin_simpson,50,-1.5300185523789605,-1.578965101076065,-1.47595305250284,4.5318610611095456e-18,3.625488848887636e-17,True,correlation_matrix_difference
csuite_nonlin_simpson,100,-1.60111233262471,-1.6348999727254774,-1.563942018694635,3.89655984509591e-18,3.117247876076728e-17,True,correlation_matrix_difference
csuite_nonlin_simpson,200,-1.6537476194321854,-1.6828587413425469,-1.6194728385966377,3.89655984509591e-18,3.117247876076728e-17,True,correlation_matrix_difference
csuite_nonlin_simpson,500,-1.6861590860593334,-1.7064847628601918,-1.6646870961621207,4.139373908714419e-18,3.3114991269715346e-17,True,correlation_matrix_difference
csuite_symprod_simpson,20,-0.001638058071993,-0.0750141816973407,0.0601645020066602,0.9260348271927796,1.0,False,correlation_matrix_difference
csuite_symprod_simpson,50,-0.0234855908862376,-0.6320002271053841,0.0241847421376682,0.2261675012037366,0.6785025036112099,False,correlation_matrix_difference
csuite_symprod_simpson,100,0.0411108814616051,-0.0118336374046671,0.0859713646829423,0.0277694627009101,0.1943862389063712,False,correlation_matrix_difference
csuite_symprod_simpson,200,0.029087058237226,-0.0006652066544417,0.0620952848808811,0.0083594723698483,0.0585163065889382,False,correlation_matrix_difference
csuite_symprod_simpson,500,0.0309858864079699,0.0128039896498089,0.0502440706900506,3.454898661607989e-06,2.4184290631255923e-05,True,correlation_matrix_difference
csuite_weak_arrows,20,-0.743648341180058,-0.8797945800013274,-0.6022114024117858,4.6041751652443625e-17,3.68334013219549e-16,True,correlation_matrix_difference
csuite_weak_arrows,50,-1.2854548415857527,-1.454290532671886,-1.1043919549677794,4.139373908714419e-18,3.21292454837016e-17,True,correlation_matrix_difference
csuite_weak_arrows,100,-1.280928973592692,-1.4224467056137984,-1.14088884060389,3.89655984509591e-18,3.117247876076728e-17,True,correlation_matrix_difference
csuite_weak_arrows,200,-1.558722763323436,-1.6785495669944015,-1.422031952096952,3.89655984509591e-18,3.117247876076728e-17,True,correlation_matrix_difference
csuite_weak_arrows,500,-1.5371434092942584,-1.6633422723038382,-1.411007810704188,4.0161556854627e-18,3.21292454837016e-17,True,correlation_matrix_difference
