dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,is_significant,metric
csuite_large_backdoor,20,-0.0194999999999999,-0.026375,-0.0126249999999999,4.0668140449876515e-11,2.0334070224938257e-10,True,nnaa
csuite_large_backdoor,50,-0.0396249999999999,-0.0465,-0.0326249999999999,1.1483289790276516e-17,9.186631832221212e-17,True,nnaa
csuite_large_backdoor,100,-0.0416250000000001,-0.048875,-0.0346249999999999,1.1831419149523996e-17,9.465135319619196e-17,True,nnaa
csuite_large_backdoor,200,-0.0400000000000001,-0.047125,-0.033125,8.776426502011832e-18,7.021141201609464e-17,True,nnaa
csuite_large_backdoor,500,-0.0076249999999999,-0.01425,-0.001875,0.0001833461960845,0.001466769568676,True,nnaa
csuite_nonlin_simpson,20,-0.0432499999999999,-0.0516249999999999,-0.0344999999999999,1.2016803997431163e-16,9.613443197944932e-16,True,nnaa
csuite_nonlin_simpson,50,-0.0754999999999999,-0.08075,-0.0695,4.2651223507381254e-18,3.4120978805905e-17,True,nnaa
csuite_nonlin_simpson,100,-0.0916249999999999,-0.09675,-0.086375,3.896120241954008e-18,3.116720366410747e-17,True,nnaa
csuite_nonlin_simpson,200,-0.103875,-0.108125,-0.0992499999999999,3.8952411767056385e-18,3.11619294136451e-17,True,nnaa
csuite_nonlin_simpson,500,-0.1175,-0.121375,-0.1136249999999999,4.1384414249804666e-18,3.3107531399843726e-17,True,nnaa
csuite_symprod_simpson,20,-0.0155,-0.0259999999999999,-0.008125,1.0387530951573856e-06,2.0775061903147712e-06,True,nnaa
csuite_symprod_simpson,50,-0.0418749999999999,-0.0749999999999999,-0.026125,4.0201363001092883e-13,2.412081780065573e-12,True,nnaa
csuite_symprod_simpson,100,-0.0365,-0.0497499999999999,-0.02625,3.898478064380466e-14,2.728934645066326e-13,True,nnaa
csuite_symprod_simpson,200,-0.02175,-0.0298750000000001,-0.012125,1.0249540466954742e-08,7.17467832686832e-08,True,nnaa
csuite_symprod_simpson,500,-0.04025,-0.056875,-0.031375,5.6383946061704843e-14,3.9468762243193393e-13,True,nnaa
csuite_weak_arrows,20,-0.033375,-0.04175,-0.025625,4.1159633615913934e-16,3.2927706892731147e-15,True,nnaa
csuite_weak_arrows,50,-0.053875,-0.06275,-0.0445,2.238124032550745e-17,1.566686822785521e-16,True,nnaa
csuite_weak_arrows,100,-0.046375,-0.0549999999999999,-0.0385,6.1247272624873496e-18,4.89978180998988e-17,True,nnaa
csuite_weak_arrows,200,-0.0603749999999999,-0.0685,-0.0515,4.9599293683602735e-18,3.967943494688219e-17,True,nnaa
csuite_weak_arrows,500,-0.0564999999999999,-0.06375,-0.049,4.669896626172085e-18,3.7359173009376675e-17,True,nnaa
