dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,is_significant,metric
csuite_large_backdoor,20,-0.0194999999999999,-0.0264999999999999,-0.0126249999999999,4.3077884582810885e-11,2.1538942291405444e-10,True,nnaa
csuite_large_backdoor,50,-0.0396249999999999,-0.0465,-0.032625,1.1479512232972394e-17,9.183609786377916e-17,True,nnaa
csuite_large_backdoor,100,-0.041625,-0.048875,-0.034625,1.1828826361279976e-17,9.46306108902398e-17,True,nnaa
csuite_large_backdoor,200,-0.04,-0.0471249999999999,-0.0331250000000001,8.773518752368638e-18,7.018815001894908e-17,True,nnaa
csuite_large_backdoor,500,-0.0076249999999999,-0.01425,-0.0018749999999999,0.0002842859973976,0.0022742879791815,True,nnaa
csuite_nonlin_simpson,20,-0.04325,-0.0516249999999999,-0.0344999999999999,1.2189082109689866e-16,9.751265687751893e-16,True,nnaa
csuite_nonlin_simpson,50,-0.0754999999999999,-0.0806249999999999,-0.0696249999999999,4.2632024085866736e-18,3.41036997873832e-17,True,nnaa
csuite_nonlin_simpson,100,-0.0916249999999999,-0.0968749999999999,-0.0863749999999999,3.893263967270894e-18,3.1146111738167154e-17,True,nnaa
csuite_nonlin_simpson,200,-0.103875,-0.1081249999999999,-0.0992499999999999,3.894362299472808e-18,3.1154898395782463e-17,True,nnaa
csuite_nonlin_simpson,500,-0.1175,-0.121375,-0.1136249999999999,4.135412227745387e-18,3.30832978219631e-17,True,nnaa
csuite_symprod_simpson,20,-0.0155,-0.026,-0.0082499999999999,1.0296158044999138e-06,2.0592316089998275e-06,True,nnaa
csuite_symprod_simpson,50,-0.0418749999999999,-0.0749999999999999,-0.026125,4.019340325467971e-13,2.4116041952807827e-12,True,nnaa
csuite_symprod_simpson,100,-0.0365,-0.0497499999999999,-0.02625,4.002423971580776e-14,2.801696780106543e-13,True,nnaa
csuite_symprod_simpson,200,-0.02175,-0.029875,-0.0121250000000001,9.9409025982412e-09,6.958631818768839e-08,True,nnaa
csuite_symprod_simpson,500,-0.04075,-0.0572499999999999,-0.0313749999999999,1.1417657513046797e-13,7.992360259132757e-13,True,nnaa
csuite_weak_arrows,20,-0.033375,-0.0417499999999999,-0.025625,4.0571547583778117e-16,3.2457238067022493e-15,True,nnaa
csuite_weak_arrows,50,-0.053875,-0.06275,-0.0445,2.237762404862569e-17,1.566433683403798e-16,True,nnaa
csuite_weak_arrows,100,-0.046375,-0.0549999999999999,-0.0385,6.032673807063232e-18,4.826139045650586e-17,True,nnaa
csuite_weak_arrows,200,-0.0603749999999999,-0.0685,-0.0515,4.957427467619668e-18,3.9659419740957344e-17,True,nnaa
csuite_weak_arrows,500,-0.0569999999999999,-0.0641250000000001,-0.0497499999999999,4.669372241450955e-18,3.735497793160764e-17,True,nnaa
