dataset,train_size,vanilla_seeds,rex_valid_seeds,paired_seeds,vanilla_source
csuite_large_backdoor,20,100,144,100,official_cleaned
csuite_large_backdoor,50,100,144,100,official_cleaned
csuite_large_backdoor,100,100,145,100,official_cleaned
csuite_large_backdoor,200,100,143,100,official_cleaned
csuite_large_backdoor,500,100,145,100,official_cleaned
csuite_nonlin_simpson,20,100,125,100,official_cleaned
csuite_nonlin_simpson,50,100,124,100,official_cleaned
csuite_nonlin_simpson,100,100,124,100,official_cleaned
csuite_nonlin_simpson,200,100,123,100,official_cleaned
csuite_nonlin_simpson,500,100,124,100,official_cleaned
csuite_symprod_simpson,20,100,100,100,historical_cleaned
csuite_symprod_simpson,50,100,100,100,historical_cleaned
csuite_symprod_simpson,100,100,100,100,historical_cleaned
csuite_symprod_simpson,200,100,100,100,historical_cleaned
csuite_symprod_simpson,500,100,100,100,historical_cleaned
csuite_weak_arrows,20,100,153,100,official_cleaned
csuite_weak_arrows,50,100,155,100,official_cleaned
csuite_weak_arrows,100,100,150,100,official_cleaned
csuite_weak_arrows,200,100,155,100,official_cleaned
csuite_weak_arrows,500,100,154,100,official_cleaned
