metric,dataset,train_size,effect_paper,effect_fixed,abs_delta,sig_paper,sig_fixed,sig_changed
correlation_matrix_difference,csuite_large_backdoor,20,-0.6132164340049864,-0.6120387083583412,0.0011777256466452002,True,True,False
correlation_matrix_difference,csuite_large_backdoor,50,-1.1169230369559204,-1.120015691008128,0.0030926540522075996,True,True,False
correlation_matrix_difference,csuite_large_backdoor,100,-1.140882123046532,-1.1626212757624443,0.021739152715912313,True,True,False
correlation_matrix_difference,csuite_large_backdoor,200,-1.3008791816136664,-1.303060570113323,0.0021813884996566557,True,True,False
correlation_matrix_difference,csuite_large_backdoor,500,-0.2367952664991574,-0.2253054229309257,0.011489843568231684,True,True,False
correlation_matrix_difference,csuite_nonlin_simpson,20,-1.2525218921088657,-1.251069430854738,0.0014524612541275683,True,True,False
correlation_matrix_difference,csuite_nonlin_simpson,50,-1.5313679874206072,-1.5300185523789605,0.0013494350416467515,True,True,False
correlation_matrix_difference,csuite_nonlin_simpson,100,-1.60111233262471,-1.60111233262471,0.0,True,True,False
correlation_matrix_difference,csuite_nonlin_simpson,200,-1.6510663077496617,-1.6537476194321854,0.0026813116825237238,True,True,False
correlation_matrix_difference,csuite_nonlin_simpson,500,-1.6861590860593334,-1.6861590860593334,0.0,True,True,False
correlation_matrix_difference,csuite_symprod_simpson,20,7.115659667956964e-05,-0.001638058071993,0.0017092146686725697,False,False,False
correlation_matrix_difference,csuite_symprod_simpson,50,-0.0372837141259773,-0.0234855908862376,0.0137981232397397,False,False,False
correlation_matrix_difference,csuite_symprod_simpson,100,0.0228172384763664,0.0411108814616051,0.018293642985238702,False,False,False
correlation_matrix_difference,csuite_symprod_simpson,200,0.0301372470610469,0.029087058237226,0.0010501888238208974,False,False,False
correlation_matrix_difference,csuite_symprod_simpson,500,0.0315066889345845,0.0309858864079699,0.0005208025266145964,False,True,True
correlation_matrix_difference,csuite_weak_arrows,20,-0.743648341180058,-0.743648341180058,0.0,True,True,False
correlation_matrix_difference,csuite_weak_arrows,50,-1.2869525647912214,-1.2854548415857527,0.001497723205468704,True,True,False
