dataset,train_size,seed,repetition_assigned,recovery_batch
csuite_large_backdoor,20,74,75,rex_recovery_remaining_20260612
csuite_large_backdoor,50,161,17,rex_recovery_remaining_20260612
csuite_large_backdoor,50,177,33,rex_recovery_remaining_20260612
csuite_large_backdoor,50,205,61,rex_recovery_remaining_20260612
csuite_large_backdoor,50,238,94,rex_recovery_remaining_20260612
csuite_large_backdoor,50,252,108,rex_recovery_remaining_20260612
csuite_large_backdoor,100,328,39,rex_recovery_remaining_20260612
csuite_large_backdoor,100,369,80,rex_recovery_remaining_20260612
csuite_large_backdoor,100,370,81,rex_recovery_remaining_20260612
csuite_large_backdoor,200,453,19,rex_recovery_remaining_20260612
csuite_large_backdoor,500,611,32,rex_recovery_remaining_20260612
csuite_large_backdoor,500,647,68,rex_recovery_remaining_20260612
csuite_nonlin_simpson,20,27,28,rex_recovery_remaining_20260612
csuite_nonlin_simpson,20,85,86,rex_recovery_remaining_20260612
csuite_nonlin_simpson,50,209,85,rex_recovery_remaining_20260612
csuite_nonlin_simpson,200,411,37,rex_recovery_remaining_20260612
csuite_nonlin_simpson,200,445,71,rex_recovery_remaining_20260612
csuite_nonlin_simpson,200,474,100,rex_recovery_remaining_20260612
csuite_symprod_simpson,50,170,46,rex_recovery_symprod_n500_20260611
csuite_symprod_simpson,50,209,85,rex_recovery_symprod_n500_20260611
csuite_symprod_simpson,100,307,58,rex_recovery_symprod_n500_20260611
csuite_symprod_simpson,200,389,15,rex_recovery_symprod_n500_20260611
csuite_symprod_simpson,200,411,37,rex_recovery_symprod_n500_20260611
csuite_symprod_simpson,500,530,31,rex_recovery_symprod_n500_20260611
csuite_symprod_simpson,500,590,91,rex_recovery_symprod_n500_20260611
csuite_symprod_simpson,500,597,98,rex_recovery_symprod_n500_20260611
csuite_weak_arrows,50,203,49,rex_recovery_remaining_20260612
csuite_weak_arrows,100,414,105,rex_recovery_remaining_20260612
csuite_weak_arrows,200,469,5,rex_recovery_remaining_20260612
csuite_weak_arrows,500,638,19,rex_recovery_remaining_20260612
csuite_weak_arrows,500,671,52,rex_recovery_remaining_20260612
csuite_weak_arrows,500,672,53,rex_recovery_remaining_20260612
csuite_weak_arrows,500,691,72,rex_recovery_remaining_20260612
csuite_weak_arrows,500,697,78,rex_recovery_remaining_20260612
csuite_weak_arrows,500,707,88,rex_recovery_remaining_20260612
csuite_weak_arrows,500,718,99,rex_recovery_remaining_20260612
