dataset,train_size,inversion_rate,skeleton_recall,n_rows,shared_edges_mean,true_edges
csuite_large_backdoor,20,0.5251865079365079,0.6966666666666668,100,6.27,9
csuite_large_backdoor,50,0.5533055555555556,0.7344444444444445,100,6.61,9
csuite_large_backdoor,100,0.532297619047619,0.8588888888888888,100,7.73,9
csuite_large_backdoor,200,0.37666666666666665,0.9055555555555556,100,8.15,9
csuite_large_backdoor,500,0.048928571428571425,0.9555555555555556,100,8.6,9
csuite_nonlin_simpson,20,0.6391666666666667,0.5675,100,2.27,4
csuite_nonlin_simpson,50,0.6416666666666667,0.5325,100,2.13,4
csuite_nonlin_simpson,100,0.675,0.5125,100,2.05,4
csuite_nonlin_simpson,200,0.3183333333333333,0.51,100,2.04,4
csuite_nonlin_simpson,500,0.01,0.5025,100,2.01,4
csuite_symprod_simpson,20,0.43083333333333335,0.5075,100,2.03,4
csuite_symprod_simpson,50,0.3516666666666666,0.4725,100,1.89,4
csuite_symprod_simpson,100,0.11833333333333335,0.5075,100,2.03,4
csuite_symprod_simpson,200,0.006666666666666666,0.6275,100,2.51,4
csuite_symprod_simpson,500,0.0,0.6,100,2.4,4
csuite_weak_arrows,20,0.5553989898989898,0.5593333333333333,100,8.39,15
csuite_weak_arrows,50,0.5925443722943723,0.5526666666666666,100,8.29,15
csuite_weak_arrows,100,0.6106237373737374,0.6166666666666667,100,9.25,15
csuite_weak_arrows,200,0.49453932178932175,0.5753333333333334,100,8.63,15
csuite_weak_arrows,500,0.24509632034632034,0.57,100,8.55,15
