source_group,file,rows,bytes,sha256
leonardo_historical_cleaned,result_csuite_large_backdoor_comparison_experiment_cleaned_reps_100.csv,3000,855159,6fb8d63ab2b55f12dc8abb8f989c7c6f9b4337635d0f11c54bedb05d7a00b1cc
leonardo_historical_cleaned,result_csuite_nonlin_simpson_comparison_experiment_cleaned_reps_100.csv,3000,526716,90b7ca38a93f3fa2a03bc9e8bd9af0e1c27543408ad337cfdb5ccef5fe797ec0
leonardo_historical_cleaned,result_csuite_symprod_simpson_comparison_experiment_cleaned_reps_100.csv,3000,526518,43e61733caaee0669eae761bca1a3f1cebd49051648414b605a8611ce77c7e03
leonardo_historical_cleaned,result_csuite_weak_arrows_comparison_experiment_cleaned_reps_100.csv,3000,876037,93f7f7358415aef9c7ece6ac1d9b4ddc0eddfc8c37cdf5085c4a9f7377a191f9
leonardo_historical_raw_baselines,csuite_csuite_large_backdoor_cpdag_v1_both_vanilla_discovered_first_original_results.csv,725,781534,e56e96978ffeb4666031f5dd588ad00ac1ed04e4c6c3167aacb38a70d3d2fe61
leonardo_historical_raw_baselines,csuite_csuite_large_backdoor_vanilla_original_results.csv,725,455375,d527f4f50a7c5213a745d04db4a1d15449428adb669798a59227bd3a52713602
leonardo_historical_raw_baselines,csuite_csuite_nonlin_simpson_cpdag_v1_both_vanilla_discovered_first_original_results.csv,625,508765,907884e057f21731447382f8ca6f90adc4af6aaea7ec0d7e1b4f46047085693c
leonardo_historical_raw_baselines,csuite_csuite_nonlin_simpson_vanilla_original_results.csv,625,364102,8b6e0e4a58afcf7c17aff78a5f7e4248f46fc7efa914fc22bbc30a8d7966b8b7
leonardo_historical_raw_baselines,csuite_csuite_symprod_simpson_cpdag_v1_both_vanilla_discovered_first_original_results.csv,650,528889,c495d8ff52b29c5cf1056e34eb34e66cc79680df2508eb902b5e87e462ed128a
leonardo_historical_raw_baselines,csuite_csuite_symprod_simpson_vanilla_original_results.csv,650,379287,5fa6b3e64f911ee49dee93a516dffa14d17fef6344a1b4c9f2f2d50d71b57cac
leonardo_historical_raw_baselines,csuite_csuite_weak_arrows_cpdag_v1_both_vanilla_discovered_first_original_results.csv,775,836632,f9948d86a26c75b4c910b070b9efb97d56e590a869c6be615d487e0e716c54d1
leonardo_historical_raw_baselines,csuite_csuite_weak_arrows_vanilla_original_results.csv,775,484500,cb3ad6a6c4878de434c53ebbc70a4a2a60dc75d935e4b7de53f95f62780864fa
leonardo_raw_rex,csuite_csuite_large_backdoor_dag_discovered_results.csv,725,667047,ada460ff0f8bb64ce2b682d987ddbf13a9d1ce1a4f33c9e3ac551ce1c712f320
leonardo_raw_rex,csuite_csuite_nonlin_simpson_dag_discovered_results.csv,625,461422,ffb921d0e72e9768f6c8fb47e79737790010c9b54e81526801b60ccfdb674700
leonardo_raw_rex,csuite_csuite_symprod_simpson_dag_discovered_results.csv,625,465128,1ad673c6ff87c29ab2329b931f04d81b7b8a58e8e93189d9277da0071e0846c8
leonardo_raw_rex,csuite_csuite_weak_arrows_dag_discovered_results.csv,775,625277,aab4ba013794fb730227e95b57e727781b615eb473a989018242f1189c08fe86
rex_recovered_symprod,result_csuite_symprod_simpson_rex_patched_100.csv,3500,680892,5111d4c26f640a9d0027d445cb91873300983c52282bca3a219d38d314edf7ed
rex_recovered_remaining,recovered_rex_rows_csuite_large_backdoor.csv,12,3152,0ee6788452be4960749ce567d0043c1bb3baae80aaef5c944ff4154cd5ae58d1
rex_recovered_remaining,recovered_rex_rows_csuite_nonlin_simpson.csv,6,1252,55d91d2ebdcd06c8352733ba4033728fac8a78b44f44dc1dd93966840427f95a
rex_recovered_remaining,recovered_rex_rows_csuite_weak_arrows.csv,10,2741,0b309546f3f270a9cb396f79e6f252f69d748c1d2146a1002007a207d206dfcd
