algorithm,column_order,actual_column_order,graph_structure,graph_nodes,graph_edges,undirected_edges,train_size,seed,repetition,categorical_cols,correlation_matrix_difference,k_marginal_tvd,nnaa
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,0,1,,0.5934923508384657,0.3514166666666667,0.6185
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,1,2,,0.2694651405090275,0.3583333333333334,0.655
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,2,3,,0.4890271167666452,0.3608333333333333,0.6507499999999999
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,3,4,,0.1095368459367483,0.323,0.61775
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,4,5,,0.3447660711983875,0.3678333333333333,0.68025
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,5,6,,0.0718749621295547,0.3049166666666667,0.61375
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,6,7,,0.2024377271936438,0.3623333333333334,0.63225
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,7,8,,0.2975273547999345,0.3065,0.6114999999999999
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,8,9,,0.2207662069185016,0.317,0.62275
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,9,10,,0.785541895347291,0.34075,0.6245
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,10,11,,0.3739647786105753,0.321,0.6365000000000001
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,12,13,,0.0480451369950927,0.36775,0.65425
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,13,14,,0.347478408852675,0.3721666666666667,0.6367499999999999
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,14,15,,0.3702716227050886,0.3502500000000001,0.6147499999999999
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,15,16,,0.5710938381887865,0.3369166666666667,0.6145
