algorithm,column_order,actual_column_order,graph_structure,graph_nodes,graph_edges,undirected_edges,train_size,seed,repetition,categorical_cols,frobenius_corr_norm,k_marginal_tvd,ks_significant_count,ks_significant_percentage,max_corr_difference,mean_corr_difference,mean_ks_distance,mi_matrix_difference,mi_matrix_size,nnaa,propensity_acc_err,propensity_avg_acc,propensity_avg_pMSE,propensity_pMSE_err,synthetic_data_path,test_dataset_path,train_dataset_path
cpdag_v1_both_vanilla_discovered_first,original,"x2_0,x3_0,x6_0,x8_0,x5_0,x4_0,x1_0,x7_0,x0_0","{0: {""parents"": [], ""undirected"": [1]}, 1: {""parents"": [], ""undirected"": [0]}, 2: {""parents"": [], ""undirected"": []}, 3: {""parents"": [], ""undirected"": []}, 4: {""parents"": [], ""undirected"": []}, 5: {""parents"": [], ""undirected"": []}, 6: {""parents"": [], ""undirected"": []}, 7: {""parents"": [], ""undirected"": []}, 8: {""parents"": [], ""undirected"": []}}",9,0,1,20,0,1,,1.935708223009771,0.34865277777777776,9,1.0,0.6272506154495302,0.18692820928733367,0.12644444444444444,0.0001823938119686619,9,0.7265,0.0057792487193639415,0.6351359738169572,0.025344766901436444,0.0009686207294898111,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_large_backdoor/datasets/synthetic/synthetic_cpdag_v1_both_vanilla_discovered_first_original_ts20_s0.npz,datasets/global_test_set.npz,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_large_backdoor/datasets/train_ts20_s0.npz
cpdag_v1_both_vanilla_discovered_first,original,"x2_0,x3_0,x6_0,x8_0,x5_0,x4_0,x1_0,x7_0,x0_0","{0: {""parents"": [], ""undirected"": [1]}, 1: {""parents"": [], ""undirected"": [0]}, 2: {""parents"": [], ""undirected"": []}, 3: {""parents"": [], ""undirected"": []}, 4: {""parents"": [], ""undirected"": []}, 5: {""parents"": [], ""undirected"": [7]}, 6: {""parents"": [], ""undirected"": []}, 7: {""parents"": [], ""undirected"": [5]}, 8: {""parents"": [], ""undirected"": []}}",9,0,2,20,1,2,,1.9787065250396725,0.31983333333333336,9,1.0,0.4814588393500019,0.20090151274189094,0.10316666666666667,0.0002412843335730673,9,0.6519999999999999,0.0030579490869589916,0.6019724810845389,0.01212374689947691,0.0007935639788640736,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_large_backdoor/datasets/synthetic/synthetic_cpdag_v1_both_vanilla_discovered_first_original_ts20_s1.npz,datasets/global_test_set.npz,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_large_backdoor/datasets/train_ts20_s1.npz
cpdag_v1_both_vanilla_discovered_first,original,"x2_0,x3_0,x6_0,x8_0,x5_0,x4_0,x1_0,x7_0,x0_0","{0: {""parents"": [], ""undirected"": [1]}, 1: {""parents"": [], ""undirected"": [0, 3]}, 2: {""parents"": [], ""undirected"": []}, 3: {""parents"": [], ""undirected"": [1]}, 4: {""parents"": [], ""undirected"": []}, 5: {""parents"": [], ""undirected"": [7]}, 6: {""parents"": [], ""undirected"": []}, 7: {""parents"": [], ""undirected"": [5]}, 8: {""parents"": [], ""undirected"": []}}",9,0,3,20,2,3,,1.8588621577160669,0.3712222222222222,9,1.0,0.43576077083586207,0.17485460695281996,0.1711111111111111,0.000427762044654856,9,0.687,0.009598478542593302,0.6644011623648811,0.038644780333338895,0.00036977371259434095,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_large_backdoor/datasets/synthetic/synthetic_cpdag_v1_both_vanilla_discovered_first_original_ts20_s2.npz,datasets/global_test_set.npz,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_large_backdoor/datasets/train_ts20_s2.npz
cpdag_v1_both_vanilla_discovered_first,original,"x2_0,x3_0,x6_0,x8_0,x5_0,x4_0,x1_0,x7_0,x0_0","{0: {""parents"": [], ""undirected"": [1]}, 1: {""parents"": [], ""undirected"": [0]}, 2: {""parents"": [], ""undirected"": []}, 3: {""parents"": [], ""undirected"": []}, 4: {""parents"": [], ""undirected"": []}, 5: {""parents"": [], ""undirected"": []}, 6: {""parents"": [], ""undirected"": []}, 7: {""parents"": [], ""undirected"": []}, 8: {""parents"": [], ""undirected"": []}}",9,0,1,20,3,4,,2.0570684991396737,0.34398611111111105,9,1.0,0.6440196031484381,0.18088800312710707,0.13299999999999998,0.0003647938619676413,9,0.64725,0.009809930886169823,0.6246364485885143,0.020743308078146217,0.0008197395810829017,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_large_backdoor/datasets/synthetic/synthetic_cpdag_v1_both_vanilla_discovered_first_original_ts20_s3.npz,datasets/global_test_set.npz,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_large_backdoor/datasets/train_ts20_s3.npz
cpdag_v1_both_vanilla_discovered_first,original,"x2_0,x3_0,x6_0,x8_0,x5_0,x4_0,x1_0,x7_0,x0_0","{0: {""parents"": [], ""undirected"": [1]}, 1: {""parents"": [], ""undirected"": [0]}, 2: {""parents"": [], ""undirected"": []}, 3: {""parents"": [], ""undirected"": []}, 4: {""parents"": [], ""undirected"": []}, 5: {""parents"": [], ""undirected"": []}, 6: {""parents"": [], ""undirected"": []}, 7: {""parents"": [], ""undirected"": []}, 8: {""parents"": [], ""undirected"": []}}",9,0,1,20,4,5,,3.001692742632778,0.3090138888888889,9,1.0,0.5641169449469343,0.31726016214175246,0.09638888888888889,0.0003869304069153189,9,0.656,0.0053394605601275735,0.6064213745734364,0.010570072654763158,0.0008330609429470071,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_large_backdoor/datasets/synthetic/synthetic_cpdag_v1_both_vanilla_discovered_first_original_ts20_s4.npz,datasets/global_test_set.npz,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_large_backdoor/datasets/train_ts20_s4.npz
cpdag_v1_both_vanilla_discovered_first,original,"x2_0,x3_0,x6_0,x8_0,x5_0,x4_0,x1_0,x7_0,x0_0","{0: {""parents"": [], ""undirected"": [1]}, 1: {""parents"": [], ""undirected"": [0]}, 2: {""parents"": [], ""undirected"": []}, 3: {""parents"": [], ""undirected"": []}, 4: {""parents"": [], ""undirected"": [6]}, 5: {""parents"": [], ""undirected"": [7]}, 6: {""parents"": [], ""undirected"": [4]}, 7: {""parents"": [], ""undirected"": [5]}, 8: {""parents"": [], ""undirected"": []}}",9,0,3,20,5,6,,2.482871548455486,0.3137916666666667,8,0.8888888888888888,0.668285806471012,0.24844410504338155,0.0911111111111111,0.0005472105474838322,9,0.66025,0.005356802425312198,0.6066356445863388,0.01755499234554255,0.0010775824573733674,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_large_backdoor/datasets/synthetic/synthetic_cpdag_v1_both_vanilla_discovered_first_original_ts20_s5.npz,datasets/global_test_set.npz,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_large_backdoor/datasets/train_ts20_s5.npz
cpdag_v1_both_vanilla_discovered_first,original,"x2_0,x3_0,x6_0,x8_0,x5_0,x4_0,x1_0,x7_0,x0_0","{0: {""parents"": [], ""undirected"": [1]}, 1: {""parents"": [], ""undirected"": [0]}, 2: {""parents"": [], ""undirected"": []}, 3: {""parents"": [], ""undirected"": []}, 4: {""parents"": [], ""undirected"": []}, 5: {""parents"": [], ""undirected"": [7]}, 6: {""parents"": [], ""undirected"": []}, 7: {""parents"": [], ""undirected"": [5]}, 8: {""parents"": [], ""undirected"": []}}",9,0,2,20,6,7,,2.4524989017728345,0.3163472222222222,7,0.7777777777777778,0.6296568587146709,0.22682218370723087,0.10516666666666667,0.00042776559120307205,9,0.6405000000000001,0.011809969120686195,0.6236846478810666,0.01677460256725386,0.00045054456940449126,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_large_backdoor/datasets/synthetic/synthetic_cpdag_v1_both_vanilla_discovered_first_original_ts20_s6.npz,datasets/global_test_set.npz,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_large_backdoor/datasets/train_ts20_s6.npz
cpdag_v1_both_vanilla_discovered_first,original,"x2_0,x3_0,x6_0,x8_0,x5_0,x4_0,x1_0,x7_0,x0_0","{0: {""parents"": [], ""undirected"": []}, 1: {""parents"": [], ""undirected"": []}, 2: {""parents"": [], ""undirected"": []}, 3: {""parents"": [], ""undirected"": []}, 4: {""parents"": [], ""undirected"": []}, 5: {""parents"": [], ""undirected"": [7]}, 6: {""parents"": [], ""undirected"": []}, 7: {""parents"": [], ""undirected"": [5]}, 8: {""parents"": [], ""undirected"": []}}",9,0,1,20,7,8,,3.512957950442145,0.3323611111111112,8,0.8888888888888888,0.6666496272250042,0.3693622429793239,0.13827777777777778,0.00030246842698501973,9,0.63525,0.011239604707021584,0.6260924199724004,0.02791296978683827,0.0005582412018199915,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_large_backdoor/datasets/synthetic/synthetic_cpdag_v1_both_vanilla_discovered_first_original_ts20_s7.npz,datasets/global_test_set.npz,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_large_backdoor/datasets/train_ts20_s7.npz
cpdag_v1_both_vanilla_discovered_first,original,"x2_0,x3_0,x6_0,x8_0,x5_0,x4_0,x1_0,x7_0,x0_0","{0: {""parents"": [], ""undirected"": [1]}, 1: {""parents"": [], ""undirected"": [0]}, 2: {""parents"": [], ""undirected"": []}, 3: {""parents"": [], ""undirected"": []}, 4: {""parents"": [], ""undirected"": []}, 5: {""parents"": [], ""undirected"": [7]}, 6: {""parents"": [], ""undirected"": []}, 7: {""parents"": [], ""undirected"": [5]}, 8: {""parents"": [], ""undirected"": []}}",9,0,2,20,8,9,,2.0790940281595827,0.31650000000000006,9,1.0,0.4692453778661647,0.21666192004400897,0.10272222222222223,0.0002412843335730673,9,0.66275,0.00573211136947247,0.6387129632742873,0.023880750637198817,0.0007742783116879245,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_large_backdoor/datasets/synthetic/synthetic_cpdag_v1_both_vanilla_discovered_first_original_ts20_s8.npz,datasets/global_test_set.npz,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_large_backdoor/datasets/train_ts20_s8.npz
cpdag_v1_both_vanilla_discovered_first,original,"x2_0,x3_0,x6_0,x8_0,x5_0,x4_0,x1_0,x7_0,x0_0","{0: {""parents"": [], ""undirected"": [1]}, 1: {""parents"": [], ""undirected"": [0]}, 2: {""parents"": [], ""undirected"": []}, 3: {""parents"": [], ""undirected"": []}, 4: {""parents"": [], ""undirected"": []}, 5: {""parents"": [], ""undirected"": [7]}, 6: {""parents"": [], ""undirected"": []}, 7: {""parents"": [], ""undirected"": [5]}, 8: {""parents"": [], ""undirected"": []}}",9,0,2,20,9,10,,1.9908287657313335,0.3113472222222222,9,1.0,0.5808273073923395,0.20545447475656867,0.10933333333333334,0.00030246842698515363,9,0.62825,0.0055246935895252505,0.6283312267566958,0.018011380962016967,0.0009448925335833264,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_large_backdoor/datasets/synthetic/synthetic_cpdag_v1_both_vanilla_discovered_first_original_ts20_s9.npz,datasets/global_test_set.npz,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_large_backdoor/datasets/train_ts20_s9.npz
