algorithm,column_order,actual_column_order,graph_structure,graph_nodes,graph_edges,undirected_edges,train_size,seed,repetition,categorical_cols,frobenius_corr_norm,k_marginal_tvd,ks_significant_count,ks_significant_percentage,max_corr_difference,mean_corr_difference,mean_ks_distance,mi_matrix_difference,mi_matrix_size,nnaa,propensity_acc_err,propensity_avg_acc,propensity_avg_pMSE,propensity_pMSE_err,synthetic_data_path,test_dataset_path,train_dataset_path
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,0,1,,0.3490178146243215,0.3156666666666667,4,1.0,0.1303170884103254,0.09616141656376263,0.126375,0.0,4,0.62825,0.01260324913487901,0.6280688299004626,0.018739106965026918,0.00037483263856130097,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_nonlin_simpson/datasets/synthetic/synthetic_vanilla_original_ts20_s0.npz,datasets/global_test_set.npz,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_nonlin_simpson/datasets/train_ts20_s0.npz
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,1,2,,0.43215910507666044,0.31083333333333335,4,1.0,0.1610309874678102,0.1149262331687848,0.120375,0.0,4,0.6465000000000001,0.007904964936224366,0.6071594629363106,0.015296626215979098,0.00037118402708479284,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_nonlin_simpson/datasets/synthetic/synthetic_vanilla_original_ts20_s1.npz,datasets/global_test_set.npz,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_nonlin_simpson/datasets/train_ts20_s1.npz
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,2,3,,0.4172566271108323,0.32875000000000004,4,1.0,0.18333985712917622,0.10219630883345786,0.180625,0.0,4,0.65825,0.00491287365738226,0.6496999056518658,0.013552431596933163,0.0011436092573153902,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_nonlin_simpson/datasets/synthetic/synthetic_vanilla_original_ts20_s2.npz,datasets/global_test_set.npz,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_nonlin_simpson/datasets/train_ts20_s2.npz
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,3,4,,0.20179129386265718,0.3136666666666667,4,1.0,0.10808819080135501,0.04674960945321808,0.1325,0.0001823979706437064,4,0.64075,0.0072664525070481704,0.6147865524724774,0.021908861577198672,0.0005379682958591312,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_nonlin_simpson/datasets/synthetic/synthetic_vanilla_original_ts20_s3.npz,datasets/global_test_set.npz,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_nonlin_simpson/datasets/train_ts20_s3.npz
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,4,5,,1.5326107242364997,0.3223333333333333,4,1.0,0.8336883176289962,0.33933061068941117,0.13887500000000003,0.00022339607229773933,4,0.638,0.008020242890849417,0.5954328069798271,0.01564616942882367,0.001024466794450792,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_nonlin_simpson/datasets/synthetic/synthetic_vanilla_original_ts20_s4.npz,datasets/global_test_set.npz,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_nonlin_simpson/datasets/train_ts20_s4.npz
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,5,6,,0.48798866014181497,0.28358333333333335,4,1.0,0.2158652614758948,0.11937256100863196,0.09025000000000001,0.0,4,0.61825,0.009846112341306279,0.5721114040192319,0.009895659579237057,0.00026472456019247187,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_nonlin_simpson/datasets/synthetic/synthetic_vanilla_original_ts20_s5.npz,datasets/global_test_set.npz,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_nonlin_simpson/datasets/train_ts20_s5.npz
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,6,7,,0.27159188639568815,0.2675,3,0.75,0.15082826222724688,0.061585828375993044,0.054,0.0,4,0.6052500000000001,0.005247969507719833,0.6140618761749217,0.012227698775358141,0.0004778459837968181,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_nonlin_simpson/datasets/synthetic/synthetic_vanilla_original_ts20_s6.npz,datasets/global_test_set.npz,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_nonlin_simpson/datasets/train_ts20_s6.npz
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,7,8,,0.0977588069088228,0.2816666666666667,4,1.0,0.05616107768970002,0.02081628597532383,0.127,0.00011169294289107891,4,0.5905,0.003914858835011231,0.5432384415513684,0.005218561552462865,0.00024682249771266416,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_nonlin_simpson/datasets/synthetic/synthetic_vanilla_original_ts20_s7.npz,datasets/global_test_set.npz,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_nonlin_simpson/datasets/train_ts20_s7.npz
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,8,9,,0.28018740222415583,0.2683333333333333,4,1.0,0.13507328052192435,0.07205362903438206,0.0905,0.00011169294289116956,4,0.5985,0.006853038909534994,0.577619183152281,0.00865197827857368,0.0004430884721264971,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_nonlin_simpson/datasets/synthetic/synthetic_vanilla_original_ts20_s8.npz,datasets/global_test_set.npz,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_nonlin_simpson/datasets/train_ts20_s8.npz
vanilla,original,"x1_0,x2_0,x3_0,x0_0",no_graph,0,0,0,20,9,10,,0.6117108959690993,0.31691666666666674,4,1.0,0.2486273129193287,0.1580175755003069,0.11987500000000001,0.00011169294289116956,4,0.60875,0.010096277259350273,0.5666083666077326,0.0022030142003496623,0.0003276481312922879,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_nonlin_simpson/datasets/synthetic/synthetic_vanilla_original_ts20_s9.npz,datasets/global_test_set.npz,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_nonlin_simpson/datasets/train_ts20_s9.npz
