algorithm,column_order,actual_column_order,graph_structure,graph_nodes,graph_edges,undirected_edges,train_size,seed,repetition,categorical_cols,frobenius_corr_norm,k_marginal_tvd,ks_significant_count,ks_significant_percentage,max_corr_difference,mean_corr_difference,mean_ks_distance,mi_matrix_difference,mi_matrix_size,nnaa,propensity_acc_err,propensity_avg_acc,propensity_avg_pMSE,propensity_pMSE_err,synthetic_data_path,test_dataset_path,train_dataset_path
vanilla,original,"x3_0,x1_0,x5_0,x0_0,x4_0,x8_0,x7_0,x6_0,x2_0",no_graph,0,0,0,20,0,1,,1.442586869994087,0.3217916666666667,9,1.0,0.490085541588278,0.11589632668098705,0.12416666666666666,0.00038693040691524034,9,0.6655,0.008759430470790992,0.629903988294882,0.024560782723506265,0.0006275933607155946,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_weak_arrows/datasets/synthetic/synthetic_vanilla_original_ts20_s0.npz,datasets/global_test_set.npz,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_weak_arrows/datasets/train_ts20_s0.npz
vanilla,original,"x3_0,x1_0,x5_0,x0_0,x4_0,x8_0,x7_0,x6_0,x2_0",no_graph,0,0,0,20,1,2,,1.618386692024962,0.31193055555555554,9,1.0,0.5002159552737748,0.14224621527402895,0.10222222222222221,0.0002412843335732142,9,0.6375,0.005793782070022606,0.5833497390126681,0.014332316545860885,0.00029551740844742976,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_weak_arrows/datasets/synthetic/synthetic_vanilla_original_ts20_s1.npz,datasets/global_test_set.npz,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_weak_arrows/datasets/train_ts20_s1.npz
vanilla,original,"x3_0,x1_0,x5_0,x0_0,x4_0,x8_0,x7_0,x6_0,x2_0",no_graph,0,0,0,20,2,3,,1.6469796754583532,0.38066666666666665,8,0.8888888888888888,0.45202195362342434,0.15024838139822905,0.201,0.00018239381196860638,9,0.71025,0.007467586936102924,0.6571176232125275,0.04004934420395776,0.000493681443134933,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_weak_arrows/datasets/synthetic/synthetic_vanilla_original_ts20_s2.npz,datasets/global_test_set.npz,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_weak_arrows/datasets/train_ts20_s2.npz
vanilla,original,"x3_0,x1_0,x5_0,x0_0,x4_0,x8_0,x7_0,x6_0,x2_0",no_graph,0,0,0,20,3,4,,2.829259466975201,0.326625,9,1.0,0.5900567599376753,0.28397277988270997,0.11466666666666667,0.000427762044654856,9,0.69125,0.004434660992019227,0.643829790139179,0.026279406000450367,0.0009950648528454528,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_weak_arrows/datasets/synthetic/synthetic_vanilla_original_ts20_s3.npz,datasets/global_test_set.npz,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_weak_arrows/datasets/train_ts20_s3.npz
vanilla,original,"x3_0,x1_0,x5_0,x0_0,x4_0,x8_0,x7_0,x6_0,x2_0",no_graph,0,0,0,20,4,5,,1.6769472280208007,0.36126388888888883,9,1.0,0.35728149195902864,0.17291544114106375,0.17605555555555555,0.00043738407406388537,9,0.6605,0.005322468080609772,0.6665224510841263,0.03627830715833604,0.00021867204363828604,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_weak_arrows/datasets/synthetic/synthetic_vanilla_original_ts20_s4.npz,datasets/global_test_set.npz,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_weak_arrows/datasets/train_ts20_s4.npz
vanilla,original,"x3_0,x1_0,x5_0,x0_0,x4_0,x8_0,x7_0,x6_0,x2_0",no_graph,0,0,0,20,5,6,,2.1537457156957682,0.32052777777777774,9,1.0,0.7489323388269281,0.19496557671033582,0.12033333333333333,0.0009346253691490987,9,0.63825,0.005625192419079593,0.6318348246526901,0.028813706961732438,0.0007594272273845757,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_weak_arrows/datasets/synthetic/synthetic_vanilla_original_ts20_s5.npz,datasets/global_test_set.npz,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_weak_arrows/datasets/train_ts20_s5.npz
vanilla,original,"x3_0,x1_0,x5_0,x0_0,x4_0,x8_0,x7_0,x6_0,x2_0",no_graph,0,0,0,20,6,7,,1.0605191870465647,0.34995833333333326,9,1.0,0.2883298836492679,0.10084899539366667,0.16588888888888886,0.0003024684269850365,9,0.6495,0.006699644226725219,0.6673474678547964,0.02866254474356079,0.0009095560013037318,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_weak_arrows/datasets/synthetic/synthetic_vanilla_original_ts20_s6.npz,datasets/global_test_set.npz,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_weak_arrows/datasets/train_ts20_s6.npz
vanilla,original,"x3_0,x1_0,x5_0,x0_0,x4_0,x8_0,x7_0,x6_0,x2_0",no_graph,0,0,0,20,7,8,,1.8186462787163484,0.32227777777777783,9,1.0,0.4404812055545681,0.17247631799422647,0.10027777777777777,0.00035321376204186674,9,0.64125,0.0067173929745894725,0.6116726749889219,0.022582826139939064,0.000730118119675706,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_weak_arrows/datasets/synthetic/synthetic_vanilla_original_ts20_s7.npz,datasets/global_test_set.npz,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_weak_arrows/datasets/train_ts20_s7.npz
vanilla,original,"x3_0,x1_0,x5_0,x0_0,x4_0,x8_0,x7_0,x6_0,x2_0",no_graph,0,0,0,20,8,9,,1.5185155683684994,0.3091944444444445,9,1.0,0.47215746114044227,0.13995431713277726,0.11233333333333333,0.00018239381196860638,9,0.63225,0.007084738733581573,0.6018741016367735,0.014737873244259087,0.0009480271328889154,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_weak_arrows/datasets/synthetic/synthetic_vanilla_original_ts20_s8.npz,datasets/global_test_set.npz,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_weak_arrows/datasets/train_ts20_s8.npz
vanilla,original,"x3_0,x1_0,x5_0,x0_0,x4_0,x8_0,x7_0,x6_0,x2_0",no_graph,0,0,0,20,9,10,,2.1589374148542353,0.3045694444444445,9,1.0,0.5032470029139628,0.21927457771044537,0.0905,0.00030246842698500304,9,0.6214999999999999,0.003719468515605284,0.6267761845642302,0.02314650961465664,0.0005194736765047789,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_weak_arrows/datasets/synthetic/synthetic_vanilla_original_ts20_s9.npz,datasets/global_test_set.npz,causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_weak_arrows/datasets/train_ts20_s9.npz
