algorithm,column_order,actual_column_order,graph_structure,graph_nodes,graph_edges,undirected_edges,train_size,seed,repetition,categorical_cols,correlation_matrix_difference,k_marginal_tvd,nnaa,rex_graph_path,synthetic_data_path,test_dataset_path,train_dataset_path
dag_discovered,topological,"x0_0,x2_0,x3_0,x1_0","{0: [], 1: [], 2: [], 3: [0, 2]}",4,2,0,20,0,1,,1.4935466444294967,0.46475,0.74475,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/rex_graphs/anm_allnpz_ts20_100_500/comparison/csuite_symprod_simpson/ts20_s0/rex_union.json,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_symprod_simpson/datasets/synthetic/synthetic_dag_rex_topological_ts20_s0.npz,datasets/global_test_set.npz,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_symprod_simpson/datasets/train_ts20_s0.npz
dag_discovered,topological,"x0_0,x2_0,x3_0,x1_0","{0: [], 1: [], 2: [], 3: [0]}",4,1,0,20,1,2,,1.8582491285355345,0.461,0.79875,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/rex_graphs/anm_allnpz_ts20_100_500/comparison/csuite_symprod_simpson/ts20_s1/rex_union.json,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_symprod_simpson/datasets/synthetic/synthetic_dag_rex_topological_ts20_s1.npz,datasets/global_test_set.npz,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_symprod_simpson/datasets/train_ts20_s1.npz
dag_discovered,topological,"x0_0,x2_0,x1_0,x3_0","{0: [], 1: [], 2: [0], 3: [2]}",4,2,0,20,2,3,,0.1649694337669087,0.3625833333333333,0.6455,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/rex_graphs/anm_allnpz_ts20_100_500/comparison/csuite_symprod_simpson/ts20_s2/rex_union.json,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_symprod_simpson/datasets/synthetic/synthetic_dag_rex_topological_ts20_s2.npz,datasets/global_test_set.npz,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_symprod_simpson/datasets/train_ts20_s2.npz
dag_discovered,topological,"x1_0,x2_0,x0_0,x3_0","{0: [], 1: [], 2: [0], 3: [2, 0]}",4,3,0,20,3,4,,0.0572384708214175,0.33275,0.6412500000000001,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/rex_graphs/anm_allnpz_ts20_100_500/comparison/csuite_symprod_simpson/ts20_s3/rex_union.json,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_symprod_simpson/datasets/synthetic/synthetic_dag_rex_topological_ts20_s3.npz,datasets/global_test_set.npz,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_symprod_simpson/datasets/train_ts20_s3.npz
dag_discovered,topological,"x1_0,x0_0,x2_0,x3_0","{0: [], 1: [0], 2: [1], 3: [1]}",4,3,0,20,4,5,,0.3598391222474095,0.3524166666666667,0.6372500000000001,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/rex_graphs/anm_allnpz_ts20_100_500/comparison/csuite_symprod_simpson/ts20_s4/rex_union.json,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_symprod_simpson/datasets/synthetic/synthetic_dag_rex_topological_ts20_s4.npz,datasets/global_test_set.npz,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_symprod_simpson/datasets/train_ts20_s4.npz
dag_discovered,topological,"x3_0,x2_0,x0_0,x1_0","{0: [], 1: [0], 2: [1], 3: [2]}",4,3,0,20,5,6,,1.8218043913340456,0.4307499999999999,0.7575000000000001,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/rex_graphs/anm_allnpz_ts20_100_500/comparison/csuite_symprod_simpson/ts20_s5/rex_union.json,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_symprod_simpson/datasets/synthetic/synthetic_dag_rex_topological_ts20_s5.npz,datasets/global_test_set.npz,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_symprod_simpson/datasets/train_ts20_s5.npz
dag_discovered,topological,"x1_0,x0_0,x2_0,x3_0","{0: [], 1: [0], 2: [0], 3: [0]}",4,3,0,20,6,7,,0.0808646830081157,0.3644166666666668,0.6465,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/rex_graphs/anm_allnpz_ts20_100_500/comparison/csuite_symprod_simpson/ts20_s6/rex_union.json,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_symprod_simpson/datasets/synthetic/synthetic_dag_rex_topological_ts20_s6.npz,datasets/global_test_set.npz,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_symprod_simpson/datasets/train_ts20_s6.npz
dag_discovered,topological,"x2_0,x0_0,x1_0,x3_0","{0: [], 1: [0], 2: [1], 3: [2]}",4,3,0,20,7,8,,0.5339229644707526,0.3054166666666666,0.598,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/rex_graphs/anm_allnpz_ts20_100_500/comparison/csuite_symprod_simpson/ts20_s7/rex_union.json,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_symprod_simpson/datasets/synthetic/synthetic_dag_rex_topological_ts20_s7.npz,datasets/global_test_set.npz,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_symprod_simpson/datasets/train_ts20_s7.npz
dag_discovered,topological,"x1_0,x0_0,x3_0,x2_0","{0: [], 1: [0], 2: [0], 3: [1]}",4,3,0,20,8,9,,0.1930254636510581,0.3121666666666667,0.596,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/rex_graphs/anm_allnpz_ts20_100_500/comparison/csuite_symprod_simpson/ts20_s8/rex_union.json,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_symprod_simpson/datasets/synthetic/synthetic_dag_rex_topological_ts20_s8.npz,datasets/global_test_set.npz,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_symprod_simpson/datasets/train_ts20_s8.npz
dag_discovered,topological,"x1_0,x0_0,x2_0,x3_0","{0: [], 1: [0], 2: [0], 3: [1, 0]}",4,4,0,20,9,10,,0.5447061815194891,0.3418333333333334,0.61275,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/rex_graphs/anm_allnpz_ts20_100_500/comparison/csuite_symprod_simpson/ts20_s9/rex_union.json,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_symprod_simpson/datasets/synthetic/synthetic_dag_rex_topological_ts20_s9.npz,datasets/global_test_set.npz,<leonardo_home>/tabpfn-causal-synthetic/causal_experiments/csuite_experiment/comparison_experiment_csuite/results/csuite_symprod_simpson/datasets/train_ts20_s9.npz
