algorithm,column_order,actual_column_order,graph_structure,graph_nodes,graph_edges,undirected_edges,train_size,seed,repetition,categorical_cols,correlation_matrix_difference,k_marginal_tvd,nnaa,nnaa_raw,nnaa_distance_0p5
dag_discovered,topological,"x8_0,x6_0,x4_0,x3_0,x5_0,x1_0,x7_0,x0_0,x2_0","{0: [], 1: [0], 2: [1], 3: [2, 0], 4: [2, 1], 5: [3, 1], 6: [4], 7: [5, 3, 0], 8: [7, 2]}",9,14,0,20,74,75,,1.7337157148846964,0.3650694444444445,0.687,0.687,0.187
dag_discovered,topological,"x2_0,x3_0,x6_0,x5_0,x4_0,x8_0,x7_0,x1_0,x0_0","{0: [], 1: [], 2: [], 3: [1], 4: [0, 2], 5: [1, 2], 6: [3], 7: [0, 1, 5], 8: [7, 1]}",9,11,0,50,161,17,,1.7811833837925195,0.2892083333333334,0.59275,0.59275,0.09275
dag_discovered,topological,"x3_0,x4_0,x1_0,x6_0,x0_0,x5_0,x7_0,x8_0,x2_0","{0: [], 1: [], 2: [0], 3: [1], 4: [2], 5: [3], 6: [5], 7: [1, 5, 3], 8: [1, 3, 7]}",9,11,0,50,177,33,,2.525954138710787,0.2998333333333333,0.65125,0.65125,0.15125
dag_discovered,topological,"x5_0,x6_0,x7_0,x4_0,x3_0,x8_0,x1_0,x0_0,x2_0","{0: [], 1: [], 2: [0], 3: [1], 4: [3, 0, 1], 5: [3, 1, 2], 6: [4], 7: [6, 4], 8: [7, 3]}",9,13,0,50,205,61,,1.6474159647247533,0.2795555555555555,0.6040000000000001,0.6040000000000001,0.104
dag_discovered,topological,"x5_0,x3_0,x7_0,x4_0,x2_0,x6_0,x8_0,x1_0,x0_0","{0: [], 1: [0], 2: [0], 3: [1], 4: [3], 5: [4, 3], 6: [5], 7: [4, 6], 8: [7, 1]}",9,11,0,50,238,94,,1.6631798459398972,0.2947777777777778,0.606,0.606,0.1059999999999999
dag_discovered,topological,"x1_0,x4_0,x5_0,x8_0,x2_0,x3_0,x7_0,x6_0,x0_0","{0: [], 1: [], 2: [], 3: [], 4: [1], 5: [2], 6: [2], 7: [1, 3], 8: [0, 4, 5]}",9,8,0,50,252,108,,2.6178354616323345,0.3058055555555555,0.66225,0.66225,0.16225
dag_discovered,topological,"x1_0,x5_0,x6_0,x0_0,x3_0,x7_0,x4_0,x2_0,x8_0","{0: [], 1: [], 2: [], 3: [0], 4: [1], 5: [1], 6: [2], 7: [0, 6], 8: [7, 2]}",9,8,0,100,328,39,,2.294747874621807,0.2955833333333333,0.62825,0.62825,0.1282499999999999
dag_discovered,topological,"x1_0,x5_0,x6_0,x0_0,x7_0,x4_0,x2_0,x8_0,x3_0","{0: [], 1: [], 2: [], 3: [0], 4: [1], 5: [2], 6: [5], 7: [5, 2], 8: [0, 7]}",9,8,0,100,369,80,,2.587785603432178,0.2984583333333334,0.626,0.626,0.126
dag_discovered,topological,"x5_0,x6_0,x7_0,x4_0,x3_0,x1_0,x0_0,x8_0,x2_0","{0: [], 1: [], 2: [0], 3: [1], 4: [0, 2], 5: [4], 6: [5], 7: [6, 3, 0, 1], 8: [3, 7]}",9,12,0,100,370,81,,1.9315578086312173,0.2869166666666666,0.6140000000000001,0.6140000000000001,0.1140000000000001
dag_discovered,topological,"x0_0,x4_0,x5_0,x1_0,x2_0,x6_0,x7_0,x3_0,x8_0","{0: [], 1: [], 2: [], 3: [0], 4: [0, 1], 5: [1], 6: [2], 7: [3, 2], 8: [7, 1, 5]}",9,10,0,200,453,19,,1.8769480976860096,0.2758194444444445,0.57575,0.57575,0.0757499999999999
dag_discovered,topological,"x0_0,x1_0,x2_0,x3_0,x4_0,x5_0,x6_0,x7_0,x8_0","{0: [], 1: [0], 2: [0], 3: [0, 1], 4: [2], 5: [3], 6: [4], 7: [5], 8: [0, 6, 7]}",9,11,0,500,611,32,,0.275805045500988,0.2382777777777778,0.51625,0.51625,0.0162499999999999
dag_discovered,topological,"x0_0,x1_0,x2_0,x3_0,x4_0,x5_0,x6_0,x7_0,x8_0","{0: [], 1: [0], 2: [0], 3: [0, 1], 4: [2], 5: [3], 6: [4], 7: [3, 5], 8: [6, 7]}",9,11,0,500,647,68,,0.2159349487845488,0.2471111111111111,0.51,0.51,0.01
