algorithm,column_order,actual_column_order,graph_structure,graph_nodes,graph_edges,undirected_edges,train_size,seed,repetition,categorical_cols,correlation_matrix_difference,k_marginal_tvd,nnaa,nnaa_raw,nnaa_distance_0p5
dag_discovered,topological,"x1_0,x6_0,x0_0,x4_0,x8_0,x2_0,x3_0,x7_0,x5_0","{0: [], 1: [], 2: [0], 3: [1], 4: [1], 5: [2, 3], 6: [0, 4], 7: [4], 8: [7]}",9,9,0,50,203,49,,2.2566387136835995,0.2971111111111112,0.6547499999999999,0.6547499999999999,0.1547499999999999
dag_discovered,topological,"x1_0,x7_0,x3_0,x5_0,x8_0,x6_0,x4_0,x2_0,x0_0","{0: [], 1: [], 2: [0, 1], 3: [1], 4: [1], 5: [4], 6: [5], 7: [6, 5], 8: [0, 7]}",9,10,0,100,414,105,,1.8234816306549249,0.2780138888888889,0.5822499999999999,0.5822499999999999,0.0822499999999999
dag_discovered,topological,"x3_0,x4_0,x5_0,x2_0,x6_0,x7_0,x0_0,x8_0,x1_0","{0: [], 1: [], 2: [], 3: [1], 4: [1], 5: [2], 6: [3], 7: [5], 8: [6, 0]}",9,7,0,200,469,5,,2.3740660679794856,0.2780138888888889,0.6245,0.6245,0.1245
dag_discovered,topological,"x0_0,x1_0,x4_0,x5_0,x2_0,x6_0,x3_0,x7_0,x8_0","{0: [], 1: [], 2: [], 3: [], 4: [0, 2], 5: [2], 6: [1, 3], 7: [3], 8: [5, 7]}",9,8,0,500,638,19,,2.229306940162601,0.2728472222222222,0.5762499999999999,0.5762499999999999,0.0762499999999999
dag_discovered,topological,"x0_0,x1_0,x4_0,x5_0,x2_0,x6_0,x3_0,x7_0,x8_0","{0: [], 1: [], 2: [], 3: [], 4: [0, 2], 5: [2], 6: [1, 3], 7: [3], 8: [5, 7]}",9,8,0,500,671,52,,2.286318711997941,0.2792222222222222,0.6080000000000001,0.6080000000000001,0.1080000000000001
dag_discovered,topological,"x0_0,x1_0,x4_0,x5_0,x2_0,x3_0,x7_0,x8_0,x6_0","{0: [], 1: [], 2: [], 3: [], 4: [0, 2], 5: [1, 3], 6: [3], 7: [6], 8: [2, 7]}",9,8,0,500,672,53,,2.309217086041344,0.2727361111111112,0.60925,0.60925,0.1092499999999999
dag_discovered,topological,"x0_0,x5_0,x1_0,x2_0,x7_0,x3_0,x8_0,x6_0,x4_0","{0: [], 1: [], 2: [0], 3: [0], 4: [1], 5: [2, 1], 6: [4], 7: [6], 8: [3, 7]}",9,9,0,500,691,72,,1.886680516822986,0.2648194444444445,0.5640000000000001,0.5640000000000001,0.064
dag_discovered,topological,"x0_0,x4_0,x1_0,x2_0,x3_0,x5_0,x7_0,x8_0,x6_0","{0: [], 1: [], 2: [0], 3: [0, 1], 4: [2], 5: [4], 6: [5], 7: [6], 8: [1, 7]}",9,9,0,500,697,78,,1.1546223843959285,0.2521388888888889,0.5409999999999999,0.5409999999999999,0.0409999999999999
dag_discovered,topological,"x0_0,x4_0,x1_0,x2_0,x3_0,x5_0,x7_0,x6_0,x8_0","{0: [], 1: [], 2: [0], 3: [0, 1], 4: [2], 5: [4], 6: [5], 7: [1, 6], 8: [5, 7, 6]}",9,11,0,500,707,88,,1.129121050738319,0.2532222222222222,0.533,0.533,0.033
dag_discovered,topological,"x0_0,x1_0,x4_0,x3_0,x2_0,x6_0,x5_0,x7_0,x8_0","{0: [], 1: [], 2: [], 3: [1], 4: [0, 2], 5: [2], 6: [3], 7: [6], 8: [5, 7]}",9,8,0,500,718,99,,1.8161505144582548,0.2654583333333333,0.55525,0.55525,0.05525
