algorithm,column_order,actual_column_order,graph_structure,graph_nodes,graph_edges,undirected_edges,train_size,seed,repetition,categorical_cols,correlation_matrix_difference,k_marginal_tvd,nnaa,nnaa_raw,nnaa_distance_0p5
cpdag_discovered,original,"x0_0,x1_0,x2_0,x3_0","{0: {""parents"": [], ""undirected"": [1]}, 1: {""parents"": [], ""undirected"": [0]}, 2: {""parents"": [], ""undirected"": []}, 3: {""parents"": [], ""undirected"": []}}",4,0,1,20,0,1,,0.5237257467035689,0.29525,0.6,0.6,0.0999999999999999
cpdag_minimal,original,"x0_0,x1_0,x2_0,x3_0","{0: {""parents"": [], ""undirected"": [1, 3]}, 1: {""parents"": [], ""undirected"": [0]}, 2: {""parents"": [0, 1], ""undirected"": []}, 3: {""parents"": [], ""undirected"": [0]}}",4,2,2,20,0,1,,0.5237257467035689,0.29525,0.6,0.6,0.0999999999999999
dag,topological,"x0_0,x1_0,x3_0,x2_0","{0: [], 1: [0], 2: [0], 3: [0, 1]}",4,4,0,20,0,1,,0.5639033098085279,0.3025,0.58675,0.58675,0.08675
dag_discovered,topological,"x0_0,x2_0,x3_0,x1_0","{0: [], 1: [], 2: [], 3: [0, 2]}",4,2,0,20,0,1,,1.4935466444294967,0.46475,0.74475,0.74475,0.24475
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,0,1,,0.5934923508384657,0.3514166666666667,0.6185,0.6185,0.1185
vanilla,reverse_topological,"x3_0,x2_0,x1_0,x0_0",no_graph,0,0,0,20,0,1,,0.3819692906579885,0.3620833333333333,0.6545,0.6545,0.1544999999999999
vanilla,topological,"x0_0,x1_0,x2_0,x3_0",no_graph,0,0,0,20,0,1,,0.5237257467035689,0.29525,0.6,0.6,0.0999999999999999
cpdag_discovered,original,"x0_0,x1_0,x2_0,x3_0","{0: {""parents"": [], ""undirected"": [1]}, 1: {""parents"": [], ""undirected"": [0]}, 2: {""parents"": [], ""undirected"": []}, 3: {""parents"": [], ""undirected"": []}}",4,0,1,20,1,2,,0.3698535709404835,0.3471666666666667,0.6295,0.6295,0.1294999999999999
cpdag_minimal,original,"x0_0,x1_0,x2_0,x3_0","{0: {""parents"": [], ""undirected"": [1, 3]}, 1: {""parents"": [], ""undirected"": [0]}, 2: {""parents"": [0, 1], ""undirected"": []}, 3: {""parents"": [], ""undirected"": [0]}}",4,2,2,20,1,2,,0.3698535709404835,0.3471666666666667,0.6295,0.6295,0.1294999999999999
dag,topological,"x0_0,x1_0,x3_0,x2_0","{0: [], 1: [0], 2: [0], 3: [0, 1]}",4,4,0,20,1,2,,0.3209832754376622,0.3618333333333334,0.65525,0.65525,0.15525
dag_discovered,topological,"x0_0,x2_0,x3_0,x1_0","{0: [], 1: [], 2: [], 3: [0]}",4,1,0,20,1,2,,1.8582491285355345,0.461,0.79875,0.79875,0.2987499999999999
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,1,2,,0.2694651405090275,0.3583333333333334,0.655,0.655,0.155
vanilla,reverse_topological,"x3_0,x2_0,x1_0,x0_0",no_graph,0,0,0,20,1,2,,0.2430386898931636,0.3676666666666666,0.6759999999999999,0.6759999999999999,0.1759999999999999
vanilla,topological,"x0_0,x1_0,x2_0,x3_0",no_graph,0,0,0,20,1,2,,0.3698535709404835,0.3471666666666667,0.6295,0.6295,0.1294999999999999
cpdag_discovered,original,"x0_0,x1_0,x2_0,x3_0","{0: {""parents"": [], ""undirected"": []}, 1: {""parents"": [], ""undirected"": []}, 2: {""parents"": [], ""undirected"": []}, 3: {""parents"": [], ""undirected"": []}}",4,0,0,20,2,3,,0.5136159208636745,0.3268333333333333,0.61025,0.61025,0.1102499999999999
cpdag_minimal,original,"x0_0,x1_0,x2_0,x3_0","{0: {""parents"": [], ""undirected"": [1, 3]}, 1: {""parents"": [], ""undirected"": [0]}, 2: {""parents"": [0, 1], ""undirected"": []}, 3: {""parents"": [], ""undirected"": [0]}}",4,2,2,20,2,3,,0.5136159208636745,0.3268333333333333,0.61025,0.61025,0.1102499999999999
dag,topological,"x0_0,x1_0,x3_0,x2_0","{0: [], 1: [0], 2: [0], 3: [0, 1]}",4,4,0,20,2,3,,0.5574246980211831,0.3285,0.61925,0.61925,0.1192499999999999
dag_discovered,topological,"x0_0,x2_0,x1_0,x3_0","{0: [], 1: [], 2: [0], 3: [2]}",4,2,0,20,2,3,,0.1649694337669087,0.3625833333333333,0.6455,0.6455,0.1454999999999999
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,2,3,,0.4890271167666452,0.3608333333333333,0.6507499999999999,0.6507499999999999,0.1507499999999999
vanilla,reverse_topological,"x3_0,x2_0,x1_0,x0_0",no_graph,0,0,0,20,2,3,,0.3176204282129023,0.3611666666666667,0.6595,0.6595,0.1594999999999999
vanilla,topological,"x0_0,x1_0,x2_0,x3_0",no_graph,0,0,0,20,2,3,,0.5136159208636745,0.3268333333333333,0.61025,0.61025,0.1102499999999999
cpdag_discovered,original,"x0_0,x1_0,x2_0,x3_0","{0: {""parents"": [], ""undirected"": [1]}, 1: {""parents"": [], ""undirected"": [0]}, 2: {""parents"": [], ""undirected"": []}, 3: {""parents"": [], ""undirected"": []}}",4,0,1,20,3,4,,0.1439141719008243,0.29725,0.6005,0.6005,0.1005
cpdag_minimal,original,"x0_0,x1_0,x2_0,x3_0","{0: {""parents"": [], ""undirected"": [1, 3]}, 1: {""parents"": [], ""undirected"": [0]}, 2: {""parents"": [0, 1], ""undirected"": []}, 3: {""parents"": [], ""undirected"": [0]}}",4,2,2,20,3,4,,0.1439141719008243,0.29725,0.6005,0.6005,0.1005
dag,topological,"x0_0,x1_0,x3_0,x2_0","{0: [], 1: [0], 2: [0], 3: [0, 1]}",4,4,0,20,3,4,,0.1840252638276147,0.30525,0.6005,0.6005,0.1005
