algorithm,column_order,actual_column_order,graph_structure,graph_nodes,graph_edges,undirected_edges,train_size,seed,repetition,categorical_cols,correlation_matrix_difference,k_marginal_tvd,nnaa,nnaa_train
vanilla,original,"x0_0,x1_0,x2_0,x3_0,x4_0,x5_0,x6_0,x7_0,x8_0,x9_0,x10_0,x11_0",no_graph,0,0,0,20,0,1,x0_0;x2_0;x4_0;x5_0;x7_0,0.9316141749307182,0.2131060606060606,0.70375,0.38
vanilla,original,"x0_0,x1_0,x2_0,x3_0,x4_0,x5_0,x6_0,x7_0,x8_0,x9_0,x10_0,x11_0",no_graph,0,0,0,20,1,2,x0_0;x2_0;x4_0;x5_0;x7_0,1.010746967434155,0.2178863636363636,0.66625,0.3225
vanilla,original,"x0_0,x1_0,x2_0,x3_0,x4_0,x5_0,x6_0,x7_0,x8_0,x9_0,x10_0,x11_0",no_graph,0,0,0,20,2,3,x0_0;x2_0;x4_0;x5_0;x7_0,0.9007467617065266,0.204530303030303,0.673,0.411667
vanilla,original,"x0_0,x1_0,x2_0,x3_0,x4_0,x5_0,x6_0,x7_0,x8_0,x9_0,x10_0,x11_0",no_graph,0,0,0,20,3,4,x0_0;x2_0;x4_0;x5_0;x7_0,1.1574245669909873,0.224310606060606,0.6605000000000001,0.388333
vanilla,original,"x0_0,x1_0,x2_0,x3_0,x4_0,x5_0,x6_0,x7_0,x8_0,x9_0,x10_0,x11_0",no_graph,0,0,0,20,4,5,x0_0;x2_0;x4_0;x5_0;x7_0,1.3156342832895411,0.2437575757575757,0.71975,0.350833
vanilla,original,"x0_0,x1_0,x2_0,x3_0,x4_0,x5_0,x6_0,x7_0,x8_0,x9_0,x10_0,x11_0",no_graph,0,0,0,20,5,6,x0_0;x2_0;x4_0;x5_0;x7_0,1.1882081303985712,0.2061439393939393,0.66975,0.423333
vanilla,original,"x0_0,x1_0,x2_0,x3_0,x4_0,x5_0,x6_0,x7_0,x8_0,x9_0,x10_0,x11_0",no_graph,0,0,0,20,6,7,x0_0;x2_0;x4_0;x5_0;x7_0,1.142615648215664,0.2584621212121213,0.7222500000000001,0.38
vanilla,original,"x0_0,x1_0,x2_0,x3_0,x4_0,x5_0,x6_0,x7_0,x8_0,x9_0,x10_0,x11_0",no_graph,0,0,0,20,7,8,x0_0;x2_0;x4_0;x5_0;x7_0,0.8720968024409582,0.251840909090909,0.71425,0.404167
vanilla,original,"x0_0,x1_0,x2_0,x3_0,x4_0,x5_0,x6_0,x7_0,x8_0,x9_0,x10_0,x11_0",no_graph,0,0,0,20,8,9,x0_0;x2_0;x4_0;x5_0;x7_0,1.0985728002533626,0.2169242424242424,0.6835,0.423333
vanilla,original,"x0_0,x1_0,x2_0,x3_0,x4_0,x5_0,x6_0,x7_0,x8_0,x9_0,x10_0,x11_0",no_graph,0,0,0,20,9,10,x0_0;x2_0;x4_0;x5_0;x7_0,1.1843707707089242,0.2452727272727272,0.68375,0.37
vanilla,original,"x0_0,x1_0,x2_0,x3_0,x4_0,x5_0,x6_0,x7_0,x8_0,x9_0,x10_0,x11_0",no_graph,0,0,0,20,10,11,x0_0;x2_0;x4_0;x5_0;x7_0,1.3193397839996297,0.2491439393939394,0.71275,0.365833
vanilla,original,"x0_0,x1_0,x2_0,x3_0,x4_0,x5_0,x6_0,x7_0,x8_0,x9_0,x10_0,x11_0",no_graph,0,0,0,20,11,12,x0_0;x2_0;x4_0;x5_0;x7_0,1.450432341132731,0.2624015151515152,0.7050000000000001,0.356667
vanilla,original,"x0_0,x1_0,x2_0,x3_0,x4_0,x5_0,x6_0,x7_0,x8_0,x9_0,x10_0,x11_0",no_graph,0,0,0,20,12,13,x0_0;x2_0;x4_0;x5_0;x7_0,1.112116188353504,0.2620530303030303,0.68675,0.39
vanilla,original,"x0_0,x1_0,x2_0,x3_0,x4_0,x5_0,x6_0,x7_0,x8_0,x9_0,x10_0,x11_0",no_graph,0,0,0,20,13,14,x0_0;x2_0;x4_0;x5_0;x7_0,1.2716599234085604,0.2181666666666666,0.69975,0.338333
vanilla,original,"x0_0,x1_0,x2_0,x3_0,x4_0,x5_0,x6_0,x7_0,x8_0,x9_0,x10_0,x11_0",no_graph,0,0,0,20,14,15,x0_0;x2_0;x4_0;x5_0;x7_0,1.5626450478423706,0.2610454545454546,0.72575,0.379167
vanilla,original,"x0_0,x1_0,x2_0,x3_0,x4_0,x5_0,x6_0,x7_0,x8_0,x9_0,x10_0,x11_0",no_graph,0,0,0,20,15,16,x0_0;x2_0;x4_0;x5_0;x7_0,1.2212634950269523,0.2524545454545455,0.6955,0.3975
vanilla,original,"x0_0,x1_0,x2_0,x3_0,x4_0,x5_0,x6_0,x7_0,x8_0,x9_0,x10_0,x11_0",no_graph,0,0,0,20,16,17,x0_0;x2_0;x4_0;x5_0;x7_0,1.1274234205249385,0.2276363636363636,0.6752499999999999,0.371667
