algorithm,column_order,actual_column_order,graph_structure,graph_nodes,graph_edges,undirected_edges,train_size,seed,repetition,categorical_cols,correlation_matrix_difference,k_marginal_tvd,nnaa
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,0,1,,0.5753903838515335,0.3518333333333334,0.6012500000000001
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,1,2,,0.2965026708697026,0.3599166666666667,0.6565
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,2,3,,0.5133900964832391,0.3531666666666667,0.6432500000000001
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,3,4,,0.0993984676301721,0.32725,0.61825
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,4,5,,0.3366679445958336,0.36025,0.6665
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,5,6,,0.0695111549399398,0.30425,0.6112500000000001
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,6,7,,0.2276629034489261,0.356,0.632
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,7,8,,0.3152489300152918,0.3102499999999999,0.6094999999999999
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,8,9,,0.2135181211334666,0.3193333333333334,0.6185
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,9,10,,0.792852219769591,0.3364166666666666,0.6140000000000001
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,10,11,,0.2925577628838791,0.3303333333333333,0.62475
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,12,13,,0.0513806851286946,0.368,0.6755
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,13,14,,0.3405558891782036,0.3668333333333334,0.63875
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,14,15,,0.3835463503575333,0.3428333333333333,0.62175
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,15,16,,0.580241377300585,0.3356666666666667,0.61975
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,16,17,,0.0598290975594498,0.3575833333333333,0.6405000000000001
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,17,18,,0.0375682655039594,0.3374166666666667,0.62
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,18,19,,0.181136558622071,0.3463333333333334,0.6325000000000001
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,19,20,,0.3310681005249038,0.3556666666666666,0.596
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,20,21,,0.1985306160563045,0.3239166666666667,0.6134999999999999
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,21,22,,0.3450484382914926,0.3444166666666667,0.64825
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,22,23,,0.5682067896820104,0.3168333333333334,0.615
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,23,24,,0.1336594129002594,0.372,0.64375
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,24,25,,0.5296708936683597,0.3686666666666667,0.6545
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,25,26,,0.2205721036361825,0.3388333333333333,0.6115
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,26,27,,0.3720487764615317,0.3036666666666667,0.6407499999999999
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,27,28,,0.5910275551101021,0.3541666666666667,0.62525
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,28,29,,0.4104945559747571,0.3594166666666667,0.63925
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,29,30,,0.2028696779537246,0.3574166666666667,0.648
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,30,31,,0.4540853619991999,0.345,0.638
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,31,32,,0.558458560862998,0.2978333333333334,0.5794999999999999
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,32,33,,0.1537943236116262,0.3638333333333334,0.613
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,33,34,,0.7411883920026452,0.3145833333333334,0.6207499999999999
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,34,35,,1.2993927623492771,0.3563333333333334,0.6385000000000001
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,35,36,,0.7191464572714438,0.3613333333333333,0.6392500000000001
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,36,37,,0.0810155860435259,0.35525,0.65125
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,37,38,,0.3346825974325064,0.3249166666666667,0.6120000000000001
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,38,39,,0.0666833195915235,0.389,0.65025
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,39,40,,0.4158897628679248,0.3458333333333334,0.6225
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,40,41,,0.3424481810658018,0.31775,0.6265000000000001
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,41,42,,0.8096694403554023,0.4124166666666667,0.6347499999999999
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,42,43,,0.0800411536183445,0.3089166666666667,0.62475
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,43,44,,0.0949743905533076,0.3576666666666667,0.6772499999999999
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,44,45,,0.4624673633773257,0.3611666666666666,0.66025
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,45,46,,0.1852417753726555,0.3459166666666667,0.6355
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,46,47,,0.1386749529221415,0.3985833333333334,0.64825
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,47,48,,0.0895068664624557,0.3529166666666667,0.6265000000000001
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,48,49,,0.0909019366385617,0.30725,0.6034999999999999
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,49,50,,0.7723517900552561,0.295,0.5885
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,50,51,,0.1112636614006524,0.3025,0.6025
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,51,52,,0.6522782569259766,0.3369166666666667,0.615
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,52,53,,0.1426764725218734,0.31575,0.6085
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,53,54,,0.2535478300884458,0.3274166666666667,0.623
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,54,55,,0.1597805431571205,0.294,0.57425
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,55,56,,0.3252083278067254,0.3743333333333334,0.6695
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,56,57,,0.2299526493745283,0.3539166666666667,0.61025
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,57,58,,0.4508579035884784,0.3085,0.6100000000000001
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,58,59,,0.6008145927947741,0.3986666666666667,0.64525
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,59,60,,0.3545633984527507,0.3321666666666667,0.63175
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,61,62,,0.4483189062600929,0.3166666666666667,0.58275
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,62,63,,0.5460823820255659,0.3643333333333333,0.6479999999999999
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,63,64,,0.877346284584563,0.4352500000000001,0.671
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,64,65,,0.6015844806127325,0.303,0.612
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,65,66,,0.5222043281365946,0.33275,0.64425
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,66,67,,0.405651100165894,0.38025,0.6527499999999999
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,67,68,,0.1633979079134111,0.3380833333333333,0.62975
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,68,69,,0.2277424131236828,0.3196666666666667,0.59625
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,69,70,,0.333484000943784,0.3566666666666667,0.63375
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,70,71,,0.2644677495764965,0.3705,0.67225
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,71,72,,0.9097886565491854,0.34825,0.6375
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,72,73,,0.1346135521255006,0.3221666666666667,0.607
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,73,74,,0.1115539642148192,0.3514166666666667,0.6405
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,74,75,,0.4474053725354693,0.3739166666666667,0.6499999999999999
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,75,76,,0.2244031729001473,0.3225,0.581
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,76,77,,0.1111818323282591,0.3006666666666667,0.60975
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,77,78,,0.2724581548074518,0.3966666666666667,0.6777500000000001
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,78,79,,0.4029041208681093,0.3718333333333334,0.657
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,79,80,,0.1405035544913174,0.30875,0.608
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,80,81,,0.5845139366170031,0.4023333333333332,0.649
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,81,82,,0.445706891363802,0.3427499999999999,0.64225
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,82,83,,0.4101933357046987,0.4069166666666666,0.6615
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,83,84,,0.8212635022492014,0.3350833333333332,0.64725
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,84,85,,0.6077510849139296,0.3685,0.6345000000000001
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,85,86,,0.0779059219929146,0.4118333333333333,0.663
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,86,87,,1.068081171164005,0.4636666666666666,0.68525
vanilla,original,"x1_0,x3_0,x0_0,x2_0",no_graph,0,0,0,20,87,88,,0.495494713639352,0.32975,0.608
