algorithm,column_order,actual_column_order,graph_structure,graph_nodes,graph_edges,undirected_edges,train_size,seed,repetition,categorical_cols,correlation_matrix_difference,k_marginal_tvd,nnaa,nnaa_train
vanilla,original,"x3_0,x1_0,x5_0,x0_0,x4_0,x8_0,x7_0,x6_0,x2_0",no_graph,0,0,0,20,0,1,,1.3730072539097158,0.3214583333333334,0.6655,0.328333
vanilla,original,"x3_0,x1_0,x5_0,x0_0,x4_0,x8_0,x7_0,x6_0,x2_0",no_graph,0,0,0,20,1,2,,1.285164044464422,0.3120416666666668,0.6375,0.380833
vanilla,original,"x3_0,x1_0,x5_0,x0_0,x4_0,x8_0,x7_0,x6_0,x2_0",no_graph,0,0,0,20,2,3,,1.502564507143267,0.38025,0.71025,0.375833
vanilla,original,"x3_0,x1_0,x5_0,x0_0,x4_0,x8_0,x7_0,x6_0,x2_0",no_graph,0,0,0,20,3,4,,2.6358124147706894,0.3273888888888889,0.69125,0.42
vanilla,original,"x3_0,x1_0,x5_0,x0_0,x4_0,x8_0,x7_0,x6_0,x2_0",no_graph,0,0,0,20,4,5,,1.2829519271298149,0.3615555555555556,0.6605,0.369167
vanilla,original,"x3_0,x1_0,x5_0,x0_0,x4_0,x8_0,x7_0,x6_0,x2_0",no_graph,0,0,0,20,5,6,,1.491299232965925,0.3208055555555555,0.63825,0.378333
vanilla,original,"x3_0,x1_0,x5_0,x0_0,x4_0,x8_0,x7_0,x6_0,x2_0",no_graph,0,0,0,20,6,7,,1.1146621225492714,0.3493333333333334,0.6495,0.426667
vanilla,original,"x3_0,x1_0,x5_0,x0_0,x4_0,x8_0,x7_0,x6_0,x2_0",no_graph,0,0,0,20,7,8,,1.6455942943687554,0.3232361111111111,0.64125,0.3775
vanilla,original,"x3_0,x1_0,x5_0,x0_0,x4_0,x8_0,x7_0,x6_0,x2_0",no_graph,0,0,0,20,8,9,,1.2963934025030608,0.309125,0.63225,0.355833
vanilla,original,"x3_0,x1_0,x5_0,x0_0,x4_0,x8_0,x7_0,x6_0,x2_0",no_graph,0,0,0,20,9,10,,1.883717900619052,0.3039722222222222,0.6214999999999999,0.334167
vanilla,original,"x3_0,x1_0,x5_0,x0_0,x4_0,x8_0,x7_0,x6_0,x2_0",no_graph,0,0,0,20,10,11,,2.2479822844525255,0.3073333333333333,0.6515,0.36
vanilla,original,"x3_0,x1_0,x5_0,x0_0,x4_0,x8_0,x7_0,x6_0,x2_0",no_graph,0,0,0,20,11,12,,2.1218328708026473,0.3399583333333333,0.6837500000000001,0.396667
vanilla,original,"x3_0,x1_0,x5_0,x0_0,x4_0,x8_0,x7_0,x6_0,x2_0",no_graph,0,0,0,20,12,13,,1.4901296283540568,0.3469027777777778,0.6712499999999999,0.370833
vanilla,original,"x3_0,x1_0,x5_0,x0_0,x4_0,x8_0,x7_0,x6_0,x2_0",no_graph,0,0,0,20,13,14,,2.372717467518535,0.3615416666666667,0.71225,0.376667
vanilla,original,"x3_0,x1_0,x5_0,x0_0,x4_0,x8_0,x7_0,x6_0,x2_0",no_graph,0,0,0,20,14,15,,2.103899193275553,0.3492083333333333,0.6819999999999999,0.406667
vanilla,original,"x3_0,x1_0,x5_0,x0_0,x4_0,x8_0,x7_0,x6_0,x2_0",no_graph,0,0,0,20,15,16,,1.0696604080485643,0.3076805555555555,0.6475,0.35
vanilla,original,"x3_0,x1_0,x5_0,x0_0,x4_0,x8_0,x7_0,x6_0,x2_0",no_graph,0,0,0,20,16,17,,1.617937866638822,0.3109722222222222,0.65725,0.39
vanilla,original,"x3_0,x1_0,x5_0,x0_0,x4_0,x8_0,x7_0,x6_0,x2_0",no_graph,0,0,0,20,17,18,,1.8101364263336952,0.3157638888888889,0.667,0.359167
vanilla,original,"x3_0,x1_0,x5_0,x0_0,x4_0,x8_0,x7_0,x6_0,x2_0",no_graph,0,0,0,20,18,19,,1.7254471963023463,0.3046388888888889,0.657,0.433333
vanilla,original,"x3_0,x1_0,x5_0,x0_0,x4_0,x8_0,x7_0,x6_0,x2_0",no_graph,0,0,0,20,19,20,,2.379455201016243,0.322875,0.6795,0.469167
vanilla,original,"x3_0,x1_0,x5_0,x0_0,x4_0,x8_0,x7_0,x6_0,x2_0",no_graph,0,0,0,20,20,21,,1.117023601529736,0.3373055555555556,0.673,0.3825
