algorithm,column_order,actual_column_order,graph_structure,graph_nodes,graph_edges,undirected_edges,train_size,seed,repetition,categorical_cols,correlation_matrix_difference,k_marginal_tvd,nnaa,nnaa_train
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,0,1,,0.6577617625775815,0.2906666666666667,0.56675,0.460833
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,1,2,,0.2800207226975241,0.22625,0.51325,0.465833
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,2,3,,0.4814846020458115,0.2575,0.5185,0.495
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,3,4,,0.2856777363486561,0.3755833333333334,0.6174999999999999,0.456667
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,4,5,,0.644111607175811,0.28675,0.5462499999999999,0.470833
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,5,6,,0.1382913483441185,0.2718333333333333,0.5595,0.366667
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,6,7,,0.5236434034649865,0.27,0.53,0.435833
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,7,8,,0.3919631731032008,0.2953333333333334,0.56575,0.455833
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,8,9,,0.9128366860558272,0.3354166666666667,0.596,0.400833
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,9,10,,0.2623026443989673,0.2810833333333333,0.5795,0.459167
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,10,11,,0.2613470321223367,0.2675,0.56625,0.404167
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,11,12,,1.075954987325389,0.3043333333333333,0.5715,0.359167
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,12,13,,0.5970971436813696,0.38075,0.63625,0.426667
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,13,14,,0.5933450224322377,0.2475833333333333,0.53475,0.4075
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,14,15,,0.3701747098767931,0.2595,0.5349999999999999,0.4575
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,15,16,,0.2700823066647262,0.2730833333333333,0.5385,0.380833
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,16,17,,0.246910491595309,0.2373333333333334,0.5255,0.485833
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,17,18,,0.7501434075863818,0.31575,0.57975,0.451667
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,18,19,,0.1829132644337012,0.2784166666666666,0.5635,0.445
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,19,20,,0.3374945394078891,0.25325,0.55975,0.490833
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,20,21,,0.5286936228216026,0.2588333333333333,0.5435,0.430833
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,21,22,,0.7136791998362426,0.2880833333333333,0.5567500000000001,0.4775
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,22,23,,0.0625561355949167,0.2731666666666667,0.5485,0.518333
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,23,24,,0.3999913246865444,0.2825,0.56525,0.485
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,24,25,,0.8007315681920286,0.2955833333333333,0.5685,0.4525
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,25,26,,0.2544344971656583,0.2560833333333334,0.55525,0.395833
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,26,27,,0.4438794186842182,0.26675,0.539,0.4175
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,27,28,,0.6889528130892375,0.2705833333333334,0.5549999999999999,0.42
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,28,29,,0.6495921493870381,0.2665,0.534,0.461667
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,29,30,,1.1052796472603263,0.2990833333333333,0.5605,0.4525
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,31,32,,0.1059224075921186,0.3025,0.5509999999999999,0.44
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,32,33,,1.1641585170278803,0.3469166666666667,0.60225,0.37
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,33,34,,0.1642095888908975,0.2310833333333333,0.5175000000000001,0.4075
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,34,35,,0.2196722153526771,0.2909166666666666,0.5720000000000001,0.430833
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,35,36,,0.2971285316834073,0.26575,0.5455,0.456667
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,36,37,,0.2440804394912962,0.269,0.52425,0.369167
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,37,38,,0.2076663278649032,0.2181666666666667,0.5205,0.4975
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,38,39,,1.2867808502201616,0.321,0.57725,0.435
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,39,40,,1.156039819324163,0.37575,0.6255,0.345833
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,40,41,,0.4642387029109437,0.3008333333333333,0.5602499999999999,0.5375
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,41,42,,0.3973773354767017,0.2538333333333333,0.54625,0.405
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,42,43,,0.2608329704174276,0.2783333333333334,0.5475000000000001,0.446667
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,43,44,,0.5749807587252537,0.2881666666666666,0.5487500000000001,0.450833
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,44,45,,0.7054271692120367,0.24375,0.5367500000000001,0.463333
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,45,46,,0.6726043190035484,0.24925,0.5405,0.451667
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,46,47,,0.8040064021481007,0.2861666666666667,0.54725,0.409167
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,47,48,,0.144625324787857,0.2436666666666666,0.5425,0.364167
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,48,49,,0.6065399491406845,0.2544166666666667,0.5365,0.436667
vanilla,original,"X0,X1,X2,X3",no_graph,0,0,0,20,49,50,,1.2364171985361043,0.3478333333333334,0.6087499999999999,0.385
