dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,metric,comparison,is_significant
csuite_large_backdoor,20,0.156529148101765,0.0945235321608136,0.2183493367651423,3.2731004999774593e-10,1.9638602999864756e-09,correlation_matrix_difference,vanilla_vs_dag,True
csuite_large_backdoor,50,0.1637624067703505,0.1175842380844897,0.2062836028585109,2.256776902419375e-12,1.3540661414516249e-11,correlation_matrix_difference,vanilla_vs_dag,True
csuite_large_backdoor,100,0.0966152630580583,0.057409256305051,0.1338855127431664,1.3192638441071741e-08,7.915583064643044e-08,correlation_matrix_difference,vanilla_vs_dag,True
csuite_large_backdoor,200,0.0561276468604557,0.0250268112211858,0.0866198855085053,6.555148111526927e-06,3.9330888669161565e-05,correlation_matrix_difference,vanilla_vs_dag,True
csuite_large_backdoor,500,0.0115426094255357,-0.0214517481139029,0.043440224903251,0.313728575022711,1.0,correlation_matrix_difference,vanilla_vs_dag,False
csuite_mixed_confounding,20,0.1286538191021702,0.0963209386319973,0.1611236375575839,2.6894574734275337e-14,1.3447287367137666e-13,correlation_matrix_difference,vanilla_vs_dag,True
csuite_mixed_confounding,50,0.1819889627006118,0.1526931067543203,0.2086841342142351,5.1128317409364995e-18,3.0676990445618995e-17,correlation_matrix_difference,vanilla_vs_dag,True
csuite_mixed_confounding,100,0.1580714464494546,0.1296707435790509,0.1880569867120632,3.536288390303153e-17,2.1217730341818915e-16,correlation_matrix_difference,vanilla_vs_dag,True
csuite_mixed_confounding,200,0.0766154821824591,0.0544222215247917,0.1010250900747156,5.300777684835877e-12,2.1203110739343503e-11,correlation_matrix_difference,vanilla_vs_dag,True
csuite_mixed_confounding,500,0.0551306377535811,0.0355965592717707,0.0752566678473517,2.6806833296131677e-10,1.072273331845267e-09,correlation_matrix_difference,vanilla_vs_dag,True
csuite_mixed_simpson,20,0.0475607551341286,0.0075759956192139,0.0903914384350843,0.001470462686034,0.0088227761162042,correlation_matrix_difference,vanilla_vs_dag,True
csuite_mixed_simpson,50,0.047064787356944,0.0225972820706869,0.0700685691018429,1.671253383468105e-06,1.0027520300808628e-05,correlation_matrix_difference,vanilla_vs_dag,True
csuite_mixed_simpson,100,0.0427565353417039,0.0239660866590989,0.0620012275083138,1.1246611482457753e-07,6.74796688947465e-07,correlation_matrix_difference,vanilla_vs_dag,True
csuite_mixed_simpson,200,0.0080919295599348,-0.0095876516421136,0.0264027342818485,0.2451729983495421,0.7986759975170488,correlation_matrix_difference,vanilla_vs_dag,False
csuite_mixed_simpson,500,0.0115389188341543,-0.0061568542402119,0.0284064466350735,0.0960826121422698,0.3843304485690795,correlation_matrix_difference,vanilla_vs_dag,False
csuite_nonlin_simpson,20,0.0282844608255064,-0.0018908801244829,0.0624047665727586,0.0142252062020288,0.0853512372121731,correlation_matrix_difference,vanilla_vs_dag,False
csuite_nonlin_simpson,50,0.0293851880810478,0.0103708724657479,0.0490644567241486,0.0001491548908845,0.0007457744544225,correlation_matrix_difference,vanilla_vs_dag,True
csuite_nonlin_simpson,100,0.0363885836898636,0.0194841880054971,0.0532222896721851,1.331981564680161e-07,7.991889388080965e-07,correlation_matrix_difference,vanilla_vs_dag,True
csuite_nonlin_simpson,200,0.015258388947123,-0.0023198636195353,0.0323115821003138,0.0272858088164249,0.1091432352656996,correlation_matrix_difference,vanilla_vs_dag,False
csuite_nonlin_simpson,500,0.0090973692991787,-0.0065263207133502,0.0247602076780523,0.1053502609439169,0.5267513047195846,correlation_matrix_difference,vanilla_vs_dag,False
csuite_symprod_simpson,20,-0.0389160417064721,-0.0682058932529361,-0.0065243459118646,0.0019944733546155,0.0099723667730779,correlation_matrix_difference,vanilla_vs_dag,True
csuite_symprod_simpson,50,-0.0200626518117272,-0.0451289705275087,0.0058399828031022,0.0472654909636571,0.1890619638546285,correlation_matrix_difference,vanilla_vs_dag,False
csuite_symprod_simpson,100,-0.0219799251863058,-0.0416598066200862,-0.0011076519816249,0.0071715806898754,0.035857903449377,correlation_matrix_difference,vanilla_vs_dag,True
csuite_symprod_simpson,200,-0.0029825046909608,-0.0200936404151845,0.0129170395019265,0.6132542176643868,1.0,correlation_matrix_difference,vanilla_vs_dag,False
csuite_symprod_simpson,500,-0.0158223542836392,-0.0315666223222219,0.0009574335570438,0.0131739408025283,0.0658697040126417,correlation_matrix_difference,vanilla_vs_dag,False
csuite_weak_arrows,20,0.2460532810375459,0.1818120934006923,0.3095813600408744,3.4412810293497968e-15,2.0647686176098782e-14,correlation_matrix_difference,vanilla_vs_dag,True
csuite_weak_arrows,50,0.2501583510058682,0.2031209998240907,0.2975846335800231,1.798758841783531e-16,1.0792553050701189e-15,correlation_matrix_difference,vanilla_vs_dag,True
csuite_weak_arrows,100,0.1404331002902634,0.1023170149713266,0.1793458317393775,2.0689769896103186e-13,1.2413861937661913e-12,correlation_matrix_difference,vanilla_vs_dag,True
csuite_weak_arrows,200,0.0844461958400496,0.0558425737584436,0.1133592385118767,1.4644116702504568e-10,8.786470021502741e-10,correlation_matrix_difference,vanilla_vs_dag,True
csuite_weak_arrows,500,0.0458672372331497,0.0245844026323403,0.0684736963437291,2.1207195839800437e-07,1.0603597919900218e-06,correlation_matrix_difference,vanilla_vs_dag,True
custom_scm,20,0.3340617764130698,0.2429277372546432,0.4376387351946532,1.2733079538420982e-16,5.093231815368393e-16,correlation_matrix_difference,vanilla_vs_dag,True
custom_scm,50,0.1562537415915319,0.1015971053010503,0.1992757057378426,1.0240740550959067e-14,4.096296220383627e-14,correlation_matrix_difference,vanilla_vs_dag,True
custom_scm,100,0.1144556504602704,0.0786812439970709,0.1609629695925789,2.2347168304074689e-13,8.938867321629875e-13,correlation_matrix_difference,vanilla_vs_dag,True
custom_scm,200,0.085632891507734,0.0529408878594728,0.1222728890071561,1.3379830845101022e-10,5.35193233804041e-10,correlation_matrix_difference,vanilla_vs_dag,True
custom_scm,500,0.0460297243570925,0.0283970704321155,0.0647698185856571,1.530322055127603e-09,6.121288220510413e-09,correlation_matrix_difference,vanilla_vs_dag,True
csuite_large_backdoor,20,-0.0640474923229146,-0.0999104690977535,-0.0304096623323337,5.946748935431753e-06,2.9733744677158765e-05,correlation_matrix_difference,vanilla_vs_cpdag_minimal,True
csuite_large_backdoor,50,-0.0602882988603885,-0.0923855341455889,-0.031140246922135,2.121940720193052e-06,8.487762880772209e-06,correlation_matrix_difference,vanilla_vs_cpdag_minimal,True
