dataset,train_size,effect,ci_lower,ci_upper,p_value,p_holm,metric,comparison,is_significant
csuite_large_backdoor,20,0.0193749999999999,0.0151249999999999,0.024,6.02748115373656e-16,3.6164886922419356e-15,nnaa,vanilla_vs_dag,True
csuite_large_backdoor,50,0.0163749999999999,0.0128749999999999,0.0198749999999999,1.3212998702242254e-15,7.927799221345353e-15,nnaa,vanilla_vs_dag,True
csuite_large_backdoor,100,0.0145,0.010625,0.018125,2.637084417305587e-13,1.5822506503833522e-12,nnaa,vanilla_vs_dag,True
csuite_large_backdoor,200,0.0087499999999999,0.005,0.0124999999999999,3.9539014758341456e-08,2.372340885500487e-07,nnaa,vanilla_vs_dag,True
csuite_large_backdoor,500,0.002,-0.000875,0.00475,0.0643315957231972,0.3216579786159861,nnaa,vanilla_vs_dag,False
csuite_mixed_confounding,20,0.0383125,0.03275,0.0438749999999999,5.2674352030179824e-18,2.6369331669471108e-17,nnaa,vanilla_vs_dag,True
csuite_mixed_confounding,50,0.036375,0.0322499999999999,0.040875,4.3948886115785185e-18,2.6369331669471108e-17,nnaa,vanilla_vs_dag,True
csuite_mixed_confounding,100,0.0277499999999999,0.024375,0.0312499999999998,3.8899707322140255e-18,2.333982439328415e-17,nnaa,vanilla_vs_dag,True
csuite_mixed_confounding,200,0.019625,0.0165000000000001,0.0224999999999999,4.4670944585389225e-17,2.6802566751233535e-16,nnaa,vanilla_vs_dag,True
csuite_mixed_confounding,500,0.012,0.008875,0.0152499999999999,1.7706652532911657e-13,7.082661013164663e-13,nnaa,vanilla_vs_dag,True
csuite_mixed_simpson,20,0.0202499999999999,0.0146249999999999,0.0262499999999999,4.227382169469411e-13,2.5364293016816464e-12,nnaa,vanilla_vs_dag,True
csuite_mixed_simpson,50,0.0101249999999999,0.005875,0.014375,4.803429270322514e-08,2.854287461049417e-07,nnaa,vanilla_vs_dag,True
csuite_mixed_simpson,100,0.0105,0.006875,0.0139999999999999,4.0345246347759084e-10,2.420714780865545e-09,nnaa,vanilla_vs_dag,True
csuite_mixed_simpson,200,0.004375,0.000875,0.0082499999999999,0.0019035870800348,0.0076143483201395,nnaa,vanilla_vs_dag,True
csuite_mixed_simpson,500,0.005,0.001625,0.008375,0.0001676694736774,0.0008383473683873,nnaa,vanilla_vs_dag,True
csuite_nonlin_simpson,20,0.00825,0.003875,0.0128749999999999,3.6302201049847585e-06,2.178132062990855e-05,nnaa,vanilla_vs_dag,True
csuite_nonlin_simpson,50,0.0126874999999999,0.0091250000000001,0.0162499999999999,2.0936159835580815e-12,1.0468079917790408e-11,nnaa,vanilla_vs_dag,True
csuite_nonlin_simpson,100,0.0144999999999999,0.01025,0.0186249999999999,5.07150936577336e-14,3.042905619464017e-13,nnaa,vanilla_vs_dag,True
csuite_nonlin_simpson,200,0.01125,0.008125,0.015125,6.175658280692368e-13,3.705394968415421e-12,nnaa,vanilla_vs_dag,True
csuite_nonlin_simpson,500,0.0059374999999999,0.002375,0.0096249999999998,4.925052458429517e-05,0.0001970020983371,nnaa,vanilla_vs_dag,True
csuite_symprod_simpson,20,0.014125,0.008625,0.0191249999999999,1.932390029430908e-09,9.66195014715454e-09,nnaa,vanilla_vs_dag,True
csuite_symprod_simpson,50,0.00725,0.00275,0.0121250000000001,4.410689672919574e-05,0.0002205344836459,nnaa,vanilla_vs_dag,True
csuite_symprod_simpson,100,0.003875,0.000375,0.007875,0.0052383986977724,0.0261919934888624,nnaa,vanilla_vs_dag,True
csuite_symprod_simpson,200,0.003375,0.0001249999999999,0.0067499999999999,0.0084003460912056,0.0420017304560284,nnaa,vanilla_vs_dag,True
csuite_symprod_simpson,500,0.0014999999999999,-0.0025,0.005,0.3658366229014421,1.0,nnaa,vanilla_vs_dag,False
csuite_weak_arrows,20,0.017625,0.0135,0.022125,2.7590673215007824e-15,1.6554403929004694e-14,nnaa,vanilla_vs_dag,True
csuite_weak_arrows,50,0.0143749999999999,0.0108749999999999,0.0182499999999999,2.6866489189514162e-14,1.61198935137085e-13,nnaa,vanilla_vs_dag,True
csuite_weak_arrows,100,0.0114999999999999,0.0076249999999999,0.0154999999999999,2.7082806351783565e-10,1.624968381107014e-09,nnaa,vanilla_vs_dag,True
csuite_weak_arrows,200,0.007125,0.004,0.010125,1.09934131879971e-08,6.596047912798262e-08,nnaa,vanilla_vs_dag,True
csuite_weak_arrows,500,0.0028749999999999,-0.0004999999999999,0.0066249999999999,0.0236686132071974,0.1183430660359872,nnaa,vanilla_vs_dag,False
custom_scm,20,0.008625,0.0045,0.0128749999999999,1.8994190225937616e-06,7.597676090375047e-06,nnaa,vanilla_vs_dag,True
custom_scm,50,0.0058749999999999,0.002375,0.009375,2.4358903063505573e-05,0.000146153418381,nnaa,vanilla_vs_dag,True
custom_scm,100,0.0034999999999998,-0.0006249999999999,0.0073749999999999,0.0212381639397371,0.1274289836384227,nnaa,vanilla_vs_dag,False
custom_scm,200,0.00175,-0.0016249999999999,0.00525,0.1448730570924044,0.5794922283696176,nnaa,vanilla_vs_dag,False
custom_scm,500,0.0025,-0.000625,0.0055,0.0386210985594822,0.1875209979649247,nnaa,vanilla_vs_dag,False
csuite_large_backdoor,20,-0.00325,-0.007,0.0002499999999999,0.0240974005877232,0.0722922017631696,nnaa,vanilla_vs_cpdag_minimal,False
csuite_large_backdoor,50,-0.002125,-0.0055,0.0011249999999999,0.1133276422390591,0.2266552844781183,nnaa,vanilla_vs_cpdag_minimal,False
csuite_large_backdoor,100,-0.001,-0.0035,0.0016249999999999,0.4240284404989223,1.0,nnaa,vanilla_vs_cpdag_minimal,False
csuite_large_backdoor,200,-0.0003749999999999,-0.0032499999999999,0.0025,0.7792998624898287,1.0,nnaa,vanilla_vs_cpdag_minimal,False
csuite_large_backdoor,500,-0.00175,-0.004875,0.001375,0.1496674545092249,0.5813321408544057,nnaa,vanilla_vs_cpdag_minimal,False
csuite_mixed_confounding,20,0.02375,0.0185,0.0292500000000001,2.3699717434158504e-15,9.4798869736634e-15,nnaa,vanilla_vs_cpdag_minimal,True
